url,status,first_seen,last_seen,last_price,last_price_date,sold_date,year,make,model,variant,body_type,odometer,transmission,rego,fuel_type,location
car/14902979/toyota/aurion/vic/northcote/sedan,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,9499.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2010,Toyota,Aurion,Sportivo Zr6,Sedan,149000.0,Automatic,,Unleaded,VIC
car/14905513/toyota/corolla/vic/northcote/sedan,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,10499.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2010,Toyota,Corolla,Ascent,Sedan,122000.0,Automatic,,Unleaded,VIC
car/14821148/toyota/rav4/vic/mordialloc/suv,sold,2026-01-25T15:33:31,2026-02-12T21:45:20,12455.0,2026-02-12T06:04:59,2026-02-15T04:41:58,2014,Toyota,RAV4,Gxl (4X4),Wagon,284851.0,Automatic,2025-11-30,Diesel,VIC
car/14915704/toyota/hilux/vic/northcote/extra-cab,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,15999.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2008,Toyota,Hilux,Sr5 (4X4),X Cab Pickup,249000.0,Manual,,Diesel,VIC
car/14815457/toyota/86/vic/maidstone/coupe,sold,2026-01-25T15:33:31,2026-02-20T22:06:45,18990.0,2026-02-18T21:39:48,2026-02-24T21:06:29,2013,Toyota,86,Gt,Coupe,136100.0,Manual,2025-12-13,Premium,VIC
car/14808321/toyota/landcruiser-prado/vic/maidstone/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,6999.0,2026-02-12T06:04:59,,2000,Toyota,Landcruiser Prado,Gxl (4X4),Wagon,462600,Manual,2026-01-18,Unleaded,VIC
car/14773928/toyota/hilux/vic/alphington/single-cab,sold,2026-01-25T15:33:31,2026-02-19T22:04:31,9988.0,2026-01-25T15:33:31,2026-02-20T22:06:45,2014,Toyota,Hilux,Workmate,Cab Chassis,314324.0,Manual,2026-10-20,Unleaded,VIC
car/14894547/toyota/landcruiser/vic/alphington/suv,sold,2026-01-25T15:33:31,2026-01-25T18:47:02,9888.0,2026-01-25T15:33:31,2026-01-28T04:26:19,1998,Toyota,Landcruiser,Gxl (4X4),Wagon,560261.0,Manual,2026-01-15,Diesel,VIC
car/14810075/toyota/landcruiser/vic/elsternwick/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,69977.0,2026-02-18T21:39:48,,2016,Toyota,Landcruiser,Sahara (4X4),Wagon,235885,Automatic,,Unleaded,VIC
car/14908256/toyota/yaris/vic/williamstown-north/hatchback,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,8990.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2013,Toyota,Yaris,Yr,Hatchback,134744.0,Manual,2026-07-14,Unleaded,VIC
car/14801896/toyota/landcruiser/vic/west-footscray/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,42990.0,2026-01-25T15:33:31,,2016,Toyota,Landcruiser,Gx (4X4),Wagon,145167,Automatic,2026-01-03,Diesel,VIC
car/14817314/toyota/kluger/vic/braybrook/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,12988.0,2026-02-19T22:04:31,,2012,Toyota,Kluger,Kx-R (Fwd) 7 Seat,Wagon,267941,Automatic,2026-01-30,Unleaded,VIC
car/14811005/toyota/corolla/vic/braybrook/sedan,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,7688.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2007,Toyota,Corolla,Ascent,Sedan,199897.0,Automatic,2025-12-19,Unleaded,VIC
car/14856277/toyota/corolla/vic/ringwood/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,24999.0,2026-01-25T15:33:31,,2020,Toyota,Corolla,,SUV,117171,Automatic,2026-03-10,Other,VIC
car/14826307/toyota/corolla/vic/st-kilda/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,18999.0,2026-01-25T15:33:31,,2020,Toyota,Corolla,TOURING  HYBRID G-X-(S),SUV,119763,Automatic,,Hybrid,VIC
car/14767641/toyota/hilux/vic/braybrook/dual-cab,active,2026-01-25T15:33:31,2026-02-27T23:28:58,14799.0,2026-01-25T15:33:31,,2014,Toyota,Hilux,Workmate,Dual Cab Pick-up,217162,Manual,2026-02-25,Unleaded,VIC
car/14857967/toyota/yaris/vic/oakleigh/hatchback,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,31777.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2025,Toyota,Yaris,Ascent Sport Hybrid,Hatchback,9703.0,Automatic,,Hybrid,VIC
car/14879412/toyota/hiace/vic/footscray/people-mover,sold,2026-01-25T15:33:31,2026-02-17T21:58:10,26990.0,2026-01-25T15:33:31,2026-02-18T21:39:48,2008,Toyota,HiAce,Commuter,Bus,145000.0,Automatic,,Unleaded,VIC
car/14785030/toyota/camry/vic/footscray/sedan,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,29880.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2019,Toyota,Camry,Ascent (Hybrid),Sedan,13000.0,Automatic,,Hybrid,VIC
car/14809170/toyota/camry/vic/cranbourne-west/sedan,active,2026-01-25T15:33:31,2026-02-27T23:28:58,8490.0,2026-01-30T01:30:27,,2008,Toyota,Camry,Altise,Sedan,199890,Automatic,2026-06-30,Unleaded,VIC
car/14826296/toyota/crown/vic/st-kilda/limousine,active,2026-01-25T15:33:31,2026-02-27T23:28:58,18999.0,2026-01-25T15:33:31,,2013,Toyota,Crown,ROYAL SALOON-HYBRID--S,Sedan,73830,Automatic,,Hybrid,VIC
car/14908868/toyota/yaris/vic/st-kilda/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,17999.0,2026-01-25T15:33:31,,2020,Toyota,Yaris,HYBRID X--S,SUV,106287,Automatic,,Hybrid,VIC
car/14784463/toyota/rav4/vic/oakleigh/suv,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,38999.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2020,Toyota,RAV4,Gx Awd Hybrid,Wagon,58428.0,Automatic,,Hybrid,VIC
car/14901550/toyota/hiace/vic/st-kilda/van,sold,2026-01-25T15:33:31,2026-01-30T01:30:27,27300.0,2026-01-25T15:33:31,2026-01-30T17:02:17,2019,Toyota,HiAce,,Commercial,143760.0,Automatic,,Unleaded,VIC
car/14826274/toyota/c-hr/vic/st-kilda/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,24400.0,2026-01-30T17:02:17,,2018,Toyota,C-HR,(HYBRID) -S,SUV,87824,Automatic,,Hybrid,VIC
car/14817997/toyota/camry/vic/nunawading/sedan,sold,2026-01-25T15:33:31,2026-02-27T01:56:26,15990.0,2026-01-25T15:33:31,2026-02-27T23:28:58,2012,Toyota,Camry,Hybrid H,Sedan,170000.0,Automatic,2026-01-29,Hybrid,VIC
car/14837779/toyota/rav4/vic/south-melbourne/suv,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,24888.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2018,Toyota,RAV4,Gxl (4X4),Wagon,121500.0,Automatic,2026-06-22,Unleaded,VIC
car/14888000/toyota/hiace/vic/st-kilda/van,active,2026-01-25T15:33:31,2026-02-27T23:28:58,25990.0,2026-01-25T15:33:31,,2015,Toyota,HiAce,DX KDH20-S,Commercial,105339,Automatic,,Diesel,VIC
car/14828009/toyota/aurion/vic/oakleigh-south/sedan,active,2026-01-25T15:33:31,2026-02-27T23:28:58,9490.0,2026-01-25T15:33:31,,2008,Toyota,Aurion,Prodigy,Sedan,164749,Automatic,2026-06-04,Unleaded,VIC
car/14826293/toyota/corolla/vic/st-kilda/suv,sold,2026-01-25T15:33:31,2026-02-20T22:06:45,20500.0,2026-01-25T15:33:31,2026-02-24T21:06:29,2020,Toyota,Corolla,TOURING (HYBRID) -S,SUV,86322.0,Automatic,,Hybrid,VIC
car/14898028/toyota/vitz/vic/maidstone/hatchback,sold,2026-01-25T15:33:31,2026-01-28T04:26:19,14990.0,2026-01-25T15:33:31,2026-01-30T01:30:27,2018,Toyota,Vitz,F (Hybrid),Hatchback,97191.0,,2025-11-30,,VIC
