year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason
2008,Ford,Mondeo,Tdci,Hatchback,231035,Automatic,2026-04-20,5499,Diesel,VIC,car/14754928/ford/mondeo/vic/west-footscray/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2025,BMW,220,M Sport Gran Coupe,Coupe,120,,2027-01-27,64990,Premium,VIC,car/14966301/bmw/220/vic/balwyn/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,Toyota,Hilux,Gr-Sport (4X4),Double Cab Pick Up,15701,Automatic,2026-09-28,78380,Diesel,VIC,car/14900984/toyota/hilux/vic/melbourne/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,Holden,UTE,Sv6,Utility,229915,Manual,2026-06-03,18999,Unleaded,VIC,car/14475465/holden/ute/vic/avondale-heights/single-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2022,Tesla,Model 3,Long Range,Sedan,35831,Automatic,2025-12-20,43990,Electric,VIC,car/14942647/tesla/model-3/vic/balwyn/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Volkswagen,T-ROC,R,Wagon,19297,Automatic,,52990,Premium,VIC,car/14839008/volkswagen/t-roc/vic/south-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2025,Mini,Aceman,Jcw E,Hatchback,5300,Automatic,2026-08-29,54990,Electric,VIC,car/14849566/mini/aceman/vic/balwyn/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Kia,Sorento,Sport 7 Seat,Wagon,68106,Automatic,2000-01-01,48990,Diesel,VIC,car/14945887/kia/sorento/vic/preston/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Honda,CR-V,Vti-Lx (Awd),Wagon,185151,Automatic,2026-09-05,19990,Unleaded,VIC,car/14929659/honda/cr-v/vic/west-footscray/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2017,Volkswagen,Tiguan,132 Tsi Comfortline,Wagon,207279,Automatic,2026-02-12,15990,Premium,VIC,car/14968071/volkswagen/tiguan/vic/coburg-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2012,Land Rover,Range Rover Sport,3.0 Sdv6 Luxury,Wagon,206000,Automatic,2025-10-14,16990,Diesel,VIC,car/14750461/land-rover/range-rover-sport/vic/williamstown-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,Ford,Ranger,Wildtrak 2.0 (4X4),Double Cab Pick Up,50847,Automatic,2026-08-17,55990,Diesel,VIC,car/14967592/ford/ranger/vic/south-melbourne/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,Hyundai,Palisade,Calligraphy (7 Seat),Wagon,32177,Automatic,2026-08-17,65990,Diesel,VIC,car/14967823/hyundai/palisade/vic/melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2018,Nissan,Navara,St-X (4X4),Dual Cab Utility,193660,Automatic,2025-08-20,31999,Diesel,VIC,car/14580424/nissan/navara/vic/deer-park/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2025,GWM,Tank 300,Ultra Petrol,Wagon,9795,Automatic,,49990,Unleaded,VIC,car/14888374/gwm/tank-300/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Ford,Ranger,Wildtrak 3.2 (4X4),Double Cab Pick Up,161000,Automatic,2026-07-13,32800,Diesel,VIC,car/14964002/ford/ranger/vic/port-melbourne/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,Hyundai,Accent,Active,Sedan,178781,Automatic,2026-02-28,7999,Unleaded,VIC,car/14815293/hyundai/accent/vic/bayswater-north/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,Nissan,X-Trail,St (4Wd) 7 Seat,Wagon,36236,Automatic,,35950,Unleaded,VIC,car/14969636/nissan/x-trail/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Volkswagen,Amarok,Aventura Tdi600 4Motion,Dual Cab Utility,19271,Automatic,2026-04-29,73990,Diesel,VIC,car/14932620/volkswagen/amarok/vic/preston/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2011,Honda,Civic,Vti,Sedan,139078,Automatic,2026-05-04,11999,Unleaded,VIC,car/13736167/honda/civic/vic/avondale-heights/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2020,Hyundai,Palisade,Highlander (8 Seat),Wagon,80777,Automatic,2026-02-08,44990,Unleaded,VIC,car/14947339/hyundai/palisade/vic/port-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Nissan,X-Trail,St (4Wd) 7 Seat,Wagon,48745,Automatic,2000-01-01,33990,Unleaded,VIC,car/14963088/nissan/x-trail/vic/preston/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2018,Ford,Ranger,Xlt 3.2 (4X4),Dual Cab Utility,257780,Automatic,2025-03-29,24999,Diesel,VIC,car/14337546/ford/ranger/vic/deer-park/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,GWM,Haval H6GT,Ultra (4Wd),Wagon,28420,Automatic,2026-06-10,34990,Unleaded,VIC,car/14968759/gwm/haval-h6gt/vic/south-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2020,Volkswagen,Polo,Gti,Hatchback,55239,Automatic,2026-05-12,25990,Premium,VIC,car/14980183/volkswagen/polo/vic/south-melbourne/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Toyota,Camry,Ascent Sport,Sedan,79000,Automatic,2026-07-28,26990,Unleaded,VIC,car/14803507/toyota/camry/vic/nunawading/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[DISALLOWED_VARIANT]
2023,Volkswagen,Tiguan,110Tsi Life,Wagon,66720,Automatic,,26990,Premium,VIC,car/14895987/volkswagen/tiguan/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,MG,ZST,Excite,Wagon,57875,Automatic,2026-04-12,20490,Unleaded,VIC,car/14925620/mg/zst/vic/port-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Hyundai,Santa FE,Calligraphy (7 Seat) (Blk Int),Wagon,23354,Automatic,2026-06-13,68880,Hybrid,VIC,car/14959964/hyundai/santa-fe/vic/melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Kia,Sportage,Gt-Line (Awd),Wagon,113997,Automatic,2026-01-15,24990,Diesel,VIC,car/14936402/kia/sportage/vic/west-footscray/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2007,Ford,Fairmont,Ghia,Sedan,435,Automatic,,59990,Unleaded,VIC,car/14714258/ford/fairmont/vic/laverton-north/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2010,Audi,Q7,3.0 Tdi Quattro,Wagon,188200,Automatic,2026-05-12,13999,Diesel,VIC,car/14869008/audi/q7/vic/braybrook/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Mitsubishi,Outlander,Es 7 Seat (2Wd),Wagon,112139,Automatic,2026-10-20,21990,Unleaded,VIC,car/14980064/mitsubishi/outlander/vic/preston/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
1961,Cadillac,SERIES 62,,Convertible,29430,Automatic,2026-10-07,199888,Other,VIC,car/14747455/cadillac/series-62/vic/laverton-north/cabrio,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2017,Hyundai,Tucson,Active R-Series (Awd),Wagon,262708,Automatic,2026-02-04,11990,Diesel,VIC,car/14954185/hyundai/tucson/vic/west-footscray/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Mitsubishi,Outlander,Ls 7 Seat (2Wd),Wagon,34185,Automatic,,38950,Unleaded,VIC,car/14948477/mitsubishi/outlander/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,Nissan,Navara,St-X (4X4),Dual Cab Pick-up,98500,Automatic,2026-06-03,28290,Diesel,VIC,car/14721947/nissan/navara/vic/bayswater/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Toyota,Kluger,Gxl Hybrid Awd,Wagon,51513,Automatic,,64990,Hybrid,VIC,car/14968858/toyota/kluger/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Volkswagen,Polo,81 Tsi Comfortline,Hatchback,165399,Automatic,2026-03-02,11990,Premium,VIC,car/14876469/volkswagen/polo/vic/west-footscray/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2017,Ford,Ranger,Wildtrak 3.2 (4X4),Dual Cab Pick-up,140108,Manual,2025-12-05,38990,Diesel,VIC,car/14805520/ford/ranger/vic/tullamarine/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Toyota,RAV4,Cruiser (2Wd) Hybrid,Wagon,6566,Automatic,2026-04-24,59480,Hybrid,VIC,car/14884967/toyota/rav4/vic/melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Toyota,RAV4,Cruiser (Awd) Hybrid,Wagon,16799,Automatic,2026-06-12,61333,Hybrid,VIC,car/14960792/toyota/rav4/vic/melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2020,Ford,Ranger,Xls 3.2 (4X4),Double Cab Pick Up,54245,Automatic,,35790,Diesel,VIC,car/14801095/ford/ranger/vic/laverton-north/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Nissan,X-Trail,St (2Wd),Wagon,53717,Automatic,,32950,Unleaded,VIC,car/14943560/nissan/x-trail/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2020,Mitsubishi,Eclipse Cross,Exceed (2Wd),Wagon,77294,Automatic,,26990,Unleaded,VIC,car/14916633/mitsubishi/eclipse-cross/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Toyota,Hilux,Sr (4X4),Cab Chassis,115777,Manual,2026-04-17,33915,Diesel,VIC,car/14384846/toyota/hilux/vic/brighton/single-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2014,Kia,Sportage,Platinum (Awd),Wagon,140000,Automatic,,14999,Unleaded,VIC,car/14966708/kia/sportage/vic/west-footscray/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2022,Ford,Ranger,Xl 2.0 (4X4),Double Cab Chassis,55117,Automatic,,41950,Diesel,VIC,car/14976517/ford/ranger/vic/elsternwick/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,Toyota,Kluger,Gx 2Wd,Wagon,37137,Automatic,,45950,Unleaded,VIC,car/14882131/toyota/kluger/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Ford,Ranger,Xlt 3.2 Hi-Rider (4X2),Crew Cab Pickup,206238,Manual,2026-02-18,24000,Diesel,VIC,car/14967426/ford/ranger/vic/west-footscray/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2005,Honda,CR-V,(4X4) Sport,Wagon,189000,Automatic,,8500,Unleaded,VIC,car/14955949/honda/cr-v/vic/dandenong/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Toyota,COROLLA CROSS PETROL,COROLLA CROSS GX 2.0L PETROL AUTO CVT 5 DOOR HATCH,Hatch,16076,,2026-07-27,39770,Other,VIC,car/14926336/toyota/corolla-cross-petrol/vic/melbourne/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2020,Nissan,X-Trail,St 7 Seat (4X2),Wagon,81073,Automatic,,23990,Unleaded,VIC,car/14959960/nissan/x-trail/vic/melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2012,Mazda,CX-5,Grand Tourer (4X4),Wagon,146155,Automatic,2025-11-02,13988,Diesel,VIC,car/14774725/mazda/cx-5/vic/alphington/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Nissan,Juke,St-L,Hatchback,10165,Automatic,2000-01-01,31990,Premium,VIC,car/14942588/nissan/juke/vic/preston/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Mazda,CX-5,G25 Maxx Sport (Fwd),Wagon,9181,Automatic,,37990,Unleaded,VIC,car/14954723/mazda/cx-5/vic/south-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2009,Mazda,3,Sp25,Sedan,219112,Manual,,5999,Unleaded,VIC,car/14467137/mazda/3/vic/hoppers-crossing/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Volkswagen,Amarok,Tdi420 Trendline (4X4),Dual Cab Utility,221067,Automatic,2026-12-29,16990,Diesel,VIC,car/14979923/volkswagen/amarok/vic/west-footscray/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Mitsubishi,Outlander,Ls 7 Seat (2Wd),Wagon,41634,Automatic,,38950,Unleaded,VIC,car/14859181/mitsubishi/outlander/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Toyota,Hilux,Sr (4X4),Cab Chassis,221191,Automatic,2026-03-22,25990,Diesel,VIC,car/14530949/toyota/hilux/vic/bayswater/single-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Ford,Endura,Trend (Awd),Wagon,78350,Automatic,2026-03-05,19990,Diesel,VIC,car/14867992/ford/endura/vic/port-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2022,Toyota,HiAce,Slwb,Van,69412,Automatic,,56888,Diesel,VIC,car/14928353/toyota/hiace/vic/tottenham/van,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2020,BMW,X7,M50I,Wagon,20000,Automatic,,109900,Unleaded,VIC,car/14791365/bmw/x7/vic/ringwood/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2012,Toyota,Prius,ZVW30R,Hatch,112749,Automatic,,14995,Hybrid,VIC,car/14919637/toyota/prius/vic/maidstone/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,Toyota,Kluger,Gxl Hybrid Awd,Wagon,49448,Automatic,,64990,Hybrid,VIC,car/14975465/toyota/kluger/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2008,Mitsubishi,Lancer,Es,Sedan,250000,Automatic,2026-02-28,15000,Unleaded,VIC,car/14764884/mitsubishi/lancer/vic/dandenong/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Hyundai,Kona,Electric Premium N Line,Wagon,22669,Automatic,,49950,Electric,VIC,car/14967107/hyundai/kona/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2022,Mazda,CX-3,Maxx Sport Le (Fwd),Wagon,20787,Automatic,2026-05-30,28990,Unleaded,VIC,car/14927252/mazda/cx-3/vic/south-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Volkswagen,Golf,92 Tsi Comfortline,Hatchback,105684,Automatic,2026-06-28,16489,Premium,VIC,car/14917014/volkswagen/golf/vic/maidstone/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2025,Toyota,Corolla,Ascent Sport Hybrid,Hatchback,17138,Automatic,2026-06-19,35770,Hybrid,VIC,car/14959658/toyota/corolla/vic/melbourne/hatchback,2026-03-03T02:37:45,toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe219r,[OK]
2006,HSV,Clubsport,R8 R,Sedan,122909,Manual,2026-05-29,40999,Unleaded,VIC,car/14580226/hsv/clubsport/vic/altona-north/limousine,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Ford,Ranger,Xl 3.2 (4X4),Super Cab Chassis,99535,Manual,2026-03-19,32990,Diesel,VIC,car/14979735/ford/ranger/vic/maidstone,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,Kia,Carnival,S,Wagon,63282,Automatic,,45950,Diesel,VIC,car/14961373/kia/carnival/vic/elsternwick/people-mover,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2012,Volkswagen,Polo,66 TDI COMFORTLINE,Hatch,199635,Automatic,2026-02-25,7999,Diesel,VIC,car/14492391/volkswagen/polo/vic/hoppers-crossing/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Ford,Everest,Trend (4Wd),Wagon,41389,Automatic,,58950,Diesel,VIC,car/14950686/ford/everest/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2017,Subaru,Impreza,2.0S (Awd),Hatchback,145719,Automatic,2026-07-25,16888,Unleaded,VIC,car/14979730/subaru/impreza/vic/preston/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,Lexus,RX270,X (Fwd),Wagon,216368,Automatic,2026-05-29,18999,Unleaded,VIC,car/14308157/lexus/rx270/vic/altona-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2018,Audi,Q5,3.0 Tdi Quattro Sport,Wagon,72780,Automatic,2026-12-26,36990,Diesel,VIC,car/14937030/audi/q5/vic/balwyn/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Kia,Sorento,Gt-Line 7 Seat,Wagon,14393,Automatic,2026-08-09,62980,Diesel,VIC,car/14953622/kia/sorento/vic/melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2017,Ford,Transit,410L Lwb 12 Seat,Bus,64172,Manual,,39990,Diesel,VIC,car/14153061/ford/transit/vic/coburg-north/people-mover,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Nissan,X-Trail,St-L (2Wd),Wagon,43340,Automatic,,35950,Unleaded,VIC,car/14907119/nissan/x-trail/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2020,Subaru,XV,2.0I-L,Wagon,90331,Automatic,2026-06-21,27990,Unleaded,VIC,car/14941212/subaru/xv/vic/south-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2006,Ferrari,612 SCAGLIETTI,F137 R,Coupe,20088,Automatic,2025-10-20,219888,Unleaded,VIC,car/14408241/ferrari/612-scaglietti/vic/laverton-north/sportscar,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,Nissan,Qashqai,St,Wagon,50969,Automatic,2026-04-24,28990,Premium,VIC,car/14943027/nissan/qashqai/vic/melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,Toyota,Fortuner,GXL,SUV,42225,Automatic,2026-07-27,54990,Other,VIC,car/14924725/toyota/fortuner/vic/melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Hyundai,Veloster,Sr Turbo,Coupe,194281,Automatic,2025-09-10,13999,Unleaded,VIC,car/14603190/hyundai/veloster/vic/deer-park/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Suzuki,Jimny,Xl,Wagon,30214,Automatic,2026-09-03,37990,Premium,VIC,car/14958659/suzuki/jimny/vic/south-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2018,Hyundai,Tucson,Go Crdi (Awd),Wagon,181000,Automatic,,16990,Diesel,VIC,car/14925414/hyundai/tucson/vic/footscray/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Mitsubishi,Outlander,Es 7 Seat (2Wd),Wagon,6100,Automatic,,39950,Unleaded,VIC,car/14971097/mitsubishi/outlander/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2018,Mercedes-Benz,GLC43,4Matic,Wagon,133315,Automatic,2026-08-31,39990,Premium,VIC,car/14919565/mercedes-benz/glc43/vic/coburg-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2021,Volkswagen,Polo,70Tsi Trendline,Hatchback,29700,Automatic,,19897,Premium,VIC,car/14831099/volkswagen/polo/vic/ringwood/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,GWM,Haval H6,Premium,Wagon,84494,Automatic,2000-01-01,21990,Premium,VIC,car/14866312/gwm/haval-h6/vic/preston/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Subaru,Crosstrek,Awd 2.0L,Wagon,40907,Automatic,,32950,Unleaded,VIC,car/14973508/subaru/crosstrek/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,Mitsubishi,Outlander,Aspire (4X4),Wagon,178811,Automatic,2025-11-20,11990,Diesel,VIC,car/14666557/mitsubishi/outlander/vic/altona-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2020,Toyota,Corolla,HYBRID GX,Sedan,107554,Automatic,,23495,Hybrid,VIC,car/14910638/toyota/corolla/vic/maidstone/limousine,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2022,Hyundai,Tucson,Highlander N Line (Awd),Wagon,79396,Automatic,,39990,Unleaded,VIC,car/14904738/hyundai/tucson/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Mazda,BT-50,Xt (4X2) (5Yr),Dual Cab Utility,159267,Manual,2026-07-08,21888,Diesel,VIC,car/14756539/mazda/bt-50/vic/moorabbin/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Toyota,Aqua,S,Hatch,101454,Automatic,,15995,Hybrid,VIC,car/14902690/toyota/aqua/vic/maidstone/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,Ford,Ranger,Raptor 3.0 (4X4),Double Cab Pick Up,46007,Automatic,,79990,Premium,VIC,car/14921565/ford/ranger/vic/elsternwick/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2014,Ford,Territory,Ts (Rwd),Wagon,218476,Automatic,2025-05-10,9990,Diesel,VIC,car/14385811/ford/territory/vic/altona-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2018,Volkswagen,Tiguan,Allspace 110 Tsi Comfortline,Wagon,83543,Automatic,2026-06-30,22990,Premium,VIC,car/14949275/volkswagen/tiguan/vic/south-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2022,Hyundai,Santa FE,Highlander Hev (6 Seat),Wagon,35900,Automatic,,51388,Hybrid,VIC,car/14950238/hyundai/santa-fe/vic/tottenham/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2021,Skoda,Karoq,140Tsi Sportline (4X4),Wagon,95209,Automatic,,27400,Unleaded,VIC,car/14731020/skoda/karoq/vic/epping/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2018,Skoda,Superb,206 Tsi Sportline,Wagon,178860,Automatic,2026-02-16,21990,Premium,VIC,car/14846799/skoda/superb/vic/west-footscray/wagon,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2005,Mitsubishi,Outlander,Vr-X,Wagon,282188,Automatic,2025-12-13,6999,Unleaded,VIC,car/14886386/mitsubishi/outlander/vic/braybrook/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2020,Subaru,Outback,Awd Sport,Wagon,35935,Automatic,2026-05-23,36998,Unleaded,VIC,car/14815186/subaru/outback/vic/airport-west/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2021,Ford,Ranger,Xlt 3.2 (4X4),Double Cab Pick Up,97022,Automatic,,41950,Diesel,VIC,car/14936350/ford/ranger/vic/elsternwick/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2018,Nissan,Pathfinder,St-L (4X2) N-Sport,Wagon,140963,Automatic,2026-03-06,21990,Premium,VIC,car/14968927/nissan/pathfinder/vic/west-footscray/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2024,Hyundai,Santa FE,Elite Hev (7 Seat),Wagon,29807,Automatic,,59990,Hybrid,VIC,car/14921570/hyundai/santa-fe/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,Nissan,Juke,St-L,Hatchback,45108,Automatic,2026-04-09,25490,Premium,VIC,car/14958666/nissan/juke/vic/south-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,Volkswagen,Tiguan,110Tsi Life,Wagon,70418,Automatic,,27999,Premium,VIC,car/14671857/volkswagen/tiguan/vic/melton/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2018,Mazda,CX-3,S TOURING (FWD) DK MY19,SUV,186424,Automatic,2026-04-30,17990,Unleaded,VIC,car/14931956/mazda/cx-3/vic/west-footscray/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,Nissan,X-Trail,St-L (2Wd),Wagon,42240,Automatic,,34950,Unleaded,VIC,car/14836967/nissan/x-trail/vic/elsternwick/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2022,Toyota,Hilux,Sr (4X4),Double Cab Pick Up,45704,Automatic,,51777,Diesel,VIC,car/14820591/toyota/hilux/vic/oakleigh/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Volvo,XC60,T5 Momentum,Wagon,103769,Automatic,2026-10-30,28988,Premium,VIC,car/14945833/volvo/xc60/vic/braybrook/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
