year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason
2011,Mercedes-Benz,ML,ML300 CDI BLUEEFFICIENCY AMG SPORTS 4X4,SUV,142042,Automatic,2026-03-19,12990,Diesel,VIC,car/14857691/mercedes-benz/ml/vic/coburg-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2010,Hyundai,I30,Sx,Hatchback,274431,Manual,2026-08-15,4999,Unleaded,VIC,car/14889587/hyundai/i30/vic/west-footscray/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2006,Land Rover,Range Rover Sport,TDV6 4X4,SUV,296630,Automatic,2026-05-19,8322,Diesel,VIC,car/14963058/land-rover/range-rover-sport/vic/mordialloc/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,BMW,328I,Sport Line,Sedan,187123,Automatic,2026-03-28,13990,Premium,VIC,car/14919596/bmw/328i/vic/coburg-north/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2012,BMW,X1,Sdrive 18I,Wagon,129000,Automatic,2026-02-07,8990,Premium,VIC,car/14951932/bmw/x1/vic/coburg-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Mazda,CX-5,Touring (4X4),Wagon,66626,Automatic,2026-05-29,28990,Unleaded,VIC,car/14839142/mazda/cx-5/vic/ferntree-gully/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2009,Mitsubishi,Triton,Gl,Cab Chassis,165058,Manual,2026-03-10,7498,Unleaded,VIC,car/14972381/mitsubishi/triton/vic/west-footscray/single-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Land Rover,Range Rover Evoque,D150 S (110Kw),Wagon,103201,Automatic,2026-10-12,21990,Diesel,VIC,car/14960670/land-rover/range-rover-evoque/vic/coburg-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2015,Mazda,CX-5,Maxx Sport (4X2),Wagon,169230,Automatic,2026-01-14,14999,Unleaded,VIC,car/14933486/mazda/cx-5/vic/laverton-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2017,Toyota,Kluger,Gx (4X2),Wagon,195030,Automatic,2026-04-18,22990,Unleaded,VIC,car/14903080/toyota/kluger/vic/west-footscray/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2007,Mitsubishi,Lancer,Es,Wagon,189728,Manual,2026-03-06,3490,Unleaded,VIC,car/14919560/mitsubishi/lancer/vic/coburg-north/wagon,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2008,Subaru,Outback,2.5I,Wagon,230000,Automatic,,6999,Unleaded,VIC,car/14962910/subaru/outback/vic/dandenong/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2009,Audi,A5,3.0 Tdi Quattro,Coupe,238500,Automatic,,11990,Diesel,VIC,car/14843265/audi/a5/vic/williamstown-north/coupe,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,Nissan,Pulsar,St-L,Sedan,253014,Manual,,4990,Unleaded,VIC,car/14913640/nissan/pulsar/vic/west-footscray/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Renault,Master,Lwb Mid,Bus,50000,Automatic,2025-10-11,32990,Diesel,VIC,car/14841105/renault/master/vic/nunawading/people-mover,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2005,Holden,Calais,,Sedan,216179,Automatic,,13999,Unleaded,VIC,car/14833953/holden/calais/vic/west-footscray/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
1987,Porsche,911,Carrera,Cabriolet,125800,Manual,,79888,Leaded,VIC,car/14853061/porsche/911/vic/south-melbourne/convertible,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2022,Toyota,Hilux,Sr5 (4X4),Double Cab Chassis,74266,Automatic,,61888,Diesel,VIC,car/14922144/toyota/hilux/vic/oakleigh/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2009,Toyota,Corolla,Ascent,Hatchback,321522,Automatic,2026-01-02,6688,Unleaded,VIC,car/14830803/toyota/corolla/vic/braybrook/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE_YEAR]
