year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason,status,first_seen,last_seen,last_price,last_price_date,sold_date,source,make_norm,model_norm,variant_norm,transmission_norm,fuel_norm,body_norm,year_int,price_value,odometer_value
2014,Toyota,RAV4,Gxl (4X4),Wagon,284851.0,Automatic,2025-11-30,12990.0,Diesel,VIC,car/14821148/toyota/rav4/vic/mordialloc/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,rav4,gxl 4x4,automatic,diesel,wagon,2014,12990.0,284851.0
2008,Toyota,Hilux,Sr5 (4X4),X Cab Pickup,249000.0,Manual,,15999.0,Diesel,VIC,car/14915704/toyota/hilux/vic/northcote/extra-cab,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,hilux,sr5 4x4,manual,diesel,x cab pickup,2008,15999.0,249000.0
2013,Toyota,86,Gt,Coupe,136100.0,Manual,2025-12-13,19990.0,Premium,VIC,car/14815457/toyota/86/vic/maidstone/coupe,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,86,gt,manual,premium,coupe,2013,19990.0,136100.0
2000,Toyota,Landcruiser Prado,Gxl (4X4),Wagon,462600.0,Manual,2026-01-18,9999.0,Unleaded,VIC,car/14808321/toyota/landcruiser-prado/vic/maidstone/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,landcruiser prado,gxl 4x4,manual,unleaded,wagon,2000,9999.0,462600.0
2014,Toyota,Hilux,Workmate,Cab Chassis,314324.0,Manual,2026-10-20,9988.0,Unleaded,VIC,car/14773928/toyota/hilux/vic/alphington/single-cab,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,hilux,workmate,manual,unleaded,cab chassis,2014,9988.0,314324.0
1998,Toyota,Landcruiser,Gxl (4X4),Wagon,560261.0,Manual,2026-01-15,9888.0,Diesel,VIC,car/14894547/toyota/landcruiser/vic/alphington/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,landcruiser,gxl 4x4,manual,diesel,wagon,1998,9888.0,560261.0
2016,Toyota,Landcruiser,Sahara (4X4),Wagon,235885.0,Automatic,,70977.0,Unleaded,VIC,car/14810075/toyota/landcruiser/vic/elsternwick/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,landcruiser,sahara 4x4,automatic,unleaded,wagon,2016,70977.0,235885.0
2013,Toyota,Yaris,Yr,Hatchback,134744.0,Manual,2026-07-14,8990.0,Unleaded,VIC,car/14908256/toyota/yaris/vic/williamstown-north/hatchback,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,yaris,yr,manual,unleaded,hatchback,2013,8990.0,134744.0
2016,Toyota,Landcruiser,Gx (4X4),Wagon,145167.0,Automatic,2026-01-03,42990.0,Diesel,VIC,car/14801896/toyota/landcruiser/vic/west-footscray/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,landcruiser,gx 4x4,automatic,diesel,wagon,2016,42990.0,145167.0
2012,Toyota,Kluger,Kx-R (Fwd) 7 Seat,Wagon,267941.0,Automatic,2026-01-30,13488.0,Unleaded,VIC,car/14817314/toyota/kluger/vic/braybrook/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,kluger,kx r fwd 7 seat,automatic,unleaded,wagon,2012,13488.0,267941.0
