event_date,event,url,price,previous_price,price_change,year,make,model,variant,body_type,odometer,transmission,rego,fuel_type,location
2026-01-25T15:33:31,listed,car/14767641/toyota/hilux/vic/braybrook/dual-cab,14799.0,,,2014,Toyota,Hilux,Workmate,Dual Cab Pick-up,217162,Manual,2026-02-25,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14857967/toyota/yaris/vic/oakleigh/hatchback,31777.0,,,2025,Toyota,Yaris,Ascent Sport Hybrid,Hatchback,9703,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14879412/toyota/hiace/vic/footscray/people-mover,26990.0,,,2008,Toyota,HiAce,Commuter,Bus,145000,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14785030/toyota/camry/vic/footscray/sedan,29880.0,,,2019,Toyota,Camry,Ascent (Hybrid),Sedan,13000,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14809170/toyota/camry/vic/cranbourne-west/sedan,8990.0,,,2008,Toyota,Camry,Altise,Sedan,199890,Automatic,2026-06-30,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14826296/toyota/crown/vic/st-kilda/limousine,18999.0,,,2013,Toyota,Crown,ROYAL SALOON-HYBRID--S,Sedan,73830,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14908868/toyota/yaris/vic/st-kilda/suv,17999.0,,,2020,Toyota,Yaris,HYBRID X--S,SUV,106287,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14784463/toyota/rav4/vic/oakleigh/suv,38999.0,,,2020,Toyota,RAV4,Gx Awd Hybrid,Wagon,58428,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14901550/toyota/hiace/vic/st-kilda/van,27300.0,,,2019,Toyota,HiAce,,Commercial,143760,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14826274/toyota/c-hr/vic/st-kilda/suv,24900.0,,,2018,Toyota,C-HR,(HYBRID) -S,SUV,87824,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14817997/toyota/camry/vic/nunawading/sedan,15990.0,,,2012,Toyota,Camry,Hybrid H,Sedan,170000,Automatic,2026-01-29,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14837779/toyota/rav4/vic/south-melbourne/suv,24888.0,,,2018,Toyota,RAV4,Gxl (4X4),Wagon,121500,Automatic,2026-06-22,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14888000/toyota/hiace/vic/st-kilda/van,25990.0,,,2015,Toyota,HiAce,DX KDH20-S,Commercial,105339,Automatic,,Diesel,VIC
2026-01-25T15:33:31,listed,car/14828009/toyota/aurion/vic/oakleigh-south/sedan,9490.0,,,2008,Toyota,Aurion,Prodigy,Sedan,164749,Automatic,2026-06-04,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14826293/toyota/corolla/vic/st-kilda/suv,20500.0,,,2020,Toyota,Corolla,TOURING (HYBRID) -S,SUV,86322,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14898028/toyota/vitz/vic/maidstone/hatchback,14990.0,,,2018,Toyota,Vitz,F (Hybrid),Hatchback,97191,,2025-11-30,,VIC
2026-01-25T15:33:31,listed,car/14887295/toyota/corolla/vic/maidstone/suv,16995.0,,,2020,Toyota,Corolla,HYBRID EX,SUV,120260,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14810821/toyota/rav4/vic/alphington/suv,7688.0,,,2010,Toyota,RAV4,Cruiser (4X4),Wagon,322980,Automatic,2026-01-29,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14891390/toyota/corolla/vic/maidstone/hatchback,7990.0,,,2010,Toyota,Corolla,Ascent,Hatchback,266735,Automatic,2026-02-15,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14871431/toyota/landcruiser-prado/vic/south-melbourne/suv,93990.0,,,2023,Toyota,Landcruiser Prado,Kakadu,Wagon,40123,Automatic,2026-03-25,Diesel,VIC
2026-01-25T15:33:31,listed,car/14902582/toyota/yaris/vic/maidstone/sedan,6990.0,,,2008,Toyota,Yaris,Yrs,Sedan,218959,Automatic,2026-09-13,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14800927/toyota/kluger/vic/alphington/suv,19888.0,,,2011,Toyota,Kluger,Kx-S (4X4),Wagon,115360,Automatic,2026-03-25,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14907928/toyota/aurion/vic/maidstone/sedan,11990.0,,,2012,Toyota,Aurion,Presara,Sedan,235440,Automatic,2026-02-14,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14819802/toyota/corolla/vic/maidstone/sedan,23990.0,,,2022,Toyota,Corolla,Ascent Sport Hybrid,Sedan,156939,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14822255/toyota/hiace/vic/nunawading/people-mover,44990.0,,,2018,Toyota,HiAce,Commuter,Bus,98000,Automatic,2026-06-29,Diesel,VIC
2026-01-25T15:33:31,listed,car/14814242/toyota/rav4/vic/melbourne/suv,56990.0,,,2024,Toyota,RAV4,Cruiser (2Wd) Hybrid,Wagon,23737,Automatic,2026-04-09,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14830803/toyota/corolla/vic/braybrook/hatchback,6688.0,,,2009,Toyota,Corolla,Ascent,Hatchback,321522,Automatic,2026-01-02,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14894814/toyota/rav4/vic/keysborough/suv,48970.0,,,2024,Toyota,RAV4,Gx (Awd) Hybrid,Wagon,9004,Automatic,2026-09-16,Hybrid,VIC
