year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason
2008,Toyota,HiAce,Commuter,Bus,145000,Automatic,,26990,Unleaded,VIC,car/14879412/toyota/hiace/vic/footscray/people-mover,2026-01-25T15:12:25,,
2019,Toyota,Camry,Ascent (Hybrid),Sedan,13000,Automatic,,29880,Hybrid,VIC,car/14785030/toyota/camry/vic/footscray/sedan,2026-01-25T15:12:25,,
2008,Toyota,Camry,Altise,Sedan,199890,Automatic,2026-06-30,8990,Unleaded,VIC,car/14809170/toyota/camry/vic/cranbourne-west/sedan,2026-01-25T15:12:25,,
2013,Toyota,Crown,ROYAL SALOON-HYBRID--S,Sedan,73830,Automatic,,18999,Hybrid,VIC,car/14826296/toyota/crown/vic/st-kilda/limousine,2026-01-25T15:12:25,,
2020,Toyota,Yaris,HYBRID X--S,SUV,106287,Automatic,,17999,Hybrid,VIC,car/14908868/toyota/yaris/vic/st-kilda/suv,2026-01-25T15:12:25,,
2020,Toyota,RAV4,Gx Awd Hybrid,Wagon,58428,Automatic,,38999,Hybrid,VIC,car/14784463/toyota/rav4/vic/oakleigh/suv,2026-01-25T15:12:25,,
2019,Toyota,HiAce,,Commercial,143760,Automatic,,27300,Unleaded,VIC,car/14901550/toyota/hiace/vic/st-kilda/van,2026-01-25T15:12:25,,
2018,Toyota,C-HR,(HYBRID) -S,SUV,87824,Automatic,,24900,Hybrid,VIC,car/14826274/toyota/c-hr/vic/st-kilda/suv,2026-01-25T15:12:25,,
2012,Toyota,Camry,Hybrid H,Sedan,170000,Automatic,2026-01-29,15990,Hybrid,VIC,car/14817997/toyota/camry/vic/nunawading/sedan,2026-01-25T15:12:25,,
2018,Toyota,RAV4,Gxl (4X4),Wagon,121500,Automatic,2026-06-22,24888,Unleaded,VIC,car/14837779/toyota/rav4/vic/south-melbourne/suv,2026-01-25T15:12:25,,
2015,Toyota,HiAce,DX KDH20-S,Commercial,105339,Automatic,,25990,Diesel,VIC,car/14888000/toyota/hiace/vic/st-kilda/van,2026-01-25T15:12:25,,
2008,Toyota,Aurion,Prodigy,Sedan,164749,Automatic,2026-06-04,9490,Unleaded,VIC,car/14828009/toyota/aurion/vic/oakleigh-south/sedan,2026-01-25T15:12:25,,
2020,Toyota,Corolla,TOURING (HYBRID) -S,SUV,86322,Automatic,,20500,Hybrid,VIC,car/14826293/toyota/corolla/vic/st-kilda/suv,2026-01-25T15:12:25,,
2018,Toyota,Vitz,F (Hybrid),Hatchback,97191,,2025-11-30,14990,,VIC,car/14898028/toyota/vitz/vic/maidstone/hatchback,2026-01-25T15:12:25,,
2020,Toyota,Corolla,HYBRID EX,SUV,120260,Automatic,,16995,Unleaded,VIC,car/14887295/toyota/corolla/vic/maidstone/suv,2026-01-25T15:12:25,,
