year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold
2014,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,132256,5.0,KMHD251EMEU216977,1CT2RR,22-08-2025,4,1.8,Red,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046040/motor-vehicles-motor-cycles/2014-hyundai-i30-active-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
engine noise observed.",50,6100,2025-03-30
2011,MAZDA,3,neo bl,Hatchback,Automatic,Petrol,179235,5.0,JM0BL10F100217624,YFF055,09-06-2025,4,2,Red,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046024/motor-vehicles-motor-cycles/2011-mazda-3-neo-bl-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
paint fading roof/ panel across all vehicle
medium scratch on next to fuel cap",63,6200,2025-03-30
2011,TOYOTA,Yaris,yr ncp90r,Hatchback,Automatic,Petrol,235627,5.0,JTDKW923105187545,ZBY901,01-04-2025,4,1.3,White,Grey,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046054/motor-vehicles-motor-cycles/2011-toyota-yaris-yr-ncp90r-automatic-hatchback,"medium scuff on front and rear bumper
dents or marks on body consistent with age and kilometres.
engine noise observed.
engine noise observed.
front seat worn drivers",52,3509,2025-03-30
2010,TOYOTA,Yaris,yr ncp90r,Hatchback,Automatic,Petrol,304172,5.0,JTDJW923605159994,XYV137,29-10-2025,4,1.3,White,Grey,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046324/motor-vehicles-motor-cycles/2010-toyota-yaris-yr-ncp90r-automatic-hatchback,"front seat worn drivers seat
large dent on rhr quarter panel,
dents or marks on body consistent with age and kilometres.
large scratch on rear bar,front bar, quarter panel
rear bar cracked bumper.",29,2309,2025-03-31
2013,HYUNDAI,I30,premium gd,Hatchback,Automatic,Petrol,159973,5.0,KMHD351EMDU124586,1FS4VL,26-04-2025,4,1.8,Black,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046434/motor-vehicles-motor-cycles/2013-hyundai-i30-premium-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
large dent on drivers door",79,7200,2025-03-31
2014,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,163894,5.0,KMHD351EMEU242851,1ED3WH,24-05-2025,4,1.8,Red,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046276/motor-vehicles-motor-cycles/2014-hyundai-i30-trophy-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres
engine noise observed.",35,5900,2025-03-31
2012,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,278585,5.0,JTNBU56E50J102672,1GX6SS,15-04-2025,4,1.8,Silver,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046389/motor-vehicles-motor-cycles/2012-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
large dent on on the front bumper
seat torn front passenger seat
hail damage visible.",57,4809,2025-03-31
2014,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,207932,5.0,KMHD351EMEU235672,1EC9TL,30-04-2025,4,1.8,Silver,Black Leather,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046561/motor-vehicles-motor-cycles/2014-hyundai-i30-trophy-gd-automatic-hatchback,please refer to the photos or arrange inspection to view the condition of this vehicle.,72,5000,2025-04-03
2013,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,157349,5.0,KMHD351EMEU172386,1BJ6UT,06-06-2025,4,1.8,White,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046727/motor-vehicles-motor-cycles/2013-hyundai-i30-trophy-gd-automatic-hatchback,dents or marks on body consistent with age and kilometres.,70,7700,2025-04-07
2013,HYUNDAI,I30,premium gd,Hatchback,Automatic,Petrol,70874,5.0,KMHD351EMDU083490,CMP79X,Unregistered,4,1.8,White,Black,Yes,No,No,No - see below,Yes,nsw,https://www.grays.com/lot/0001-10348157/motor-vehicles-motor-cycles/2013-hyundai-i30-premium-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
large dent on driver side rear door
paint peeling rear spoiler
engine noise observed, engine smoke visible
interior: wear and tear on interior consistent with age and kilometres travelled
vehicle serviced at col crawford hyundai 2018 - 38,000kms and 2024 - 69,000kms.",77,5926,2025-04-08
