year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold
2009,TOYOTA,Yaris,yr ncp90r,Hatchback,Automatic,Petrol,147853,5.0,JTDJW923405128856,No plates,Unregistered,4,1.3,Silver,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21050343/motor-vehicles-motor-cycles/2009-toyota-yaris-yr-ncp90r-automatic-hatchback,"medium scratch on various along panel
dents or marks on body consistent with age and kilometres.",15,3800,2025-06-10
2014,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,176061,5.0,KMHD351EMEU230596,1DR6IS,14-01-2026,4,1.8,White,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21050296/motor-vehicles-motor-cycles/2014-hyundai-i30-trophy-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
hail damage visible.
medium scuff on rear bumper",22,5150,2025-06-10
2008,TOYOTA,Yaris,yr ncp90r,Hatchback,Automatic,Petrol,262116,5.0,JTDJW923405115847,WQZ282,10-10-2025,4,1.3,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21050324/motor-vehicles-motor-cycles/2008-toyota-yaris-yr-ncp90r-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
medium scratch on various along panel
medium scuff on various along panel
back bumper cracked bumper.
corrosion visible left panel",36,2700,2025-06-10
2017,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,194987,5.0,KMHD251EMHU382971,1KJ1HE,26-05-2026,4,1.8,Silver,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21050420/motor-vehicles-motor-cycles/2017-hyundai-i30-active-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
dents or marks on body consistent with age and kilometres.
paint peeling front bumper",38,7100,2025-06-11
2013,HYUNDAI,I30,premium gd,Hatchback,Automatic,Petrol,143726,5.0,KMHD351EMDU087483,1VV4MO,07-08-2025,4,1.8,Dark Blue,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21050602/motor-vehicles-motor-cycles/2013-hyundai-i30-premium-gd-automatic-hatchback,dents or marks on body consistent with age and kilometres.,83,7700,2025-06-16
2012,MAZDA,3,neo bl,Hatchback,Automatic,Petrol,290375,5.0,JM0BL10F200329700,2AJ6FK,27-07-2025,4,2,Black,Black,Yes,No,No,Yes,Yes,vic,https://www.grays.com/lot/0001-21050679/motor-vehicles-motor-cycles/2012-mazda-3-neo-bl-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
medium scuff on various parts of panel
engine noise observed.
paint fading various parts of panel",12,2700,2025-06-17
2014,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,58770,5.0,KMHD351EMEU226642,CWN05U,Unregistered,4,1.8,Red,Black,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10349164/motor-vehicles-motor-cycles/2014-hyundai-i30-trophy-gd-automatic-hatchback-58-770kms,please refer to the photos or arrange inspection to view the condition of this vehicle.,54,7700,2025-06-17
2008,TOYOTA,Yaris,yr ncp90r,Hatchback,Automatic,Petrol,262116,5.0,JTDJW923405115847,WQZ282,10-10-2025,4,1.3,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21050964/motor-vehicles-motor-cycles/2008-toyota-yaris-yr-ncp90r-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
medium scratch on various along panel
medium scuff on various along panel
back bumper cracked bumper.
corrosion visible left panel",22,3800,2025-06-23
2017,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,194987,5.0,KMHD251EMHU382971,1KJ1HE,26-05-2026,4,1.8,Silver,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21051079/motor-vehicles-motor-cycles/2017-hyundai-i30-active-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
dents or marks on body consistent with age and kilometres.
paint peeling front bumper",98,8600,2025-06-24
2013,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,161671,5.0,KMHD351EMEU163474,1AZ7MG,10-08-2025,4,1.8,White,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21051468/motor-vehicles-motor-cycles/2013-hyundai-i30-trophy-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
engine noise observed.
medium scratch on some places",32,3400,2025-07-01
2012,HYUNDAI,I30,sx trophy fd,Hatchback,Automatic,Petrol,127254,5.0,KMHDB51EMCU393203,1DXC564,19-07-2025,4,2,Grey,Black,Yes,Yes,No,No,Yes,wa,https://www.grays.com/lot/0001-9061038/motor-vehicles-motor-cycles/2012-hyundai-i30-sx-trophy-fd-automatic-hatchback,"medium scuff on rear driver door
paint peeling rear bumper
dents or marks on body consistent with age and kilometres.
medium scuff on rear bumper
dents or marks on body consistent with age and kilometres.",45,4500,2025-07-01
2012,MAZDA,3,neo bl,Hatchback,Automatic,Petrol,290375,5.0,JM0BL10F200329700,2AJ6FK,27-07-2025,4,2,Black,Black,Yes,No,No,Yes,Yes,vic,https://www.grays.com/lot/0001-21051487/motor-vehicles-motor-cycles/2012-mazda-3-neo-bl-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
medium scuff on various parts of panel
engine noise observed.
paint fading various parts of panel",33,2809,2025-07-02
2013,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,229287,5.0,KMHD251EMDU104922,No plates,Unregistered,4,1.8,Silver,Multi,Yes,Yes,Yes,Yes,Yes,sa,https://www.grays.com/lot/0001-60048217/motor-vehicles-motor-cycles/2013-hyundai-i30-active-gd-automatic-hatchback,engine noise observed.,42,2510,2025-07-06
2012,HYUNDAI,I30,premium gd,Hatchback,Automatic,Petrol,97424,5.0,KMHD351EMDU043770,ZHW891,10-07-2025,4,1.8,Black,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21051745/motor-vehicles-motor-cycles/2012-hyundai-i30-premium-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
engine smoke visible
engine noise observed.
large scuff on various parts of panel",57,7800,2025-07-06
2009,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,367462,5.0,JTNBU52E50J033987,BKL82L,Unregistered,4,1.8,Grey,Grey,Yes,Yes,No,No,Yes,nsw,https://www.grays.com/lot/0001-10349510/motor-vehicles-motor-cycles/2009-toyota-corolla-ascent-zre152r-automatic-sedan,please refer to the photos or arrange inspection to view the condition of this vehicle.,23,1711,2025-07-08
2014,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,162305,5.0,KMHD251EMEU193087,No plates,Unregistered,4,1.8,Other,Multi,Yes,Yes,Yes,No,Yes,sa,https://www.grays.com/lot/0001-60048264/motor-vehicles-motor-cycles/2014-hyundai-i30-active-gd-automatic-hatchback,engine noise observed.,52,5500,2025-07-09
2012,MAZDA,3,neo bl,Hatchback,Automatic,Petrol,115510,5.0,JM0BL10F200324293,YXP869,25-02-2026,4,2,Red,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21052137/motor-vehicles-motor-cycles/2012-mazda-3-neo-bl-automatic-hatchback,"medium dent on various parts on panels
medium scratch on various parts on panels
paint peeling multiple panels",46,5350,2025-07-14
2012,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,147424,5.0,KMHD251EMDU056172,CJW37H,Unregistered,4,1.8,Blue,Black,Yes,No,No,No,Yes,nsw,https://www.grays.com/lot/0001-10349659/motor-vehicles-motor-cycles/2012-hyundai-i30-active-gd-automatic-hatchback,please refer to the photos or arrange inspection to view the condition of this vehicle.,46,3500,2025-07-15
2014,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,116278,5.0,KMHD351EMEU230021,1EC3IY,17-03-2026,4,1.8,White,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21052335/motor-vehicles-motor-cycles/2014-hyundai-i30-trophy-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
medium scratch on various parts on panels
engine noise observed.",198,11309,2025-07-15
2014,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,140533,5.0,KMHD351EMEU220475,No plates,Unregistered,4,1.8,Red,Black Leather,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21052070/motor-vehicles-motor-cycles/2014-hyundai-i30-trophy-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
paint peeling drivers door handle
medium scratch on below fuel cap
engine noise observed.",5,6300,2025-07-20
2014,HYUNDAI,I30,elite gd,Hatchback,Automatic,Petrol,269720,5.0,KMHD351EMEU245982,1EG2NQ,27-09-2025,4,1.8,Black,Grey,Yes,Yes,No,Yes,Yes,vic,https://www.grays.com/lot/0001-21052622/motor-vehicles-motor-cycles/2014-hyundai-i30-elite-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
paint fading top back",52,4809,2025-07-21
2012,HYUNDAI,I30,elite gd,Hatchback,Automatic,Petrol,155312,5.0,KMHD351EMDU008856,1LV5TV,14-06-2026,4,1.8,Blue,Black,Yes,Yes,No,No,Yes,vic,https://www.grays.com/lot/0001-21052637/motor-vehicles-motor-cycles/2012-hyundai-i30-elite-gd-automatic-hatchback,"large dent on right rear panel, left rear door. front bumper bar.
rear bumper cracked bumper.
dents or marks on body consistent with age and kilometres.
engine smoke visible",45,3209,2025-07-22
2012,HYUNDAI,I30,premium gd,Hatchback,Automatic,Petrol,199275,5.0,KMHD351EMDU077522,CMN96X,Unregistered,4,1.8,Grey,Black,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10349743/motor-vehicles-motor-cycles/2012-hyundai-i30-premium-gd-automatic-hatchback,please refer to the photos or arrange inspection to view the condition of this vehicle.,70,4810,2025-07-22
2014,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,141573,5.0,KMHD351EMEU237802,DE29PJ,Unregistered,4,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10349703/motor-vehicles-motor-cycles/2014-hyundai-i30-trophy-gd-automatic-hatchback,please refer to the photos or arrange inspection to view the condition of this vehicle.,36,4600,2025-07-22
2017,HYUNDAI,I30,active pd,Hatchback,Automatic,Petrol,64548,5.0,KMHH351EMJU012062,1QK2NK,17-09-2025,4,2,White,Grey,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21052779/motor-vehicles-motor-cycles/2017-hyundai-i30-active-pd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
front seat stains drivers seat",134,11500,2025-07-22
2017,TOYOTA,Corolla,ascent sport zre182r,Hatchback,Automatic,Petrol,122660,5.0,JTNKU3JE60J573922,1OD2KW,21-04-2026,4.0,1.8,Yellow,Black,Yes,Yes,No,Yes,Yes,vic,https://www.grays.com/lot/0001-21052903/motor-vehicles-motor-cycles/2017-toyota-corolla-ascent-sport-zre182r-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
both front and rear cracked bumper.
medium scratch on various parts on panels",192,12700,2025-07-23
2013,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,78475,5.0,KMHD351EMEU164628,ECQ54T,Unregistered,4,1.8,White,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21053026/motor-vehicles-motor-cycles/2013-hyundai-i30-trophy-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
engine noise observed.interior: steering wheel wear
interior: steering wheel wear",101,7100,2025-07-24
2013,MAZDA,3,neo bl,Hatchback,Automatic,Petrol,272669,5.0,JM0BL10F200388201,ZTK027,23-11-2025,4,2,Black,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21053062/motor-vehicles-motor-cycles/2013-mazda-3-neo-bl-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
engine light on",52,4000,2025-07-24
2013,MAZDA,3,neo bl,Hatchback,Automatic,Petrol,188560,5.0,JM0BL10F200389735,ZUU891,17-09-2025,4,2,Blue,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21053034/motor-vehicles-motor-cycles/2013-mazda-3-neo-bl-automatic-hatchback,"medium dent on front bumper
medium scratch on front bumper
dents or marks on body consistent with age and kilometres.",67,5500,2025-07-27
2011,TOYOTA,Yaris,yr ncp90r,Hatchback,Automatic,Petrol,155407,5.0,JTDKW923605187833,YOF096,19-08-2025,4,1.3,Navy Blue,Grey,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21053106/motor-vehicles-motor-cycles/2011-toyota-yaris-yr-ncp90r-automatic-hatchback,"paint peeling bonnet
dents or marks on body consistent with age and kilometres.
medium dent on left side",54,4600,2025-07-27
2012,HYUNDAI,I30,elite gd,Hatchback,Automatic,Petrol,173963,5.0,KMHD351EMDU064058,ZKF345,01-08-2025,4,1.8,Black,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21053224/motor-vehicles-motor-cycles/2012-hyundai-i30-elite-gd-automatic-hatchback,dents or marks on body consistent with age and kilometres.,69,6100,2025-07-28
2012,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,159266,5.0,KMHD251EMDU013598,1BO8ER,15-01-2026,4,1.8,Black,Grey,Yes,No,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21053123/motor-vehicles-motor-cycles/2012-hyundai-i30-active-gd-automatic-hatchback,"engine noise observed.
door mirror broken driver side
paint fading passenger side doors
medium scratch on various parts on panels
medium dent on driver door",40,3300,2025-07-29
2013,TOYOTA,Corolla,ascent zre182r,Hatchback,CVT,Petrol,213784,5.0,JTNKU3JE60J041425,1EI3WG,30-11-2025,4,1.8,Red,Grey,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21053401/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre182r-cvt-hatchback,"medium scratch on rear bumper
dents or marks on body consistent with age and kilometres.",110,7309,2025-07-30
2013,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,96847,5.0,KMHD251EMDU127415,1EHT401,31-08-2025,4,1.8,White,Charcoal,Yes,Yes,No,No,Yes,wa,https://www.grays.com/lot/0001-9061975/motor-vehicles-motor-cycles/2013-hyundai-i30-active-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
paint peeling door handles
airbag light on",97,8805,2025-07-30
2013,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,102489,5.0,KMHD351EMEU169638,1AZ5VJ,28-08-2025,4,1.8,White,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21053462/motor-vehicles-motor-cycles/2013-hyundai-i30-trophy-gd-automatic-hatchback,dents or marks on body consistent with age and kilometres.,75,7610,2025-07-30
2016,TOYOTA,Corolla,ascent zre172r,Sedan,Automatic,Petrol,187225,5.0,MR053REH205290475,No plates,Unregistered,4.0,1.8,Silver,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046806/motor-vehicles-motor-cycles/2016-toyota-corolla-ascent-zre172r-cvt-automatic-sedan,"dents or marks on body consistent with age and kilometres.
large scratch on panel
medium scuff on panel",131,10009,2025-08-04
2012,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,175054,5.0,KMHD251EMDU012445,2CX4KI,20-10-2025,4,1.8,Black,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21053789/motor-vehicles-motor-cycles/2012-hyundai-i30-active-gd-automatic-hatchback,dents or marks on body consistent with age and kilometres.,71,6500,2025-08-06
2013,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,147146,5.0,KMHD251EMEU134678,No plates,Unregistered,4,1.8,Red,Grey,Yes,No,Yes,Yes,Yes,qld,https://www.grays.com/lot/0001-50516272/motor-vehicles-motor-cycles/2013-hyundai-i30-active-gd-automatic-hatchback,"engine noise observed.
large dent on rh rear door
dents or marks on body consistent with age and kilometres.
paint fading all door handles
medium scuff on front bumper",63,5200,2025-08-06
2015,TOYOTA,Corolla,ascent zre172r,Sedan,Automatic,Petrol,346834,5.0,MR053REH205277493,No plates,Unregistered,4,1.8,Blue,Black,Yes,Yes,No,No,Yes,vic,https://www.grays.com/lot/0001-21053852/motor-vehicles-motor-cycles/2015-toyota-corolla-ascent-zre172r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
medium dent on various parts on panels
front cracked bumper.
paint fading hood
medium scratch on various parts on panels",92,6700,2025-08-06
2008,TOYOTA,Yaris,yr ncp90r,Hatchback,Automatic,Petrol,176720,5.0,JTDJW923305119923,XBF841,15-10-2025,4,1.3,Silver,Grey,Yes,Yes,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21054007/motor-vehicles-motor-cycles/2008-toyota-yaris-yr-ncp90r-automatic-hatchback,dents or marks on body consistent with age and kilometres.,58,4400,2025-08-10
2011,TOYOTA,Yaris,yr ncp90r,Hatchback,Automatic,Petrol,155407,5.0,JTDKW923605187833,YOF096,19-08-2025,4,1.3,Navy Blue,Grey,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21053970/motor-vehicles-motor-cycles/2011-toyota-yaris-yr-ncp90r-automatic-hatchback,"paint peeling bonnet
dents or marks on body consistent with age and kilometres.
medium dent on left side",77,5409,2025-08-10
2009,TOYOTA,Yaris,yr ncp90r,Hatchback,Automatic,Petrol,165803,5.0,JTDJW923105125980,1WD4SS,13-10-2025,4,1.3,Yellow,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21054069/motor-vehicles-motor-cycles/2009-toyota-yaris-yr-ncp90r-automatic-hatchback,"dents or marks on body consistent with age and kilometres
medium scuff on front bumper right side
medium scratch on passenger door
corrosion visible passenger door
front bumper cracked bumper.
paint peeling bonnet
paint fading bonnet",42,3200,2025-08-11
2009,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,367462,5.0,JTNBU52E50J033987,BKL82L,Unregistered,4,1.8,Grey,Grey,Yes,Yes,No,No,Yes,nsw,https://www.grays.com/lot/0001-10350033/motor-vehicles-motor-cycles/2009-toyota-corolla-ascent-zre152r-automatic-sedan,please refer to the photos or arrange inspection to view the condition of this vehicle.,24,2209,2025-08-12
2014,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,208996,5.0,KMHD351EMEU182907,No plates,Unregistered,4,1.8,White,Black Leather,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21054080/motor-vehicles-motor-cycles/2014-hyundai-i30-trophy-gd-automatic-hatchback,"engine noise observed.
dents or marks on body consistent with age and kilometres.
medium scratch on various parts on panels
dents or marks on body consistent with age and kilometres.
paint cracked various parts on panels",37,3009,2025-08-12
2009,MAZDA,3,maxx sport bl,Hatchback,Automatic,Petrol,125752,5.0,JM0BL10F100117087,No plates,Unregistered,4,2,Grey,Black,Yes,Yes,Yes,Yes,Yes,qld,https://www.grays.com/lot/0001-50516311/motor-vehicles-motor-cycles/2009-mazda-3-maxx-sport-bl-automatic-hatchback,"steering requires attention.
engine light on
abs light on
traction control light on
door card worn.
dents or marks on body consistent with age and kilometres.
medium scratch on rear bumper
medium dent on lh front door
door mirror broken lh side mirror damaged
medium scratch on rh front door x2",67,4809,2025-08-12
2012,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,180959,5.0,KMHD251EMDU069316,No Plates,Unregistered,4,1.8,Blue,Black,Yes,Yes,No,No,Yes,vic,https://www.grays.com/lot/0001-21054279/motor-vehicles-motor-cycles/2012-hyundai-i30-active-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
medium scratch on various along panel",66,4220,2025-08-13
2013,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,205812,5.0,KMHD351EMEU163002,1AY3YF,14-08-2025,4,1.8,Blue,Black Leather,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21054288/motor-vehicles-motor-cycles/2013-hyundai-i30-trophy-gd-automatic-hatchback,"paint fading rear visor
paint peeling lhr ext. door handle
dents or marks on body consistent with age and kilometres.
comment: lhf fog light lens condensation. lh side indicator lens cracked.
comment: lhf fog light lens condensation. lh side indicator lens cracked.",70,4609,2025-08-13
2014,HYUNDAI,I30,elite gd,Hatchback,Automatic,Petrol,105041,5.0,KMHD351EMEU197996,1VM9XV,30-08-2025,4,1.8,Red,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21054789/motor-vehicles-motor-cycles/2014-hyundai-i30-elite-gd-automatic-hatchback,"paint fading various parts on panels
paint peeling various parts on panels
medium scratch on various parts on panels
dents or marks on body consistent with age and kilometres.
engine noise observed.",39,4600,2025-08-23
2017,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,162047,5.0,KMHD251EMHU382977,1KJ1HD,26-05-2026,4,1.8,Silver,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21054866/motor-vehicles-motor-cycles/2017-hyundai-i30-active-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
large dent on drivers door,
passenger side bumper damaged.",75,7300,2025-08-24
2017,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,88153,5.0,KMHD251EMHU382835,No plates,Unregistered,4,1.8,White,Black,Yes,Yes,No,No,Yes,qld,https://www.grays.com/lot/0001-50712841/motor-vehicles-motor-cycles/2017-hyundai-i30-active-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
medium scratch on front bumper
front seat worn drivers",72,10200,2025-08-25
2014,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,165333,5.0,KMHD351EMEU200113,1CI3EY,26-06-2026,4,1.8,Red,Black Leather,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21054953/motor-vehicles-motor-cycles/2014-hyundai-i30-trophy-gd-automatic-hatchback,"engine noise observed.
dents or marks on body consistent with age and kilometres.
medium dent on front rh quarter
medium dent on rh rear bumper quarter",37,5250,2025-08-25
2013,HYUNDAI,I30,elite gd,Hatchback,Automatic,Petrol,119132,5.0,KMHD351EMDU109521,ZTJ911,01-12-2025,4,1.8,Silver,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21055051/motor-vehicles-motor-cycles/2013-hyundai-i30-elite-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
engine smoke visible
windscreen chipped or cracked.",59,5930,2025-08-26
2016,TOYOTA,Corolla,ascent sport zre182r,Hatchback,CVT,Petrol,171622,5.0,JTNKU3JE90J541935,1NY8RD,17-10-2025,4.0,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21054784/motor-vehicles-motor-cycles/2016-toyota-corolla-ascent-sport-zre182r-cvt-hatchback,"dents or marks on body consistent with age and kilometres.
damaged rh indicator cracked",104,11300,2025-08-26
2014,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,104778,5.0,KMHD351EMEU191393,1BY5PU,08-07-2026,4,1.8,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21055182/motor-vehicles-motor-cycles/2014-hyundai-i30-trophy-gd-automatic-hatchback,"engine noise observed.
large scratch on rear bar, front bar
large scuff on front bar
engine idling rough",29,7300,2025-08-28
2012,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,116302,5.0,KMHD251EMDU037008,1VH6US,19-10-2025,4,1.8,Dark Blue,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21055177/motor-vehicles-motor-cycles/2012-hyundai-i30-active-gd-automatic-hatchback,"engine noise observed.
dents or marks on body consistent with age and kilometres.
dents or marks on body consistent with age and kilometres.
large scratch on rear drivers side",46,5000,2025-09-02
2014,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,58770,5.0,KMHD351EMEU226642,CWN05U,Unregistered,4,1.8,Red,Black,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10350448/motor-vehicles-motor-cycles/2014-hyundai-i30-trophy-gd-automatic-hatchback-58-770kms,please refer to the photos or arrange inspection to view the condition of this vehicle.,80,5900,2025-09-02
2014,HYUNDAI,I30,elite gd,Hatchback,Automatic,Petrol,173664,5.0,KMHD351EMEU230237,1DH8YT,21-10-2025,4,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21055397/motor-vehicles-motor-cycles/2014-hyundai-i30-elite-gd-automatic-hatchback,"engine noise observed.
dents or marks on body consistent with age and kilometres.
medium scratch on various panels",67,5600,2025-09-03
2010,MAZDA,3,maxx sport bl,Hatchback,Automatic,Petrol,303752,5.0,JM0BL10F100171545,1GAL687,05-11-2025,4,2,Black,Black,Yes,No,No,No,Yes,wa,https://www.grays.com/lot/0001-9063243/motor-vehicles-motor-cycles/2010-mazda-3-maxx-sport-bl-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
paint peeling various panels
front seat stains both
paint fading roof, tailgate &amp; bonnet",26,2309,2025-09-04
2017,HYUNDAI,I30,active pd,Hatchback,Automatic,Petrol,184257,5.0,KMHH351EMJU012384,DO43TB,Unregistered,4,2,Blue,Black,Yes,No,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10912417/motor-vehicles-motor-cycles/2017-hyundai-i30-active-pd-automatic-hatchback,engine light on,1,7009,2025-09-07
2013,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,215055,5.0,KMHD251EMDU115517,ZXJ712,15-10-2025,4,1.8,White,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21055680/motor-vehicles-motor-cycles/2013-hyundai-i30-active-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
door card worn.
glovebox marks
medium dent on front number plate
medium scratch on lh front quarter panel
medium scuff on back bumper
medium scratch on rh back quarter panel
airbag light on",63,5200,2025-09-08
2014,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,118631,5.0,KMHD251EMGU251752,1EQ8JW,07-11-2025,4,1.8,Blue,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21055706/motor-vehicles-motor-cycles/2014-hyundai-i30-active-gd-automatic-hatchback,"medium scratch on rear bumper
engine noise observed.
dents or marks on body consistent with age and kilometres.",77,6700,2025-09-08
2014,TOYOTA,Corolla,ascent zre182r,Hatchback,CVT,Petrol,225627,5.0,JTNKU3JE60J057530,1GF3AB,01-09-2025,4,1.8,Red,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21055694/motor-vehicles-motor-cycles/2014-toyota-corolla-ascent-zre182r-cvt-hatchback,"engine noise observed.
dents or marks on body consistent with age and kilometres.
body/panel damage various parts on panels
large dent, scuff, scratch on various parts on panels",40,5000,2025-09-09
2013,MAZDA,3,maxx sport bl,Hatchback,Automatic,Petrol,203132,5.0,JM0BL10F200386937,"Unlicensed, plates to be removed",Unregistered,4,2,Red,Black,Yes,Yes,Yes,Yes,Yes,wa,https://www.grays.com/lot/0001-9063350/motor-vehicles-motor-cycles/2013-mazda-3-maxx-sport-bl-automatic-hatchback,"paint peeling various panels
front seat worn both
both cracked bumper.
dents or marks on body consistent with age and kilometres.
windscreen chipped or cracked.",45,3100,2025-09-10
