iter	Passed	Remaining
610	188243	58229
611	188541	57917
612	188853	57611
613	189168	57305
614	189457	56991
615	189764	56682
616	190075	56375
617	190368	56063
618	190673	55754
619	190976	55444
620	191250	55126
621	191584	54826
622	191917	54525
623	192265	54228
624	192577	53921
625	192986	53641
626	193279	53329
627	193611	53027
628	193932	52722
629	194229	52411
630	194509	52095
631	194771	51774
632	195055	51460
633	195345	51147
634	195638	50835
635	195972	50533
636	196287	50227
637	196626	49927
638	197027	49642
639	197561	49390
640	197893	49087
641	198285	48799
642	198584	48488
643	198879	48175
644	199160	47860
645	199463	47550
646	199784	47244
647	200085	46933
648	200367	46618
649	200686	46312
650	200989	46002
651	201285	45690
652	201625	45388
653	201921	45077
654	202203	44762
655	202492	44449
656	202803	44141
657	203108	43832
658	203489	43538
659	203793	43228
660	204075	42914
661	204364	42601
662	204626	42283
663	204924	41972
664	205216	41660
665	205552	41357
666	205890	41054
667	206291	40764
668	206623	40459
669	206956	40155
670	207297	39852
671	207701	39562
672	208068	39264
673	208440	38966
674	208847	38675
675	209230	38379
676	209671	38093
677	210082	37802
678	210478	37507
679	210853	37209
680	211217	36908
681	211637	36617
682	212008	36317
683	212350	36012
684	212713	35711
685	213058	35406
686	213478	35113
687	214068	34848
688	214581	34569
689	215006	34276
690	215363	33971
691	215739	33670
692	216126	33370
693	216497	33067
694	216816	32756
695	217116	32442
696	217426	32130
697	217730	31817
698	218046	31505
699	218351	31193
700	218626	30875
701	218899	30558
702	219251	30252
703	219553	29939
704	219834	29623
705	220203	29318
706	220540	29010
707	220834	28695
708	221172	28387
709	221499	28077
710	221822	27766
711	222142	27455
712	222417	27139
713	222727	26827
714	223031	26514
715	223347	26202
716	223651	25889
717	223976	25579
718	224276	25266
719	224635	24959
720	224994	24652
721	225304	24340
722	225599	24026
723	225961	23719
724	226252	23405
725	226546	23091
726	226853	22779
727	227196	22469
728	227510	22158
729	227777	21841
730	228054	21526
731	228409	21218
732	228785	20912
733	229292	20617
734	229671	20311
735	230069	20006
736	230371	19692
737	230664	19378
738	230948	19063
739	231260	18750
740	231559	18437
741	231828	18121
742	232129	17808
743	232432	17494
744	232763	17183
745	233071	16871
746	233361	16557
747	233683	16245
748	233997	15933
749	234273	15618
750	234549	15303
751	234849	14990
752	235218	14681
753	235500	14367
754	235790	14053
755	236074	13739
756	236360	13426
757	236636	13111
758	236960	12800
759	237252	12486
760	237517	12172
761	237821	11859
762	238155	11548
763	238504	11238
764	238851	10927
765	239197	10617
766	239567	10307
767	239898	9995
768	240289	9686
769	240688	9377
770	241017	9065
771	241343	8753
772	241676	8441
773	242018	8129
774	242322	7816
775	242665	7505
776	242992	7192
777	243365	6881
778	243833	6573
779	244254	6262
780	244565	5949
781	244847	5635
782	245180	5323
783	245558	5011
784	245996	4700
785	246425	4389
786	246771	4076
787	247076	3762
788	247432	3449
789	247776	3136
790	248081	2822
791	248415	2509
792	248720	2195
793	249072	1882
794	249413	1568
795	249831	1255
796	250303	942
797	250670	628
798	251114	314
799	251443	0
