iter	MAE	Quantile:alpha=0.9
0	1.307392678	0.2604516239
1	1.264209998	0.2443771189
2	1.221750801	0.2298414196
3	1.187549668	0.2176063743
4	1.150444208	0.2059435911
5	1.114067476	0.1953312261
6	1.080538128	0.185640914
7	1.044693548	0.1763704704
8	1.013931807	0.1681371803
9	0.9867520731	0.1615340967
10	0.9610844239	0.1546417691
11	0.9317659249	0.1477373245
12	0.9040697199	0.1413289354
13	0.8818637014	0.1358071182
14	0.8597647942	0.1305330098
15	0.8352647414	0.1252617251
16	0.8163669073	0.1207426842
17	0.7992057172	0.1166187629
18	0.7808130489	0.1125027173
19	0.7637632528	0.1088028906
20	0.7461976248	0.1050365248
21	0.7315107085	0.1017632485
22	0.7157157465	0.09854555909
23	0.7021211375	0.0956431656
24	0.6866841033	0.09265793807
25	0.6742878574	0.09006255798
26	0.6633094827	0.08775723289
27	0.6517886594	0.08542692537
28	0.6400240008	0.083129269
29	0.6288781206	0.08096176646
30	0.6162383703	0.07870709476
31	0.6026886613	0.07642261284
32	0.5860355319	0.0738792224
33	0.5780902906	0.07233661747
34	0.5659657994	0.07037414787
35	0.5549168716	0.06855784251
36	0.5441158464	0.06676455832
37	0.5335380966	0.0650672781
38	0.5236518309	0.06344249386
39	0.5158653116	0.06209931239
40	0.5066265241	0.06061313057
41	0.4973820501	0.05917361556
42	0.4879496965	0.05772827027
43	0.4807041415	0.05655812593
44	0.4727899486	0.05534022334
45	0.4645373267	0.05410732846
46	0.4571482981	0.05301038876
47	0.4491194352	0.05184387418
48	0.4421924824	0.05083035831
49	0.4352946462	0.04981442139
50	0.4289259587	0.0488937649
51	0.4224044816	0.04796575686
52	0.416122974	0.04707928974
53	0.4084582743	0.04604869419
54	0.4018171231	0.0451321044
55	0.3941948969	0.04414316651
56	0.3881103672	0.04331766487
57	0.3824724883	0.04254964031
58	0.3774796354	0.04185699522
59	0.3721251347	0.04112742377
60	0.3659275431	0.04032537996
61	0.361035677	0.0396973712
62	0.358059682	0.03925429756
63	0.352052076	0.03849616181
64	0.3483470038	0.03798272657
65	0.3400619827	0.0370120811
66	0.3367628694	0.03655389988
67	0.3326592411	0.03601943749
68	0.3286826778	0.03550572496
69	0.3232215915	0.03485126234
70	0.3190199497	0.03432519912
71	0.3167096806	0.03399630552
72	0.3125959343	0.03348799157
73	0.3105220451	0.03318717245
74	0.3055603015	0.03262076703
75	0.303068622	0.03229124506
76	0.3011564492	0.03202873703
77	0.2962033073	0.03145971547
78	0.2906231105	0.03084116849
79	0.2870320711	0.0304125466
80	0.2840348967	0.03005266723
81	0.2802935395	0.0296192631
82	0.2784752921	0.02938929378
83	0.2766687188	0.02916457698
84	0.2733270839	0.0287785287
85	0.2700889675	0.02840904605
86	0.2661060942	0.02796099572
87	0.2632252449	0.02763056627
88	0.2583613681	0.02710079244
89	0.2570465561	0.02693970791
90	0.2547947782	0.02668062564
91	0.2514628488	0.02630825398
92	0.2484908959	0.02597682437
93	0.2471541536	0.02582123686
94	0.2442615037	0.02550163394
95	0.2421367804	0.02526681576
96	0.2411694286	0.02515589027
97	0.2405994464	0.0250942463
98	0.2379613667	0.0248102862
99	0.2352685569	0.02452631476
100	0.2315214154	0.02412260977
101	0.2270338878	0.02364774167
102	0.2244086887	0.0233713944
103	0.2212854573	0.02303664681
104	0.2173145999	0.02262400938
105	0.2144801706	0.02232185275
106	0.2105835901	0.02191521947
107	0.2071438389	0.02155752085
108	0.2047166857	0.02130083713
109	0.2016614395	0.02097970608
110	0.1997539511	0.02077445985
111	0.1971291227	0.02049808764
112	0.1949560183	0.02026919829
113	0.1928942438	0.02006121868
114	0.1911103061	0.01987013519
115	0.189503343	0.01970373788
116	0.1881112209	0.01956171573
117	0.1868316166	0.01943613668
118	0.1845277749	0.01919058195
119	0.1817705311	0.01890392498
120	0.1802245942	0.01874132574
121	0.1788883376	0.01861357612
122	0.1766004486	0.01837547965
123	0.1740863571	0.01812045739
124	0.1721967	0.01792762892
125	0.1695481172	0.01766137587
126	0.1682337389	0.01752985445
127	0.167031379	0.01740959038
128	0.1649731068	0.01720162011
129	0.1632814268	0.01702656181
130	0.1616182834	0.01685569919
131	0.1600709803	0.01669302123
132	0.1587445053	0.01655906122
133	0.1568282473	0.0163623187
134	0.1556582283	0.01624807304
135	0.153998599	0.01608210084
136	0.1528660189	0.01597263347
137	0.1514911594	0.01583355698
138	0.1505070603	0.01574033134
139	0.1491184776	0.01560467612
140	0.1468441198	0.01538272359
141	0.1450576182	0.01520335509
142	0.1431941698	0.01501874113
143	0.1429097714	0.01500153123
144	0.1404629143	0.01474744473
145	0.1386875593	0.01458004505
146	0.1371787593	0.01442703744
147	0.1353439275	0.01424347281
148	0.1350933585	0.01423044439
149	0.1336949979	0.01409533288
150	0.1315891499	0.01387636228
151	0.1298555525	0.01370254139
152	0.128845838	0.01360496497
153	0.1271952987	0.01343837642
154	0.1253107771	0.01325241098
155	0.1241470984	0.01313673978
156	0.1227479544	0.01300065472
157	0.1217863408	0.01290739296
158	0.1208174099	0.01281520058
159	0.1186218919	0.01259413163
160	0.1178553234	0.01252400769
161	0.1166386592	0.01240500661
162	0.1154456912	0.012285654
163	0.1138118348	0.01210939681
164	0.1125018382	0.011988796
165	0.1115298188	0.01189498406
166	0.109930692	0.01173912201
167	0.1088376648	0.01162836108
168	0.1078228327	0.01152916549
169	0.1070788405	0.01146572181
170	0.1060890876	0.01137062116
171	0.1056481315	0.011334603
172	0.1047963064	0.01125018614
173	0.1030859696	0.01106959776
174	0.1028962531	0.01106194639
175	0.1013601687	0.0109019593
176	0.1004496819	0.01080448194
177	0.09931206215	0.01069118194
178	0.09848712594	0.01060137588
179	0.09790643917	0.01054827615
180	0.0968478297	0.01044120605
181	0.09615494535	0.01037260341
182	0.09464742212	0.01021242952
