part,pick_price,warranty_price,core_deposit,models_2008_on
H,H,H,H,H
Handle Brake Ratchet,$25,$30,,P.O.A
Handle Brake Lever,$25,$30,,P.O.A
Handle Door Outer,$25,$30,,P.O.A
Handle Door Inner,$20,$24,,P.O.A
Handle Tailgate Outer,$30,$36,,P.O.A
Handle Tailgate Inner,$25,$30,,P.O.A
Handle Window Winder,$5,$6,,P.O.A
Handle Grab,$5,$6,,P.O.A
Handle Tail Gate Inner,$25,$30,,P.O.A
Handle Tail Gate Outer,$30,$36,,P.O.A
Head Light Model Specific,$65,$78,,P.O.A
Head Light Round 5″ or 7″,$10,$12,,P.O.A
Head Light Rectangle,$25,$30,,P.O.A
Head Light Pop Up,$55,$66,,P.O.A
Head Light Protector each,$10,$12,,P.O.A
Head Light Globe,$2,$2.40,,P.O.A
Head Light Surround Metal,$20,$24,,P.O.A
Head Light Surround Plastic inc. Indicator,$35,$42,,P.O.A
