part,pick_price,warranty_price,core_deposit,models_2008_on
Tray Ute Hard Lid,$150,$180,,P.O.A
Tray Ute Side Steel 1 Piece,$45,$54,,P.O.A
Tray Alloy Side Alloy 1 Piece,$45,$54,,P.O.A
Tray Ute Tonneau Cover,$45,$54,,P.O.A
Trim 1/4 . S/Wagon Inner,$20,$24,,P.O.A
Trim Door Front-Bare No Switches,$35,$42,,P.O.A
Trim Door Rear-Bare No Switches,$35,$42,,P.O.A
Trin Arm Rest,$15,$18,,P.O.A
Trim Ash Tray,$10,$12,,P.O.A
Trim Cargo Blind,$35,$42,,P.O.A
Trim Cluster Cover,$25,$30,,P.O.A
Trim Console Lid,$25,$30,,P.O.A
Trim Console Complete,$65,$78,,P.O.A
Trim Crash Pad,$40,$48,,P.O.A
Trim Cup Holder,$10,$12,,P.O.A
Trim Dash Cover Full Size,$30,$36,,P.O.A
Trim Dash Matt,$10,$12,,P.O.A
Trim Glove Box Lid,$25,$30,,P.O.A
Trim Kick Panel,$10,$12,,P.O.A
Trim Map Pocket,$30,$36,,P.O.A
Trim Parcel Shelf Small,$20,$24,,P.O.A
Trim Parcel Shelf Large,$35,$42,,P.O.A
Trim Roof Lining Sedan,$80,$96,,P.O.A
Trim Roof Lining S/Wagon,$80,$96,,P.O.A
Trim Any Pillar Mould,$20,$24,,P.O.A
Trim Any Scuff Mould,$15,$18,,P.O.A
Trim Roof Lining Sedan,$80,$96,,P.O.A
Trim Roof Lining S/Wagon,$80,$96,,P.O.A
Trim Roof Lining Ute,$60,$72,,P.O.A
Trim Parcel Shelf,$30,$36,,P.O.A
Trim Sun Visor,$15,$18,,P.O.A
Trim Tailgate Inner,$30,$36,,P.O.A
Tube,$5,$6,,P.O.A
Turbo,$110,$132,,P.O.A
Turbo Intercooler,$65,$78,,P.O.A
Tyres,P.O.A,P.O.A,P.O.A,P.O.A
U,U,U,U,U
U Bolt,$10,$12,,P.O.A
U Bolt Plate,$20,$24,,P.O.A
V,V,V,V,V
Valve EGR,$30,$36,,P.O.A
Valve General,$20,$24,,P.O.A
Vent,$10,$12,,P.O.A
W,W,W,W,W
Washer Jet,$5,$6,,P.O.A
Water Pipe Steel,$30,$36,,P.O.A
Water Pipe Plastic,$30,$36,,P.O.A
Water Pump,$25,$30,,P.O.A
Weather Shield,$10,$12,,P.O.A
Wheel Cover,$10,$12,,P.O.A
Wheel Steering (No Horn Pad),$50,$60,,P.O.A
Wheel Steering Sports with Boss Kit,$65,$78,,P.O.A
Wiper Arm,$15,$18,,P.O.A
Wiper Arm Head,$5,$6,,P.O.A
Wiper Linkages,$50,$60,,P.O.A
Wiper Motor,$45,$54,,P.O.A
Wiper Pivot Each,$25,$30,,P.O.A
Wiper Motor with Linkages,$85,$102,,P.O.A
