scraped_at,url,row_index,bidding_details,bidder_name,bid_time,bid_price,bid_qty,win_qty,reserve_met
2026-01-09T03:07:45.110086,https://www.grays.com/lot/0001-10351994/motor-vehicles-motor-cycles/2011-volkswagen-multivan-edition-25-132kw-t5-turbo-diesel-automatic,1,P.M - Lane Cove NSW,P.M - Lane Cove NSW,06/01/2026 9.45.03 PM AEDT,"AU $ 3,900",1,1,False
2026-01-09T03:07:45.110086,https://www.grays.com/lot/0001-10351994/motor-vehicles-motor-cycles/2011-volkswagen-multivan-edition-25-132kw-t5-turbo-diesel-automatic,2,A.M - Bondi Junction NSW,A.M - Bondi Junction NSW,07/01/2026 7.41.35 PM AEDT,"AU $ 3,900",1,0,False
2026-01-09T03:07:45.110086,https://www.grays.com/lot/0001-10351994/motor-vehicles-motor-cycles/2011-volkswagen-multivan-edition-25-132kw-t5-turbo-diesel-automatic,3,G.H - Barretta TAS,G.H - Barretta TAS,07/01/2026 4.55.57 PM AEDT,"AU $ 3,800",1,0,False
2026-01-09T03:07:45.110086,https://www.grays.com/lot/0001-10351994/motor-vehicles-motor-cycles/2011-volkswagen-multivan-edition-25-132kw-t5-turbo-diesel-automatic,4,Z.S - Epping VIC,Z.S - Epping VIC,05/01/2026 8.37.17 PM AEDT,"AU $ 1,700",1,0,False
2026-01-09T03:07:45.110086,https://www.grays.com/lot/0001-10351994/motor-vehicles-motor-cycles/2011-volkswagen-multivan-edition-25-132kw-t5-turbo-diesel-automatic,5,O.S - Pitt town NSW,O.S - Pitt town NSW,01/01/2026 6.28.56 AM AEDT,"AU $ 1,600",1,0,False
2026-01-09T03:07:45.110086,https://www.grays.com/lot/0001-10351994/motor-vehicles-motor-cycles/2011-volkswagen-multivan-edition-25-132kw-t5-turbo-diesel-automatic,6,R.O - Miranda NSW,R.O - Miranda NSW,27/12/2025 6.09.28 PM AEDT,"AU $ 1,565",1,0,False
2026-01-09T03:07:45.110086,https://www.grays.com/lot/0001-10351994/motor-vehicles-motor-cycles/2011-volkswagen-multivan-edition-25-132kw-t5-turbo-diesel-automatic,7,D.S - Truganina VIC,D.S - Truganina VIC,30/12/2025 10.23.57 PM AEDT,"AU $ 1,300",1,0,False
2026-01-09T03:07:45.110086,https://www.grays.com/lot/0001-10351994/motor-vehicles-motor-cycles/2011-volkswagen-multivan-edition-25-132kw-t5-turbo-diesel-automatic,8,P.R - Albion Park rail NSW,P.R - Albion Park rail NSW,27/12/2025 10.28.54 AM AEDT,"AU $ 1,000",1,0,False
2026-01-09T03:07:45.110086,https://www.grays.com/lot/0001-10351994/motor-vehicles-motor-cycles/2011-volkswagen-multivan-edition-25-132kw-t5-turbo-diesel-automatic,9,M.D - Mickleham VIC,M.D - Mickleham VIC,25/12/2025 11.19.09 PM AEDT,AU $ 509,1,0,False
2026-01-09T03:07:45.110086,https://www.grays.com/lot/0001-10351994/motor-vehicles-motor-cycles/2011-volkswagen-multivan-edition-25-132kw-t5-turbo-diesel-automatic,10,K.K - Ryde NSW,K.K - Ryde NSW,25/12/2025 10.52.50 AM AEDT,AU $ 409,1,0,False
2026-01-09T03:07:45.110086,https://www.grays.com/lot/0001-10351994/motor-vehicles-motor-cycles/2011-volkswagen-multivan-edition-25-132kw-t5-turbo-diesel-automatic,11,r.z - greenacre NSW,r.z - greenacre NSW,23/12/2025 5.23.47 PM AEDT,AU $ 309,1,0,False
2026-01-09T03:07:45.110086,https://www.grays.com/lot/0001-10351994/motor-vehicles-motor-cycles/2011-volkswagen-multivan-edition-25-132kw-t5-turbo-diesel-automatic,12,S.E - Gap Ridge WA,S.E - Gap Ridge WA,23/12/2025 3.10.27 PM AEDT,AU $ 209,1,0,False
2026-01-09T03:07:45.110086,https://www.grays.com/lot/0001-10351994/motor-vehicles-motor-cycles/2011-volkswagen-multivan-edition-25-132kw-t5-turbo-diesel-automatic,13,s.i - FINDON SA,s.i - FINDON SA,23/12/2025 12.52.26 PM AEDT,AU $ 109,1,0,False
