run_id,dataset_id,scraped_at,source,ad_id,url,title,make,model,year,badge,series,model_year,variant,price,odometer,body_type,transmission,fuel_type,engine,seller_type,state,region,suburb,market_indicator,price_assessment
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:23.148Z,carsales_apify,SSE-AD-19700529,https://www.carsales.com.au/cars/details/2012-holden-barina-cdx-tm-auto-my13/SSE-AD-19700529/,2012 Holden Barina CDX TM Auto MY13,holden,barina,2012,cdx,TM,MY13,Cdx Barina,6900,108920,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,nsw,sydney east,eastwood,Around market price,Around market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:24.939Z,carsales_apify,SSE-AD-20437808,https://www.carsales.com.au/cars/details/2011-holden-barina-tk-manual-my11/SSE-AD-20437808/,2011 Holden Barina TK Manual MY11,holden,barina,2011,(no badge),TK,MY11,(no Badge) Barina,4100,200599,sedan,manual,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,qld,brisbane all,brighton,Well below market price,Well below market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:26.638Z,carsales_apify,SSE-AD-20721046,https://www.carsales.com.au/cars/details/2015-holden-barina-cd-tm-auto-my16/SSE-AD-20721046/,2015 Holden Barina CD TM Auto MY16,holden,barina,2015,cd,TM,MY16,Cd Barina,10000,90000,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,nsw,sydney east,manly vale,Around market price,Around market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:29.056Z,carsales_apify,SSE-AD-20204783,https://www.carsales.com.au/cars/details/2012-holden-barina-tm-auto/SSE-AD-20204783/,2012 Holden Barina TM Auto,holden,barina,2012,(no badge),,,(no Badge) Barina,5000,141000,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,vic,melbourne,hughesdale,Below market price,Below market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:29.643Z,carsales_apify,SSE-AD-20612174,https://www.carsales.com.au/cars/details/2017-holden-barina-ls-tm-auto-my18/SSE-AD-20612174/,2017 Holden Barina LS TM Auto MY18,holden,barina,2017,ls,TM,MY18,Ls Barina,9990,81710,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,qld,brisbane all,bardon,Below market price,Below market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:32.155Z,carsales_apify,SSE-AD-20632216,https://www.carsales.com.au/cars/details/2014-holden-barina-cd-tm-auto-my15/SSE-AD-20632216/,2014 Holden Barina CD TM Auto MY15,holden,barina,2014,cd,TM,MY15,Cd Barina,4000,167888,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,vic,melbourne,altona meadows,Well below market price,Well below market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:34.461Z,carsales_apify,SSE-AD-20127482,https://www.carsales.com.au/cars/details/2005-holden-barina-sri-xc-manual-my05/SSE-AD-20127482/,2005 Holden Barina SRi XC Manual MY05,holden,barina,2005,sri,XC,MY05,Sri Barina,2600,192163,hatch,manual,petrol - premium ulp,"4 cylinders, Petrol Aspirated, 1.8L",private,nsw,penrith & blue mts.,lawson,Around market price,Around market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:36.539Z,carsales_apify,SSE-AD-20654355,https://www.carsales.com.au/cars/details/2017-holden-barina-ls-tm-auto-my18/SSE-AD-20654355/,2017 Holden Barina LS TM Auto MY18,holden,barina,2017,ls,TM,MY18,Ls Barina,10950,51000,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,nsw,sydney east,parramatta,Around market price,Around market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:37.846Z,carsales_apify,SSE-AD-20654525,https://www.carsales.com.au/cars/details/2012-holden-barina-tm-manual/SSE-AD-20654525/,2012 Holden Barina TM Manual,holden,barina,2012,(no badge),,,(no Badge) Barina,5450,101700,hatch,manual,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,nsw,sydney east,mount kuring-gai,Below market price,Below market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:38.140Z,carsales_apify,SSE-AD-20424446,https://www.carsales.com.au/cars/details/2017-holden-barina-ls-tm-auto-my18/SSE-AD-20424446/,2017 Holden Barina LS TM Auto MY18,holden,barina,2017,ls,TM,MY18,Ls Barina,8500,82000,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,nsw,penrith & blue mts.,glenmore park,Well below market price,Well below market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:39.236Z,carsales_apify,SSE-AD-20476922,https://www.carsales.com.au/cars/details/2015-holden-barina-cd-tm-auto-my15/SSE-AD-20476922/,2015 Holden Barina CD TM Auto MY15,holden,barina,2015,cd,TM,MY15,Cd Barina,6400,127050,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,nsw,sydney east,northbridge,Well below market price,Well below market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:40.451Z,carsales_apify,SSE-AD-20769668,https://www.carsales.com.au/cars/details/2014-holden-barina-cd-tm-auto-my14/SSE-AD-20769668/,2014 Holden Barina CD TM Auto MY14,holden,barina,2014,cd,TM,MY14,Cd Barina,7000,93611,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,vic,melbourne,windsor,Below market price,Below market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:43.337Z,carsales_apify,SSE-AD-20143279,https://www.carsales.com.au/cars/details/2011-holden-barina-tm-auto/SSE-AD-20143279/,2011 Holden Barina TM Auto,holden,barina,2011,(no badge),,,(no Badge) Barina,5600,95586,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,vic,melbourne,ivanhoe,Below market price,Below market price
