snapshot_ts,url,price_text,price_numeric,bids_numeric,time_remaining_text,time_remaining_hours,status,location,location_state,auction_site
2026-04-17T20:32:14.430126+00:00,https://www.grays.com/lot/0001-21065728/motor-vehicles-motor-cycles/2021-jeep-grand-cherokee-s-limited-wk-turbo-diesel-at-8-speed-wagon,24509.0,24509.0,1,3d 13h 27m47s,85.463,Active,vic,VIC,lot
2026-04-17T20:32:23.522267+00:00,https://www.grays.com/lot/0001-21065733/motor-vehicles-motor-cycles/2014-ford-fiesta-ambiente-wz-automatic-hatchback,9.0,9.0,1,4d 13h 27m39s,109.461,Active,vic,VIC,lot
2026-04-17T20:32:31.315847+00:00,https://www.grays.com/lot/0001-21065735/motor-vehicles-motor-cycles/2005-suzuki-swift-ez-automatic-hatchback,200.0,200.0,2,4d 13h 27m31s,109.459,Active,vic,VIC,lot
2026-04-17T20:32:38.538973+00:00,https://www.grays.com/lot/0001-21065736/motor-vehicles-motor-cycles/2013-audi-a1-1-4-tfsi-ambition-8x-automatic-hatchback,9.0,9.0,1,4d 13h 27m24s,109.457,Active,vic,VIC,lot
2026-04-17T20:32:46.073061+00:00,https://www.grays.com/lot/0001-21065738/motor-vehicles-motor-cycles/2023-mazda-cx-8-sport-petrol-fwd-kg-automatic-7-seats-wagon,26009.0,26009.0,0,4d 13h 27m17s,109.455,Active,vic,VIC,lot
2026-04-17T20:32:53.592773+00:00,https://www.grays.com/lot/0001-21065740/motor-vehicles-motor-cycles/2006-toyota-hiace-lwb-kdh200r-turbo-diesel-manual-van,9.0,9.0,0,4d 13h 27m7s,109.452,Active,vic,VIC,lot
2026-04-17T20:33:00.888444+00:00,https://www.grays.com/lot/0001-21065742/motor-vehicles-motor-cycles/2013-bmw-118i-118i-f20-automatic-8-speed-hatchback,209.0,209.0,4,4d 13h 27m2s,109.451,Active,vic,VIC,lot
2026-04-17T20:33:07.969716+00:00,https://www.grays.com/lot/0001-21065743/motor-vehicles-motor-cycles/2015-ford-focus-sport-lz-automatic-hatchback,209.0,209.0,3,4d 13h 26m53s,109.448,Active,vic,VIC,lot
2026-04-17T20:33:15.365883+00:00,https://www.grays.com/lot/0001-21065749/motor-vehicles-motor-cycles/2008-bmw-x6-xdrive-35d-e71-turbo-diesel-automatic-coupe,309.0,309.0,5,4d 13h 26m46s,109.446,Active,vic,VIC,lot
2026-04-17T20:33:23.394625+00:00,https://www.grays.com/lot/0001-21065750/motor-vehicles-motor-cycles/2009-holden-sportwagon-ss-v-series-ve-automatic-wagon,1309.0,1309.0,27,4d 13h 26m39s,109.444,Active,vic,VIC,lot
2026-04-17T20:33:30.498555+00:00,https://www.grays.com/lot/0001-21065753/motor-vehicles-motor-cycles/2010-toyota-tarago-gli-acr50r-automatic-8-seats-people-mover,1800.0,1800.0,32,4d 13h 26m32s,109.442,Active,vic,VIC,lot
2026-04-17T20:33:38.000444+00:00,https://www.grays.com/lot/0001-21065754/motor-vehicles-motor-cycles/2015-kia-cerato-s-yd-automatic-sedan,4019.0,4019.0,81,4d 13h 26m25s,109.44,Active,vic,VIC,lot
2026-04-17T20:33:49.576048+00:00,https://www.grays.com/lot/0001-21065755/motor-vehicles-motor-cycles/2021-mitsubishi-pajero-glx-nx-turbo-diesel-automatic-wagon,4109.0,4109.0,48,4d 13h 26m13s,109.437,Active,vic,VIC,lot
2026-04-17T20:34:04.000118+00:00,https://www.grays.com/lot/0001-21065757/motor-vehicles-motor-cycles/2016-mitsubishi-outlander-exceed-4wd-zk-turbo-diesel-at-7-seats-wagon,109.0,109.0,2,4d 13h 25m58s,109.433,Active,vic,VIC,lot
2026-04-17T20:34:12.373741+00:00,https://www.grays.com/lot/0001-21065758/motor-vehicles-motor-cycles/2010-mazda-cx-7-luxury-sports-automatic-wagon,9.0,9.0,1,4d 13h 25m49s,109.43,Active,vic,VIC,lot
2026-04-17T20:34:21.147383+00:00,https://www.grays.com/lot/0001-21065759/motor-vehicles-motor-cycles/2012-mercedes-benz-gl450-cdi-luxury-x164-td-at-7-seats-wagon,409.0,409.0,8,4d 13h 25m41s,109.428,Active,vic,VIC,lot
2026-04-17T20:34:35.755045+00:00,https://www.grays.com/lot/0001-21065761/motor-vehicles-motor-cycles/2014-mazda-6-atenza-gj-turbo-diesel-automatic-wagon,109.0,109.0,2,4d 13h 25m26s,109.424,Active,vic,VIC,lot
2026-04-17T20:34:48.871754+00:00,https://www.grays.com/lot/0001-21065762/motor-vehicles-motor-cycles/2002-honda-cr-v-rd-automatic-wagon,9.0,9.0,1,4d 13h 25m12s,109.42,Active,vic,VIC,lot
2026-04-17T20:34:56.261456+00:00,https://www.grays.com/lot/0001-21065763/motor-vehicles-motor-cycles/2015-hyundai-tucson-active-x-tl-automatic-wagon,109.0,109.0,2,4d 13h 25m5s,109.418,Active,vic,VIC,lot
2026-04-17T20:35:03.531127+00:00,https://www.grays.com/lot/0001-21065764/motor-vehicles-motor-cycles/2012-jaguar-xf-3-0d-luxury-turbo-diesel-automatic-8-speed-sedan,209.0,209.0,3,4d 13h 24m59s,109.416,Active,vic,VIC,lot
2026-04-17T20:35:10.843697+00:00,https://www.grays.com/lot/0001-21065765/motor-vehicles-motor-cycles/2012-toyota-hilux-4x4-sr5-kun26r-turbo-diesel-automatic-dual-cab,209.0,209.0,4,4d 13h 24m52s,109.414,Active,vic,VIC,lot
2026-04-17T20:35:18.190088+00:00,https://www.grays.com/lot/0001-21065766/motor-vehicles-motor-cycles/2011-land-rover-range-rover-sport-3-0-tdv6-luxury-turbo-diesel-at-wagon,409.0,409.0,5,4d 13h 24m43s,109.412,Active,vic,VIC,lot
2026-04-17T20:35:25.970219+00:00,https://www.grays.com/lot/0001-21065767/motor-vehicles-motor-cycles/2020-ldv-g10-turbo-diesel-automatic-van,609.0,609.0,7,4d 13h 24m37s,109.41,Active,vic,VIC,lot
2026-04-17T20:35:33.389871+00:00,https://www.grays.com/lot/0001-21065768/motor-vehicles-motor-cycles/2005-toyota-landcruiser-prado-gxl-kzj120r-turbo-diesel-at-8-seats-wagon,450.0,450.0,8,4d 13h 24m28s,109.408,Active,vic,VIC,lot
2026-04-17T20:35:40.752573+00:00,https://www.grays.com/lot/0001-21065769/motor-vehicles-motor-cycles/1999-hyundai-lantra-se-j3-automatic-sedan,9.0,9.0,0,4d 13h 24m22s,109.406,Active,vic,VIC,lot
2026-04-17T20:35:47.997749+00:00,https://www.grays.com/lot/0001-21065770/motor-vehicles-motor-cycles/2005-volvo-xc70-se-automatic-wagon,9.0,9.0,0,4d 13h 24m13s,109.404,Active,vic,VIC,lot
2026-04-17T20:35:55.399569+00:00,https://www.grays.com/lot/0001-21065771/motor-vehicles-motor-cycles/2005-bmw-330i-e90-automatic-sedan,409.0,409.0,8,4d 13h 24m6s,109.402,Active,vic,VIC,lot
