year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,odo_suspect,canonical_tag,canonical_reason,price_numeric,price_text,bids_numeric,ledger_source,strict_sold_ready,strict_exclusion_reason
2007.0,volvo,v50,2.4 s,wagon,automatic,petrol,146076,5.0,YV1MW385972321346,2BC2SQ,07/04/2025,5,2.4,Grey,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21043641/motor-vehicles-motor-cycles/2007-volvo-v50-2-4-s-automatic-wagon,dents or marks on body consistent with age and kilometres.,12.0,2222,2025-02-18,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2006.0,volkswagen,golf,gti a5,hatchback,automatic,petrol,242256,5.0,WVWZZZ1KZ6U026640,1VW1UX,17-02-2025,4,2.0,Silver,Black Leather,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21043957/motor-vehicles-motor-cycles/2006-volkswagen-golf-gti-a5-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
dents or marks on body consistent with age and kilometres.
paint peeling on the roof",26.0,2509,2025-02-20,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2009.0,volkswagen,golf,103tdi comfortline a6,hatchback,automatic,diesel,205605,5.0,WVWZZZ1KZ9W479607,1UR2ZZ,29-07-2025,4,2.0,Silver,Black Leather,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21044505/motor-vehicles-motor-cycles/2009-volkswagen-golf-103tdi-comfortline-a6-turbo-diesel-automatic-hatchback#&gid=1&pid=1,"dents or marks on body consistent with age and kilometres.
medium scratch on around the vehicle
other warning light on",44.0,3309,2025-02-27,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2009.0,mercedes,benz,r-class r300 cdi w251,wagon,automatic,diesel,146011,7.0,WDC2510202A106796,1HE9RB,15-04-2025,6,3.0,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044399/motor-vehicles-motor-cycles/2009-mercedes-benz-r-class-r300-cdi-w251-turbo-diesel-auto-7-seats-wagon,dents or marks on body consistent with age and kilometres.,47.0,5400,2025-02-28,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2017.0,land,rover,range rover sport 3.0 hse sdv6 (import),,automatic,diesel,81407,5.0,SALWA2EK5HA682434,No Plates,Unregistered,6,3.0,Grey,Black,Yes,Yes,Yes,Yes - Full Online Land Rover Service History,Yes,vic,https://www.grays.com/lot/0001-21044740/motor-vehicles-motor-cycles/2017-land-rover-range-rover-sport-3-0-hse-sdv6-turbo-diesel-auto-import,dents or marks on body consistent with age and kilometres.,572.0,38800,2025-03-05,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2015.0,bmw,x1,sdrive18d f48,wagon,automatic,diesel,88908,5.0,WBAHT720705D98049,no plates,Unregistered,4,2.0,White,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044769/motor-vehicles-motor-cycles/2015-bmw-x1-sdrive18d-f48-turbo-diesel-automatic-8-speed-wagon,"medium scratch on rear passenger door
dents or marks on body consistent with age and kilometres.",201.0,18000,2025-03-06,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2013.0,toyota,yaris,yr ncp130r,hatchback,manual,petrol,105487,5.0,JTDJW3D300D532446,DD22MN,Unregistered,4,1.3,Blue,Grey,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10910372/motor-vehicles-motor-cycles/2013-toyota-yaris-yr-ncp130r-manual-hatchback,"paint peeling roof, tailgate, tops of doors",46.0,3600,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2015.0,toyota,tarago,glx v6 gsr50r,people mover,automatic,petrol,64628,4.0,JTEGS54M70A013045,No plates,Unregistered,6,3.5,White,Black,Yes,Yes,No,No,Yes,qld,https://www.grays.com/lot/0001-50711225/motor-vehicles-motor-cycles/2015-toyota-tarago-glx-v6-gsr50r-automatic-people-mover,dents or marks on body consistent with age and kilometres.,232.0,20300,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2006.0,toyota,landcruiser,(4x4) hzj79r,cab chassis,manual,diesel,177449,3.0,JTELB71J507056414,No plates,Unregistered,6,4.2,White,Grey,Yes,Yes,No,No,Yes,qld,https://www.grays.com/lot/0001-50514152/motor-vehicles-motor-cycles/2006-toyota-landcruiser-4x4-hzj79r-manual-cab-chassis,"dents or marks on body consistent with age and kilometres.
odometer not working.
windscreen chipped or cracked.
carpet worn in places.",114.0,8110,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2006.0,lexus,is250,prestige,sedan,automatic,petrol,219917,5.0,JTHBK262005013839,UTD865,03-05-2025,6,2.5,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044847/motor-vehicles-motor-cycles/2006-lexus-is250-prestige-automatic-sedan,"engine noise observed.
large dent on rear fender, rear bumper knocked out of place
medium scratch on rear bumper, doors, front bumper
large dent on rhr door and quarter panel",13.0,1900,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2015.0,toyota,rav,4 fwd gx zsa42r,wagon,cvt,petrol,156946,5.0,JTMZDREV20D058754,1EW3RB,19-03-2025,4,2.0,Black,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044852/motor-vehicles-motor-cycles/2015-toyota-rav-4-fwd-gx-zsa42r-cvt-wagon,dents or marks on body consistent with age and kilometres.,105.0,12000,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2013.0,holden,trax,ls tj,wagon,manual,petrol,212522,5.0,KL3BF7659EB613531,No plates,Unregistered,4,1.8,Orange,Black,Yes,No,Yes,Yes,Yes,qld,https://www.grays.com/lot/0001-50711137/motor-vehicles-motor-cycles/2013-holden-trax-ls-tj-manual-wagon,dents or marks on body consistent with age and kilometres.,40.0,3409,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2012.0,kia,rio,sli ub,hatchback,manual,petrol,317004,5.0,KNADN513LC6769581,No plates,Unregistered,4,1.6,Silver,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044884/motor-vehicles-motor-cycles/2012-kia-rio-sli-ub-manual-hatchback,"dents or marks on body consistent with age and kilometres.
medium scratch on rear bumper
paint fading mirrors
door card worn.
airbag light on",12.0,1009,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2014.0,ford,ranger,xlt 4x4 px dual,dual cab,manual,diesel,235707,5.0,MNAUMFF50EW285165,No plates,Unregistered,5,3.2,White,Grey,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10910374/motor-vehicles-motor-cycles/2014-ford-ranger-xlt-4x4-px-turbo-diesel-manual-dual-cab,"dents or marks on body consistent with age and kilometres.
windscreen chipped or cracked.
front seat worn drivers",123.0,9700,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2013.0,ford,focus,titanium lw ii,hatchback,automatic,petrol,205318,5.0,MPB1XXMXB1DP33886,YBO00J,Unregistered,4,2.0,Red,Black,Yes,No,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10347470/motor-vehicles-motor-cycles/2013-ford-focus-titanium-lw-ii-automatic-hatchback,"engine light on
dents or marks on body consistent with age and kilometres.",70.0,5101,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2008.0,jaguar,xf,2.7d luxury,sedan,automatic,diesel,114617,5.0,SAJAC051X97R35593,WRH345,15-04-2025,6,2.7,Grey,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044815/motor-vehicles-motor-cycles/2008-jaguar-xf-2-7d-luxury-turbo-diesel-automatic-sedan,"dents or marks on body consistent with age and kilometres.
hood lining sagging
medium scratch on front bumper",101.0,9500,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2006.0,peugeot,407,hdi,coupe,automatic,diesel,88733,4.0,VF36JUHZJ21560561,AFW452,15-04-2025,6,2.7,Silver,Black Leather,Yes,Yes,No,No,Yes,vic,https://www.grays.com/lot/0001-21044842/motor-vehicles-motor-cycles/2006-peugeot-407-hdi-turbo-diesel-automatic-coupe,"dents or marks on body consistent with age and kilometres.
paint fading various areas
dents or marks on body consistent with age and kilometres.",72.0,4700,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2012.0,audi,a6,2.0 tfsi c7,sedan,cvt,petrol,169314,5.0,WAUZZZ4G9DN081367,FCH54Q,12-10-25,4,2.0,Silver,Black,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10347509/motor-vehicles-motor-cycles/2012-audi-a6-2-0-tfsi-c7-cvt-sedan,"dents or marks on body consistent with age and kilometres.
damaged passenger side tail light
transmission requires attention strongly recommend inspection by qualified third party
hood lining sagging
large scratch on front bumper bar
hail damage visible.",78.0,4909,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2011.0,audi,a4,2.0 tfsi b8,sedan,cvt,petrol,203458,5.0,WAUZZZ8K8CA062152,YZC536,18-11-2025,4,2.0,Black,Black,Yes,Yes,No,No,Yes,vic,https://www.grays.com/lot/0001-21044851/motor-vehicles-motor-cycles/2011-audi-a4-2-0-tfsi-b8-cvt-sedan,dents or marks on body consistent with age and kilometres.,72.0,5800,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2008.0,bmw,1,35i e88,convertible,automatic,petrol,150780,4.0,WBAUN92070VG75044,EUA66N,Unregistered,6,3.0,Silver,Grey,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10347365/motor-vehicles-motor-cycles/2008-bmw-1-35i-e88-automatic-convertible,dents or marks on body consistent with age and kilometres.,64.0,7300,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2010.0,mercedes,benz,gl350 cdi x164,wagon,automatic,diesel,190990,7.0,WDC1648222A587945,1TQ1WE,28-04-2025,6,3.0,Grey,Black Leather,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044849/motor-vehicles-motor-cycles/2010-mercedes-benz-gl350-cdi-x164-turbo-diesel-automatic-7-seats-wagon,"dents or marks on body consistent with age and kilometres.
paint peeling front and rear bumper",101.0,7309,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2009.0,mini,cooper,cabrio r57,convertible,automatic,petrol,164334,4.0,WMWMR32090TJ92312,No Plates,Unregistered,4,1.6,Brown,Brown Leather,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044874/motor-vehicles-motor-cycles/2009-mini-cooper-cabrio-r57-automatic-convertible,"front bumper cracked bumper.
dents or marks on body consistent with age and kilometres.",33.0,5100,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2004.0,volkswagen,golf,1.6 trendline a5,hatchback,manual,petrol,262735,5.0,WVWZZZ1KZ4U005779,2AV9XP,20-03-2025,4,1.6,Silver,Grey,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21044781/motor-vehicles-motor-cycles/2004-volkswagen-golf-1-6-trendline-a5-manual-hatchback,"dents or marks on body consistent with age and kilometres.
paint fading panel
medium scuff on rear bumper
medium scuff on front bumper",7.0,609,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2010.0,volkswagen,golf,2.0 tdi pacific 1k,hatchback,automatic,diesel,127193,7.0,WVWZZZ1KZ9U012942,XHG928,06-10-2025,4,2.0,Silver,Black,Yes,Yes,No,No,Yes,vic,https://www.grays.com/lot/0001-21044848/motor-vehicles-motor-cycles/2010-volkswagen-golf-2-0-tdi-pacific-1k-turbo-diesel-auto-7-seats-hatchback,"large scratch on back right side of the car
large dent on by the driver door
dents or marks on body consistent with age and kilometres.",50.0,3650,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2013.0,volkswagen,passat,118 tsi 3c,sedan,automatic,petrol,204013,5.0,WVWZZZ3CZEE082416,No plates,Unregistered,4,1.8,Grey,Black Leather,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21044856/motor-vehicles-motor-cycles/2013-volkswagen-passat-118-tsi-3c-automatic-sedan,"dents or marks on body consistent with age and kilometres.
dents or marks on body consistent with age and kilometres.
other warning light on",41.0,3509,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2013.0,volvo,xc60,t5 teknik,wagon,automatic,petrol,99948,5.0,YV1DZ47HBE2549408,1BB7CQ,30-04-2025,4,2.0,Black,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044716/motor-vehicles-motor-cycles/2013-volvo-xc60-t5-teknik-automatic-wagon,"dents or marks on body consistent with age and kilometres.
transmission requires attention.",58.0,4500,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2014.0,toyota,kluger,4x2 gxl gsu50r,wagon,automatic,petrol,159374,7.0,5TDZK3FH30S019218,2BT6TO,24-04-2025,6,3.5,Red,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044717/motor-vehicles-motor-cycles/2014-toyota-kluger-4x2-gxl-gsu50r-automatic-7-seats-wagon,dents or marks on body consistent with age and kilometres.,240.0,15000,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2011.0,ford,territory,titanium (rwd) sz,wagon,automatic,petrol,154052,5.0,6FPAAAJGATBT46542,YNL926,26-02-2025,6,4.0,Red,Black Leather,Yes,No,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21044754/motor-vehicles-motor-cycles/2011-ford-territory-titanium-rwd-sz-automatic-wagon,"dents or marks on body consistent with age and kilometres.
large scratch on lhr door",56.0,6500,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2012.0,holden,sportwagon,z-series ve ii,wagon,automatic,petrol,251634,5.0,6G1EK8E50CL700893,ZTP094,15-07-2025,6,3.0,Red,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044846/motor-vehicles-motor-cycles/2012-holden-sportwagon-z-series-ve-ii-automatic-wagon,dents or marks on body consistent with age and kilometres.,55.0,4050,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2016.0,holden,commodore,evoke vf series ii,sedan,automatic,petrol,240712,5.0,6G1FA5E55GL225429,1GZ3YU,19-04-2025,6,3.0,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044876/motor-vehicles-motor-cycles/2016-holden-commodore-evoke-vf-series-ii-automatic-sedan,"dents or marks on body consistent with age and kilometres.
large scuff on rear drivers and dented",53.0,5400,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2016.0,holden,cruze,equipe jh,hatchback,automatic,petrol,99385,5.0,6G1PD6EM4GL247169,1IW6XY,21-03-2025,4,1.8,Red,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044843/motor-vehicles-motor-cycles/2016-holden-cruze-equipe-jh-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
large scuff on panel
windscreen chipped or cracked.
body/panel damage scrapes, dent, paint peeling, corrosion on passenger side",50.0,2909,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2007.0,mitsubishi,380,vrx db,sedan,automatic,petrol,266925,5.0,6MMDB4V417T021774,ZZX351,30-10-2025,6,3.8,Grey,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044850/motor-vehicles-motor-cycles/2007-mitsubishi-380-vrx-db-automatic-sedan,"dents or marks on body consistent with age and kilometres.
paint peeling panel
paint fading panel
large dent on rear passenger
engine oil leak",5.0,1009,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2005.0,toyota,camry,grande mcv36r,sedan,automatic,petrol,121630,5.0,6T153XK360X315587,UVW999,14-06-2025,6,3.0,Silver,Grey,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044844/motor-vehicles-motor-cycles/2005-toyota-camry-grande-mcv36r-automatic-sedan,"paint fading panel
dents or marks on body consistent with age and kilometres.
large scuff on panel
large scratch on panel",47.0,2809,2025-03-09,0.0,UNCLASSIFIED,[DISALLOWED_VARIANT],,,,current_strict_sold,True,
2017.0,toyota,camry,atara s hybrid avv50r,sedan,cvt,hybrid,257644,5.0,6T1BD3FK70X157975,1SR7KJ,30-07-2025,4,2.5,White,Black,Yes,Yes,No,No,Yes,vic,https://www.grays.com/lot/0001-21044802/motor-vehicles-motor-cycles/2017-toyota-camry-atara-s-hybrid-avv50r-cvt-sedan,"medium scratch on rear bumper
paint cracked front bumper
dents or marks on body consistent with age and kilometres.
medium scuff on rear passenger door",88.0,11700,2025-03-09,0.0,UNCLASSIFIED,[DISALLOWED_VARIANT],,,,current_strict_sold,True,
2011.0,subaru,liberty,2.5i premium b5,sedan,cvt,petrol,188140,5.0,JF1BM9K92BG011700,YJC127,05-05-2025,4,2.5,White,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044875/motor-vehicles-motor-cycles/2011-subaru-liberty-2-5i-premium-b5-cvt-sedan,"dents or marks on body consistent with age and kilometres.
large scuff on panel
paint cracked panel
paint peeling panel
windscreen chipped or cracked.
seat torn driver",40.0,3309,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2011.0,subaru,liberty,2.5i b5,wagon,cvt,petrol,276026,5.0,JF1BR9K92BG024197,1BJ9GX,28-03-2025,4,2.5,Black,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044518/motor-vehicles-motor-cycles/2011-subaru-liberty-2-5i-b5-cvt-wagon,dents or marks on body consistent with age and kilometres.,24.0,1909,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2006.0,subaru,impreza,wrx tuned by sti australia (awd) g2,sedan,manual,petrol,110318,5.0,JF1GDGKD37G066557,BOJ944,25-05-2025,4,2.5,Blue,Black Leather,Yes,Yes,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21044825/motor-vehicles-motor-cycles/2006-subaru-impreza-wrx-tuned-by-sti-australia-awd-g2-manual-sedan,dents or marks on body consistent with age and kilometres.,315.0,23500,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2010.0,subaru,impreza,r (awd) g3,hatchback,automatic,petrol,222526,5.0,JF1GH7KS5BG052392,YDS778,17-01-2026,4,2.0,Grey,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21044828/motor-vehicles-motor-cycles/2010-subaru-impreza-r-awd-g3-automatic-hatchback,"medium scratch on around door handles, rear fenders, rear bumper
medium dent on front bumper out of place
dents or marks on body consistent with age and kilometres.",11.0,1009,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2008.0,subaru,forester,x s3,wagon,manual,petrol,210768,5.0,JF2SH9KK49G004575,No plates,Unregistered,4,2.5,Silver,Black,Yes,No,No,Yes,Yes,vic,https://www.grays.com/lot/0001-21044775/motor-vehicles-motor-cycles/2008-subaru-forester-x-s3-manual-wagon,dents or marks on body consistent with age and kilometres.,17.0,1409,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2008.0,subaru,forester,x s3,wagon,automatic,petrol,178279,5.0,JF2SH9KL59G015268,No plates,Unregistered,4,2.5,Grey,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21044776/motor-vehicles-motor-cycles/2008-subaru-forester-x-s3-automatic-wagon,"dents or marks on body consistent with age and kilometres.
paint fading panel
large scratch on lhr quarter panel",51.0,4315,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2011.0,subaru,forester,x s3,wagon,automatic,petrol,117984,5.0,JF2SHMKS5BG065126,YIO806,05-04-2025,4,2.5,White,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21044873/motor-vehicles-motor-cycles/2011-subaru-forester-x-s3-automatic-wagon,"medium scuff on rear passenger door
dents or marks on body consistent with age and kilometres.
medium scratch on doors, rear bumper, front bumper",105.0,6600,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2006.0,honda,odyssey,luxury,people mover,automatic,petrol,328707,7.0,JHMRB18507C200109,1WI3CZ,03-08-2025,4,2.4,Purple,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044827/motor-vehicles-motor-cycles/2006-honda-odyssey-luxury-automatic-7-seats-people-mover,"dents or marks on body consistent with age and kilometres.
medium scuff on drivers side doors
medium scuff on front bumper",16.0,1509,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2007.0,mazda,cx-7,luxury (4x4),wagon,automatic,petrol,262331,5.0,JM0ER103100105016,UVB569,04-03-2025,4,2.3,Black,Beige Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044643/motor-vehicles-motor-cycles/2007-mazda-cx-7-luxury-4x4-automatic-wagon,dents or marks on body consistent with age and kilometres.,25.0,2009,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2013.0,mazda,cx-5,maxx sport ke,wagon,automatic,diesel,195756,5.0,JM0KE102100203892,No plates,Unregistered,4,2.2,Silver,Black,Yes,Yes,Yes,Yes,Yes,qld,https://www.grays.com/lot/0001-50711139/motor-vehicles-motor-cycles/2013-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,"paint fading bonnet, spoiler, roof
medium dent on rh side of rear bumper
dents or marks on body consistent with age and kilometres.
interior: driver door handle damaged
marks in boot
seat tear rhf",78.0,6534,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2015.0,mazda,cx-5,akera ke,wagon,automatic,diesel,197022,5.0,JM0KE102200327655,CYL01Z,Unregistered,4,2.2,Blue,Black Leather,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10910383/motor-vehicles-motor-cycles/2015-mazda-cx-5-akera-ke-turbo-diesel-automatic-wagon,"engine overheating, tow advisable.",93.0,5400,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2007.0,mitsubishi,express,swb sj,van,manual,petrol,297437,2.0,JMFGNP04V7A002236,1DLR712,03-04-2025,4,2.4,White,Grey,Yes,No,No,No,Yes,wa,https://www.grays.com/lot/0001-9057531/motor-vehicles-motor-cycles/2007-mitsubishi-express-swb-sj-manual-van,"head gasket requires attention, engine has rough idle, exterior: medium scratch all over vehicle, large dent on various panels, interior: rattling noise from inside of dash, seat torn driver, tilt tray recommended for collection",6.0,900,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
1991.0,mitsubishi,gto,import,coupe,manual,petrol,93304,4.0,6U9000Z16A0005556,No plates,Unregistered,6,3.0,Red,Black,Yes,No,No,No,No,vic,https://www.grays.com/lot/0001-21044883/motor-vehicles-motor-cycles/1991-mitsubishi-gto-import-manual-coupe,"paint fading all around the vehicle
body/panel damage passenger side skirt/panel fallen off
clutch requires attention
flat battery. jump start or towing required
corrosion visible all around the vehicle mostly underbody
door card damaged.
odometer not working.",83.0,6209,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2012.0,ford,focus,trend lw ii,hatchback,automatic,diesel,386731,5.0,MPB1XXMXB1CD04362,No plates,Unregistered,4,2.0,Grey,Black,Yes,Yes,Yes,Yes,Yes,qld,https://www.grays.com/lot/0001-50711227/motor-vehicles-motor-cycles/2012-ford-focus-trend-lw-ii-turbo-diesel-automatic-hatchback,"windscreen chipped or cracked.
door card worn.
marks in boot
dents or marks on body consistent with age and kilometres.
paint fading multiple panels
controls inoperable driver door window controls",41.0,3300,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2006.0,mercedes,benz,e280 elegance w211,sedan,automatic,petrol,162530,5.0,WDB2110542B099597,WCC424,20-05-2025,6,3.0,Black,Cream Leather,Yes,Yes,No,Yes,Yes,vic,https://www.grays.com/lot/0001-21044841/motor-vehicles-motor-cycles/2006-mercedes-benz-e280-elegance-w211-automatic-sedan,medium scratch on bonnet,45.0,4450,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2008.0,mercedes,benz,clc 200k cl203,coupe,automatic,petrol,238317,4.0,WDB2037412E062963,No plates,Unregistered,4,1.8,Black,Multi,Yes,No,Yes,Yes,Yes,sa,https://www.grays.com/lot/0001-60047400/motor-vehicles-motor-cycles/2008-mercedes-benz-clc-200k-cl203-automatic-coupe,engine noise observed.,25.0,1710,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2008.0,mazda,3,neo bk,sedan,automatic,petrol,127914,5.0,JM0BK10F200452454,1CYL768,25-05-2025,4,2.0,Dark Grey,Black,Yes,No,No,No,Yes,wa,https://www.grays.com/lot/0001-9057515/motor-vehicles-motor-cycles/2008-mazda-3-neo-bk-automatic-sedan,"engine idling rough
gear knob missing
paint fading all around
front (disjointed) cracked bumper.
dents or marks on body consistent with age and kilometres.
medium dent on rear left quarter
medium scuff on rear left quarter, front right corner
damaged headlights spray painted black, scratched
back seat stains.",11.0,901,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
2019.0,hyundai,sonata,active lf,sedan,automatic,petrol,124513,5.0,KMHE241FMKA571605,1XM4SY,06-03-2025,4,2.4,Black,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21044855/motor-vehicles-motor-cycles/2019-hyundai-sonata-active-lf-automatic-sedan,"dents or marks on body consistent with age and kilometres.
door card worn.
medium dent on rear trunk lid",107.0,10300,2025-03-09,0.0,UNCLASSIFIED,[OUT_OF_SCOPE],,,,current_strict_sold,True,
