year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,odo_suspect,canonical_tag,canonical_reason,price_numeric,price_text,bids_numeric,ledger_source,strict_sold_ready,strict_exclusion_reason
2007.0,Ford,Falcon Xr6 Lpg Bf Mkii Automatic Ute Wovr Inspected,XR6 (LPG) BF MKII Automatic Ute (WOVR-INSPECTED),Ute,Automatic,LPG,298419,2,6FPAAAJGCM7E78123,ZMG530,30-06-2025,6,4,Blue,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21046246/motor-vehicles-motor-cycles/2007-ford-falcon-xr6-lpg-bf-mkii-automatic-ute-wovr-inspected,"Engine idling rough
Seat Torn Drivers seat
Front Seat worn Drivers, passengers seat worn
Engine Oil Leak
Dents or marks on body consistent with age and kilometres.",22.0,2009.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2012.0,Honda,Civic Hybrid 9Th Gen Cvt Sedan Wovr Inspected,Hybrid 9TH GEN CVT Sedan WOVR-INSPECTED,Sedan,CVT,Hybrid,148291,5,JHMFB4620CS200194,CR49VJ,?,4,1.5,Silver,Grey,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10347898/motor-vehicles-motor-cycles/2012-honda-civic-hybrid-9th-gen-cvt-sedan-wovr-inspected,"Dents or marks on body consistent with age and kilometres.
Damaged Passenger side tail light
Body/panel damage Bumper bars, sill panels, rear quarter panels, passenger side rear door
Other Warning light ON
Transmission Requires attention Strongly recommend inspection by qualified third party",2.0,1100.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2011.0,Holden,Sportwagon Sv6 Ve Automatic Wagon,SV6 VE Automatic Wagon,Wagon,Automatic,Petrol,"178246 - Odometer discrepancy detected, see attached history report.",5,6G1EK8E36CL613739,no plates,?,6,3.6,White,Black Leather,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045632/motor-vehicles-motor-cycles/2011-holden-sportwagon-sv6-ve-automatic-wagon,"Medium Dent on Passenger side
Dents or marks on body consistent with age and kilometres.
Seat Torn driver
Comment: Odometer discrepancy detected, see attached history report.",70.0,4655.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2007.0,Suzuki,Off Road Motorcycle,Road Motorcycle,?,?,?,?,?,JS1BB111100108193,?,?,?,?,?,?,Yes,No,?,No,No,?,https://www.grays.com/lot/0001-9058259/motor-vehicles-motor-cycles/2007-suzuki-off-road-motorcycle,"Bidders may find when they do perform a PPSR check (highly recommended) in many cases the vehicles do have a security interest registered against them, which will be lifted shortly after the relevant vehicle is sold and monies are cleared in the secured party’s/security holder’s account; and
Please allow up to 10 business days for the security interest registration to be removed.",20.0,1909.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
0.0,Surron,Light Bee Motorcycle,Bee Motorcycle,?,?,?,?,?,HU3YWC101S0051168,?,?,?,?,?,?,Yes,Yes,?,No,Yes,?,https://www.grays.com/lot/0001-9058265/motor-vehicles-motor-cycles/000-surron-light-bee-motorcycle,"Bidders may find when they do perform a PPSR check (highly recommended) in many cases the vehicles do have a security interest registered against them, which will be lifted shortly after the relevant vehicle is sold and monies are cleared in the secured party’s/security holder’s account; and
Please allow up to 10 business days for the security interest registration to be removed.",265.0,4910.0,,,,,,,,historical_sold,False,[BAD_YEAR]
2014.0,Yamaha,Yzf R1 Motorcycle,Motorcycle,?,?,?,?,?,JYARN2271EA001170,?,?,?,1000,?,?,Yes,No,?,No,Yes,?,https://www.grays.com/lot/0001-9058260/motor-vehicles-motor-cycles/2014-yamaha-yzf-r1-motorcycle,"Bidders may find when they do perform a PPSR check (highly recommended) in many cases the vehicles do have a security interest registered against them, which will be lifted shortly after the relevant vehicle is sold and monies are cleared in the secured party’s/security holder’s account; and
Please allow up to 10 business days for the security interest registration to be removed.",44.0,8224.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2001.0,Yamaha,Yzr Motorcycle,Motorcycle,?,?,?,?,?,JYACJ02W12A004692,?,?,?,426,?,?,No,No,?,No,No,?,https://www.grays.com/lot/0001-9058376/motor-vehicles-motor-cycles/2001-yamaha-yzr-motorcycle,"Bidders may find when they do perform a PPSR check (highly recommended) in many cases the vehicles do have a security interest registered against them, which will be lifted shortly after the relevant vehicle is sold and monies are cleared in the secured party’s/security holder’s account; and
Please allow up to 10 business days for the security interest registration to be removed.",7.0,609.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2006.0,Kawasaki,Unknown Motorcycle,Motorcycle,?,?,?,?,?,JKAKXGDC56A006145,?,?,?,?,?,?,No,No,?,No,No,?,https://www.grays.com/lot/0001-9058295/motor-vehicles-motor-cycles/2006-kawasaki-unknown-motorcycle,"Bidders may find when they do perform a PPSR check (highly recommended) in many cases the vehicles do have a security interest registered against them, which will be lifted shortly after the relevant vehicle is sold and monies are cleared in the secured party’s/security holder’s account; and
Please allow up to 10 business days for the security interest registration to be removed.",11.0,1500.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2004.0,Mitsubishi,Lancer Es Ch Automatic Sedan,ES CH Automatic Sedan,Sedan,Automatic,Petrol,0,5,JMFSRCS6A5U003677,No plates,?,4,2,Silver,Grey,No,No,No,No,No,WA,https://www.grays.com/lot/0001-9058306/motor-vehicles-motor-cycles/2004-mitsubishi-lancer-es-ch-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Rear bumper Cracked bumper.
Paint peeling Spoiler, roof
Medium Scratch on various panels",7.0,509.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2001.0,Ducati,Super Sport Motorcycle,Super Sport Motorcycle,?,?,Petrol,?,?,ZDMV100AA1B009550,?,?,?,80hp,?,?,Yes,Yes,?,Yes,Yes,?,https://www.grays.com/lot/0001-60047526/motor-vehicles-motor-cycles/2001-ducati-900-super-sport-motorcycle,"Bidders may find when they do perform a PPSR check (highly recommended) in many cases the vehicles do have a security interest registered against them, which will be lifted shortly after the relevant vehicle is sold and monies are cleared in the secured party’s/security holder’s account; and
Please allow up to 10 business days for the security interest registration to be removed.",292.0,6031.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2014.0,Honda,Crf Motorcycle,Motorcycle,?,?,?,?,?,LALJE02UXE3102873,?,?,?,110,?,?,Yes,No,?,No,Yes,?,https://www.grays.com/lot/0001-9058294/motor-vehicles-motor-cycles/2014-honda-crf-motorcycle,"Bidders may find when they do perform a PPSR check (highly recommended) in many cases the vehicles do have a security interest registered against them, which will be lifted shortly after the relevant vehicle is sold and monies are cleared in the secured party’s/security holder’s account; and
Please allow up to 10 business days for the security interest registration to be removed.",25.0,2009.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2022.0,Honda,Crf Motorcycle,Motorcycle,?,?,?,?,?,LALJE03U6N3500029,?,?,?,125,?,?,Yes,No,?,No,Yes,?,https://www.grays.com/lot/0001-9058293/motor-vehicles-motor-cycles/2022-honda-crf-motorcycle,"Bidders may find when they do perform a PPSR check (highly recommended) in many cases the vehicles do have a security interest registered against them, which will be lifted shortly after the relevant vehicle is sold and monies are cleared in the secured party’s/security holder’s account; and
Please allow up to 10 business days for the security interest registration to be removed.",27.0,2600.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2015.0,Honda,Unknown Motorcycle Wovr Repairable,Motorcycle WOVR - Repairable,?,?,?,?,?,RLHJF58U5FY000593,?,?,?,?,?,?,No,No,?,No,No,?,https://www.grays.com/lot/0001-9058289/motor-vehicles-motor-cycles/2015-honda-unknown-motorcycle-wovr-repairable,"Bidders may find when they do perform a PPSR check (highly recommended) in many cases the vehicles do have a security interest registered against them, which will be lifted shortly after the relevant vehicle is sold and monies are cleared in the secured party’s/security holder’s account; and
Please allow up to 10 business days for the security interest registration to be removed.",8.0,70.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2008.0,Comp,Bmw 1 18I E87 Automatic Hatchback 98 Kms,"1 18i E87 Automatic Hatchback 98,747 kms",Hatchback,Automatic,Petrol,98747,5,WBAUE72000E015848,DZV46F,?,4,2,Silver,Black,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10348005/motor-vehicles-motor-cycles/2008-comp-bmw-1-18i-e87-automatic-hatchback-98-747-kms,"Dents or marks on body consistent with age and kilometres.
Large Scratch on Bumper bars
Large Dent on Passenger side rear quarter panel",51.0,3716.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2008.0,Honda,Cbr125R,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://www.grays.com/lot/0026-9058219/motor-vehicles-motor-cycles/2008-honda-cbr125r,"High Risk License.
SWMS for the operations assessed to be high risk.
Confirmation of Workers Compensation Certificate of Currency.
Confirmation of Public Liability Certificate of Currency.
Proof any released gasses are captured, stored, transported and disposed of as per legislative requirements.",2.0,9.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2008.0,Suzuki,Gsx Motorcycle,650 Motorcycle,?,?,?,?,?,JS1CJ135300100424,?,?,?,650,?,?,No,?,?,No,No,?,https://www.grays.com/lot/0001-9058270/motor-vehicles-motor-cycles/2008-suzuki-gsx-650-motorcycle,"Bidders may find when they do perform a PPSR check (highly recommended) in many cases the vehicles do have a security interest registered against them, which will be lifted shortly after the relevant vehicle is sold and monies are cleared in the secured party’s/security holder’s account; and
Please allow up to 10 business days for the security interest registration to be removed.",1.0,9.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
