year,make,model,variant,body_type,no_of_seats,build_date,compliance_date,vin,rego_no,rego_state,rego_expiry,no_of_plates,no_of_cylinders,engine_capacity,fuel_type,transmission,odometer_reading,odometer_unit,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,features_list,bids,price,time_remaining_or_date_sold,referral_reason,status,canonical_tag,canonical_reason
2007.0,toyota,hilux,sr (4x4) kun26r,dual cab,5.0,01-2007,02-2007,MR0FZ22G601015023,No Plates,VIC,Unregistered,,4.0,3,diesel,manual,253971.0,km,White,White,Yes,No,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21050956/motor-vehicles-motor-cycles/2007-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-dual-cab,large dent on large dents all over the vehicle corrosion visible tray and chassis seat torn all seats torn or missing chunks,"Air Conditioning, Bull Bar, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 157 Dohertys Road, Laverton North, VIC, 3026, Key No: 84B",,,,Large Dent on Large dents all over the vehicle Corrosion visible Tray and chassis Seat Torn All seats torn or missing chunks,referred,,
2015.0,mitsubishi,triton,4wd - ute,dual cab,,,03/2015,MMAJNKB40FD026958,1XD9FN,VIC,Unregistered,,4.0,,diesel,manual,1723100.0,km,White,Grey,Yes,No,Yes,Partial,Yes,,https://www.grays.com/lot/0001-21050962/motor-vehicles-motor-cycles/2015-mitsubishi-triton-4wd-manual-5-speed-dual-cab-ute,"comment: abs brakes, multi function steering wheel, side steps, tow bar, contents not included. exterior damage: clear coat peel, dents scrapes and scratches.","Bluetooth Capability, CD Player, Remote Central Locking, Climate Control, Cruise Control, Drivers Airbag, Electric Windows, Roof Racks, Location: 70 Lowan Ave Cardross VIC 3496",,,,"Comment: ABS Brakes, Multi Function Steering Wheel, Side Steps, Tow Bar, Contents not included. Exterior Damage: Clear coat peel, dents scrapes and scratches.",referred,,
2006.0,subaru,liberty,3.0r b4,sedan,5.0,2006-11,2006-12,JF1BLEKU57G028339,URC404,VIC,26-08-2025,2.0,6.0,3,petrol,automatic,288714.0,km,Silver,Beige Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21050966/motor-vehicles-motor-cycles/2006-subaru-liberty-3-0r-b4-automatic-sedan,paint peeling roof oil leak,"Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Sunroof, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 132 (349222)",,,,Paint peeling Roof Oil Leak,referred,,
2009.0,toyota,majesta,import,sedan,5.0,2009-04,2023-02,6ZZ9URS2061001371,1XN1KZ,,15-09-2025.,2.0,8.0,4.7,petrol,automatic,1741800.0,km,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21050973/motor-vehicles-motor-cycles/2009-toyota-majesta-import-automatic-sedan,dents or marks on body consistent with age and kilometres. left mirror electric folding function not working.,"Central Locking, Driver Airbag, Electric Windows, Leather Trim, Power Steering, Sunroof, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1057 (349832)",,,,Dents or marks on body consistent with age and kilometres. Left mirror electric folding function not working.,referred,,
2010.0,ford,falcon,xr6 fg,sedan,5.0,2010-05,2010-05,6FPAAAJGSWAJ30885,YRH559,VIC,30-01-2026,2.0,6.0,4,petrol,automatic,225209.0,km,Red,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21050976/motor-vehicles-motor-cycles/2010-ford-falcon-xr6-fg-automatic-sedan,dents or marks on body consistent with age and kilometres. engine light on oil leak windscreen chipped or cracked. paint fading roof area,"Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1185 (349577)",,,,Dents or marks on body consistent with age and kilometres. Engine light ON Oil Leak Windscreen Chipped or Cracked. Paint fading Roof Area,referred,,
2019.0,subaru,liberty,2.5i b6,sedan,5.0,2019-04,2019-05,JF1BN9KC2KG030253,No plates,VIC,Unregistered,0.0,4.0,2.5,petrol,cvt,1316810.0,km,White,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21050992/motor-vehicles-motor-cycles/2019-subaru-liberty-2-5i-b6-cvt-sedan,dents or marks on body consistent with age and kilometres. airbag light on,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Power Steering, Reversing Camera, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 714C (350051)",,,,Dents or marks on body consistent with age and kilometres. Airbag light ON,referred,,
2019.0,ford,ranger,2 raptor 4wd ute,dual cab,5.0,01/2019,02/2019,MPBUMFE60KX207785,AXP055,VIC,Unregistered,,5.0,,diesel,automatic,1369780.0,km,Grey,Black,Yes,Yes,Yes,Full,Yes,,https://www.grays.com/lot/0001-21051000/motor-vehicles-motor-cycles/2019-ford-ranger-2-raptor-4wd-automatic-dual-cab-ute,"comment: dealer fitted with chip and torque that gives an extra 23km and extra 65nm, abs brakes, multi function steering wheel, side steps, tow bar, roll back hard top, tub liner, leather trim exterior damage: scratches on bonnet.","Air Conditioning, Bluetooth Capability, Remote Central Locking, Climate Control, Cruise Control, Drivers Airbag, Electric Windows, Leather Trim, Park Assist, Power Steering, Reverse Camera, Satellite Navigation, Location: 7-9 Nardoo Street, Red Cliffs, VIC 3496",,,,"Comment: Dealer fitted with Chip and Torque that gives an extra 23Km and extra 65NM, ABS Brakes, Multi Function Steering Wheel, Side Steps, Tow Bar, Roll back hard top, Tub Liner, Leather Trim Exterior Damage: Scratches on bonnet.",referred,,
2016.0,nissan,navara,d23 4wd sports ute,dual cab,,01/2016,07/2016,MNTCB4D23A0016392,,,Unregistered,,4.0,,diesel,automatic,1054870.0,km,White,Black,Yes,Yes,Yes,Full,Yes,,https://www.grays.com/lot/0001-21051007/motor-vehicles-motor-cycles/2016-nissan-navara-d23-4wd-sports-automatic-dual-cab-ute,"full suspension upgrade to tough dog suspension fitted with electric brakes and reverse camera comment: abs brakes, multi function steering wheel, side steps, tow bar, exterior damage: srape to front rhs.","Air Conditioning, Bluetooth Capability, Remote Central Locking, Cruise Control, Drivers Airbag, Electric Windows, MP3 Capability, Power Steering, Reverse Camera, Location: 7-9 Nardoo Street, Red Cliffs, VIC 3496",,,,"Full suspension upgrade to tough dog suspension Fitted with electric brakes and reverse camera Comment: ABS Brakes, Multi Function Steering Wheel, Side Steps, Tow Bar, Exterior Damage: Srape to front RHS.",referred,,
2018.0,ford,ranger,2 xl super cab rwd - extra cab,extra cab,,03/2018,04/2018,,IMB3DJ,VIC,Unregistered,,5.0,2.2,diesel,automatic,,km,,,Yes,,Yes,,Yes,,https://www.grays.com/lot/0001-21051008/motor-vehicles-motor-cycles/2018-ford-ranger-2-xl-super-cab-rwd-automatic-6-speed-extra-cab,"comment: abs brakes, multi function steering wheel, tow bar, dent to bonnet, front fender, small dents scrpes and scratches., platic missing from interior fuse board. seats ripped damaged. extras: aluminum tray with dropdown sides, head board, tool boxes not included, contents not included. brake controller. rear sets removed.","Air Conditioning, Electric Windows, Power Steering, Reverse Camera, Wild track alloy rims,, Aluminium drop down sides, Head board, Brake Controller, Tow Bar, Air bags, Multi function steering wheel, TOOL BOXES NOT INCLUDED, CONTENTS NOT INCLUDED, Location: 5 Allen Drive, Irymple, VIC 3498",,,,"Comment: ABS Brakes, Multi Function Steering Wheel, Tow Bar, Dent to bonnet, front fender, small dents scrpes and scratches., Platic missing from interior fuse board. Seats ripped damaged. Extras: Aluminum tray with dropdown sides, head board, tool boxes not included, contents not included. Brake controller. Rear sets removed.",referred,,
2011.0,ford,falcon,xr6 fg,ute,2.0,2011-02,2011-02,6FPAAAJGCMBK25531,YOX279,VIC,29-09-2025,2.0,6.0,4,petrol,automatic,227486.0,km,Black,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21051053/motor-vehicles-motor-cycles/2011-ford-falcon-xr6-fg-automatic-ute,windscreen chipped or cracked. front seat stains driver & passenger large scratch on front bumper medium scratch on driver side door & panel medium scratch on passenger side door & panels medium dent on passenger side front guard medium dent on roof dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 459a (348684)",,,,Windscreen Chipped or Cracked. Front Seat Stains Driver & Passenger Large Scratch on Front Bumper Medium Scratch on Driver Side Door & Panel Medium Scratch on Passenger Side Door & Panels Medium Dent on Passenger Side Front Guard Medium Dent on Roof Dents or marks on body consistent with age and kilometres.,referred,,
