year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,canonical_tag,canonical_reason,drivetrain_source,status,time_remaining_or_date_sold,price,bids
2014,NISSAN,Pathfinder,ST-L R52,Wagon,CVT,Petrol,293997,7.0,5N1AR2MN1EC664837,CTV92A,Unregistered,6,3.5,White,Black,Yes,Yes,Yes,Partial,No,NSW,https://www.grays.com/lot/0001-10352340/motor-vehicles-motor-cycles/2014-nissan-pathfinder-st-l-r52-cvt-7-seats-wagon,"Please refer to the photos or arrange inspection to view the condition of this vehicle.
Non-runner, tilt tray required for collection",UNCLASSIFIED,[OUT_OF_SCOPE],,active,4d 22h 41m44s,9.0,1.0
2010,FORD,Territory,TX SY II,Wagon,Automatic,Petrol,204588,7.0,6FPAAAJGATAP45832,KLC974,Unregistered,6,4.0,White,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352342/motor-vehicles-motor-cycles/2010-ford-territory-tx-sy-ii-automatic-7-seats-wagon,"Large Dent on Bonnet, roof
Corrosion visible Engine bay, bonnet, roof
Drivers side wndow requires attention
Hood Lining Sagging",UNCLASSIFIED,[OUT_OF_SCOPE],,active,22h 41m21s,209.0,3.0
2014,JEEP,Grand,Cherokee Laredo (4x4) WK T,Wagon,Automatic,Diesel,136188,5.0,1C4RJFEM0EC424657,FLX23Z,28-05-2026,6,3.0,Silver,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352346/motor-vehicles-motor-cycles/2014-jeep-grand-cherokee-laredo-4x4-wk-t-diesel-automatic-8-speed-wagon,"Hail damage visible.
Medium Dent on Passenger side front door
Carpet worn in places.",UNCLASSIFIED,[OUT_OF_SCOPE],,active,7m1s,7900.0,108.0
2008,TOYOTA,Landcruiser,GXL (4x4) VDJ200R,Wagon,Automatic,Diesel,531507,5.0,JTMHV09JX04025514,V8M8,Unregistered,8,4.5,Grey,Grey,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352360/motor-vehicles-motor-cycles/2008-toyota-landcruiser-gxl-4x4-vdj200r-turbo-diesel-automatic-wagon,"Large Dent on Passenger side doors
Rear Cracked bumper.
Paint peeling Numerous locations
Windscreen Chipped or Cracked.
Corrosion visible Underbody components
Other Warning light ON",UNCLASSIFIED,[OUT_OF_SCOPE],,active,nan,nan,
2020,FORD,Ranger,XLT 4X4 PX III,Dual Cab,Automatic,Diesel,198823,5.0,MPBUMFF50LX278255,FYG33A,Unregistered,5,3.2,White,Black,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10352361/motor-vehicles-motor-cycles/2020-ford-ranger-xlt-4x4-px-iii-turbo-diesel-automatic-dual-cab,Hail damage visible.,UNCLASSIFIED,[OUT_OF_SCOPE],,active,4d 22h 39m4s,109.0,3.0
2015,MERCEDES,Benz,C-Class C250 W205 AMG Pack,Sedan,Automatic,Petrol,122377,5.0,WDD2050452R089998,DAE57B,05-08-2026,4,2.0,Black,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352365/motor-vehicles-motor-cycles/2015-mercedes-benz-c-class-c250-w205-amg-pack-automatic-sedan,Windscreen Chipped or Cracked.,UNCLASSIFIED,[OUT_OF_SCOPE],,active,nan,nan,
2016,FORD,Ranger,XL 4X4 PX II,Dual Cab,Automatic,Diesel,452855,5.0,MNAUMFF50GW607925,1YM7UG,Unregistered,5,3.2,White,Black,Yes,No,No,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352366/motor-vehicles-motor-cycles/2016-ford-ranger-xl-4x4-px-ii-turbo-diesel-automatic-dual-cab,"Large Dent on Roof and bonnet
Seat Torn Drivers seat
Other Warning light ON
Medium Scratch on LHR quarter
Paint peeling on tray",UNCLASSIFIED,[OUT_OF_SCOPE],,active,4d 22h 36m51s,9.0,1.0
2008,TOYOTA,Crown,Import,Sedan,Automatic,Petrol,133405,5.0,6ZZ8GRS2040004708,No plates,Unregistered,6,3.5,White,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352367/motor-vehicles-motor-cycles/2008-toyota-crown-import-automatic-sedan,"Medium Scratch on Front bumper bar, passenger side sill skirt
Steering requires attention.
Engine light ON
Traction control light ON",UNCLASSIFIED,[OUT_OF_SCOPE],,active,4d 22h 35m49s,9.0,1.0
2017,CITROEN,Grand,C4 Picasso,Wagon,Automatic,Petrol,103494,7.0,VF73A5GYAHJ810348,DVI83A,11-03-2026.,4,1.6,Grey,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352368/motor-vehicles-motor-cycles/2017-citroen-grand-c4-picasso-auto-7-seats-wagon-pinkslip-issued-20-1-26,"Hail damage visible.
Medium Dent on Passenger side rear door and quarter panel",UNCLASSIFIED,[OUT_OF_SCOPE],,active,4d 22h 35m22s,9.0,0.0
2016,KIA,Sorento,SLi UM,Wagon,Automatic,Diesel,194734,7.0,KNAPH81BSG5263067,No plates,Unregistered,4,2.2,White,Black,Yes,Yes,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10352369/motor-vehicles-motor-cycles/2016-kia-sorento-sli-um-turbo-diesel-automatic-7-seats-wagon,"Large Scratch on Driver side frint guard and door
Medium Dent on Roof
Medium Scratch on Front bumper bar
Seat Torn Drivers seat",UNCLASSIFIED,[OUT_OF_SCOPE],,active,4d 22h 33m56s,9.0,0.0
