url,year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,general_condition,canonical_tag,canonical_reason,status,last_observed_price,price,bids,time_remaining_or_date_sold,date_sold
https://www.grays.com/lot/0001-21063675/motor-vehicles-motor-cycles/2013-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,3109.0,,35.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063677/motor-vehicles-motor-cycles/2017-land-rover-range-rover-sport-3-0-tdv6-se-t-d-auto-8-speed-wagon,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,33300.0,,328.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063678/motor-vehicles-motor-cycles/2020-mazda-bt-50-4x2-xtr-turbo-diesel-automatic-dual-cab,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,14000.0,,208.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063679/motor-vehicles-motor-cycles/2004-nissan-x-trail-ti-luxury-t30-automatic-wagon,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,709.0,,8.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063680/motor-vehicles-motor-cycles/2010-honda-jazz-vti-ge-automatic-hatchback,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,3900.0,,39.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063681/motor-vehicles-motor-cycles/2017-ford-ranger-xlt-4x2-hi-rider-px-ii-turbo-diesel-automatic-ute,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,13275.0,,184.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063692/motor-vehicles-motor-cycles/2014-holden-cruze-z-series-jh-automatic-sedan,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,1809.0,,24.0,10 March 2026 20:05 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063693/motor-vehicles-motor-cycles/2010-volvo-xc90-3-2-r-design-automatic-7-seats-wagon,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,2400.0,,46.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063701/motor-vehicles-motor-cycles/2008-volkswagen-golf-gti-a5-automatic-hatchback,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,2300.0,,25.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063702/motor-vehicles-motor-cycles/1998-holden-combo-sb-manual-van,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,509.0,,7.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063703/motor-vehicles-motor-cycles/2006-toyota-aurion-at-x-gsv40r-automatic-sedan,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,3109.0,,41.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063704/motor-vehicles-motor-cycles/2019-holden-trax-ltz-tj-automatic-wagon,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,3309.0,,47.0,10 March 2026 20:00 AEDT,2026-03-10
