year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,canonical_tag,canonical_reason,drivetrain_source,status,time_remaining_or_date_sold,price,bids
2018,TOYOTA,Camry,ascent hybrid axvh71r,Sedan,Automatic,Hybrid,57542,5.0,JTNB23HK603007765,No Plates,Unregistered,4.0,2.5,Champagne,Grey,Yes,Yes,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21059936/motor-vehicles-motor-cycles/2018-toyota-camry-ascent-hybrid-axvh71r-automatic-sedan,dents or marks on body consistent with age and kilometres.,toyota_camry_ascent_hybrid_auto_sedan_axvh71r,,,,,20100,258
2019,TOYOTA,Camry,ascent hybrid axvh71r,Sedan,CVT,Hybrid,504248,5.0,JTNB23HK003054256,No plates,Unregistered,4.0,2.5,White,Black,Yes,Yes,Yes,No,Yes,nsw,https://www.grays.com/lot/0001-10348176/motor-vehicles-motor-cycles/2019-toyota-camry-ascent-hybrid-axvh71r-cvt-sedan,"dents or marks on body consistent with age and kilometres.
large dent on bootlid
windscreen chipped or cracked.
light hail damage visible.",toyota_camry_ascent_hybrid_auto_sedan_axvh71r,,,,,17800,193
2020,TOYOTA,Camry,ascent hybrid axvh71r,Sedan,CVT,Hybrid,121821,5.0,JTNB23HK303082360,No plates,Unregistered,4.0,2.5,White,Black,Yes,Yes,Yes,Partial,Yes,qld,https://www.grays.com/lot/0001-50714247/motor-vehicles-motor-cycles/2020-toyota-camry-ascent-hybrid-axvh71r-cvt-sedan,"front seat stains both
dents or marks on body consistent with age and kilometres.
large scratch on various panels",toyota_camry_ascent_hybrid_auto_sedan_axvh71r,,,,,21500,27
2017,TOYOTA,Corolla,ascent zre182r,Hatchback,CVT,Petrol,77211,5.0,JTNKU3JE80J558905,No plates,Unregistered,4.0,1.8,Silver,Charcoal,Yes,No,No,No,Yes,wa,https://www.grays.com/lot/0001-9062139/motor-vehicles-motor-cycles/2017-toyota-corolla-ascent-zre182r-cvt-hatchback,"dents or marks on body consistent with age and kilometres.
front seat stains passenger seat",toyota_corolla_ascent_petrol_auto_hatch_zre18x,,,,,11800,151
2013,TOYOTA,Corolla,ascent zre182r,Hatchback,CVT,Petrol,256741,5.0,JTNKU3JE60J034765,1EU5UA,15-07-2025,4.0,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21047009/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre182r-cvt-hatchback,"dents or marks on body consistent with age and kilometres.
medium scratch on front and rear bumper",toyota_corolla_ascent_petrol_auto_hatch_zre18x,,,,,7106,90
2014,TOYOTA,Corolla,ascent zre182r,Hatchback,CVT,Petrol,193733,5.0,JTNKU3JE20J083803,1GM5XW,15-07-2025,4.0,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21045293/motor-vehicles-motor-cycles/2014-toyota-corolla-ascent-zre182r-cvt-hatchback,"paint cracked rear bar
dents or marks on body consistent with age and kilometres.
controls broken heater and air conditioning / blower fan",toyota_corolla_ascent_petrol_auto_hatch_zre18x,,,,,8600,119
2013,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,362639,5.0,JTNBU56E10J103933,No plates,Unregistered,4.0,1.8,White,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515170/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
paint peeling over vehicle",toyota_corolla_ascent_petrol_auto_sedan_zre152r,,,,,3200,22
2007,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,330259,5.0,JTNBU52E40J004187,1ZW2IG,21-09-2025,4.0,1.8,White,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21054239/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,"flat battery. jump start or towing required
dents or marks on body consistent with age and kilometres.
paint peeling front bumper
seats and carpet worn.",toyota_corolla_ascent_petrol_auto_sedan_zre152r,,,,,2109,24
2012,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,96287,5.0,JTNBU56EX0J083164,BQ41KB,Unregistered,4.0,1.8,Blue,Black,Yes,No,No,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352200/motor-vehicles-motor-cycles/2012-toyota-corolla-ascent-zre152r-automatic-sedan,"front cracked bumper.
windscreen chipped or cracked.
large dent on driver side front door
paint fading roof
medium dent on rear bumper bar",toyota_corolla_ascent_petrol_auto_sedan_zre152r,,,,,6200,55
2015,TOYOTA,Corolla,ascent zre172r,Sedan,Automatic,Petrol,346834,5.0,MR053REH205277493,No plates,Unregistered,4.0,1.8,Blue,Black,Yes,Yes,No,No,Yes,vic,https://www.grays.com/lot/0001-21053852/motor-vehicles-motor-cycles/2015-toyota-corolla-ascent-zre172r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
medium dent on various parts on panels
front cracked bumper.
paint fading hood
medium scratch on various parts on panels",toyota_corolla_ascent_petrol_auto_sedan_zre172r,,,,,6700,92
