canonical_tag,make,model,body,fuel,transmission,badge,series,allowed_badge_aliases,allowed_body_aliases,excluded_keywords
nissan_micra_k12_petrol_auto_hatch,nissan,micra,hatch,petrol,auto,k12,k12,k12,hatch|hatchback,manual|diesel|hybrid|k13|st|ti
mercedes_benz_b200_petrol_auto_hatch_w245,mercedes,benz,hatch,petrol,auto,b200,w245,b200|b200 w245,hatch|hatchback,manual|diesel|hybrid|turbo|b180|b250|w246
mercedes_benz_c200-be_petrol_auto_sedan_w204,mercedes,benz,sedan,petrol,auto,c200 be,w204,c200 be|c200 blueefficiency|c200 be w204,sedan|saloon,manual|diesel|hybrid|coupe|wagon|c180|c250|c300|c63|kompressor|w205
nissan_xtrail_st_petrol_auto_suv_t30,nissan,xtrail,suv,petrol,auto,st,t30,st|st 4x4|st (4x4),suv|wagon,manual|diesel|hybrid|st-l|stl|ti|ts|tl|t31|t32|t33
ford_kuga_awd-trend_diesel_auto_wagon_tf,ford,kuga,wagon,diesel,auto,awd trend,tf,awd trend|trend|awd trend tf,wagon|suv,manual|petrol|hybrid|mkii|mk ii|titanium|ambiente|2wd
ford_kuga_awd-titanium_diesel_auto_wagon_tf,ford,kuga,wagon,diesel,auto,awd titanium,tf,awd titanium|titanium|awd titanium tf,wagon|suv,manual|petrol|hybrid|mkii|mk ii|trend|ambiente|2wd
mazda_3_neo_petrol_auto_sedan_bl,mazda,3,sedan,petrol,auto,neo,bl10f1,neo|neo bl,sedan,manual|diesel|hybrid|hatch|maxx|sp25|bm|bn|bk
holden_barina_tk_petrol_manual_hatch,holden,barina,hatch,petrol,manual,tk,tk,tk,hatch|hatchback,automatic|diesel|hybrid|sedan|tm|xc|spark
hyundai_i45_active_petrol_auto_sedan_yf,hyundai,i45,sedan,petrol,auto,active,yf,active|active yf,sedan,manual|diesel|hybrid|premium|elite|2.0l
nissan_dualis_st_petrol_cvt_wagon_j10,nissan,dualis,wagon,petrol,auto,st,j10,st|st j10,wagon|suv,manual|diesel|hybrid|+2|j107|ti|ts|awd|4x4
ford_mondeo_lx-tdci_diesel_auto_wagon_mc,ford,mondeo,wagon,diesel,auto,lx tdci,mc,lx tdci|lx tdci mc,wagon,manual|petrol|hybrid|hatch|sedan|ambiente|zetec|titanium|md|ma|mb
volkswagen_golf_gti_petrol_auto_hatch_vi,volkswagen,golf,hatch,petrol,auto,gti,vi,gti|gti a6|gti vi,hatch|hatchback,manual|diesel|hybrid|wagon|golf r|r32|comfortline|trendline|highline|vii|7|a7|v|a5
volvo_xc60_t5_petrol_auto_wagon_dz,volvo,xc60,wagon,petrol,auto,t5,dz,t5,wagon|suv,manual|diesel|hybrid|teknik|luxury|kinetic|r-design|r design|momentum|inscription|uz|t6|d4|d5
ford_kuga_awd-ambiente_petrol_auto_wagon_tf,ford,kuga,wagon,petrol,auto,awd ambiente,tf,awd ambiente|ambiente|awd ambiente tf,wagon|suv,manual|diesel|hybrid|mkii|mk ii|trend|titanium|2wd
holden_barina_tk_petrol_auto_hatch,holden,barina,hatch,petrol,auto,tk,tk,tk,hatch|hatchback,manual|diesel|hybrid|sedan|tm|xc|spark|cd|cdx
volkswagen_golf_103tsi-highline_petrol_auto_hatch_a7,volkswagen,golf,hatch,petrol,auto,103tsi highline,a7,103tsi highline|103tsi highline a7|103tsi highline 7,hatch|hatchback,manual|diesel|hybrid|wagon|gti|golf r|110tsi|110tdi|a6|vi|6
hyundai_i30_sx_petrol_manual_hatch_fd,hyundai,i30,hatch,petrol,manual,sx,fd,sx,hatch|hatchback,automatic|diesel|hybrid|sedan|tourer|wagon|active|elite|premium|trophy|se|sr|sr premium|n line|n-line|gd|pd
toyota_camry_csi_petrol_auto_sedan_sxv20r,toyota,camry,sedan,petrol,auto,csi,sxv20r,csi,sedan|saloon,manual|diesel|hybrid|wagon|hatch|suv|altise|csx|ateva|sportivo|vienta|acv36r|mcv36r|acv40r|asv50r|asv70r
ford_falcon_xt_petrol_auto_sedan_ba,ford,falcon,sedan,petrol,auto,xt,ba,xt,sedan|saloon,manual|diesel|hybrid|lpg|gas|dual fuel|ute|wagon|xr6|xr8|g6|g6e|fairmont|fairlane|bf|fg|fg-x|fgx
toyota_camry_sportivo_petrol_auto_sedan_acv40r,toyota,camry,sedan,petrol,auto,sportivo,acv40r,sportivo,sedan|saloon,manual|diesel|hybrid|wagon|hatch|suv|altise|csi|csx|ateva|vienta|acv36r|mcv36r|asv50r|asv70r
