event_at,url,year,make,model,variant,location,event_types,direction,previous_verdict,new_verdict,previous_action,new_action,previous_max_bid,new_max_bid,previous_current_bid,new_current_bid,previous_bid_status,new_bid_status,previous_repair_estimate,new_repair_estimate,previous_risk_flags,new_risk_flags,previous_coverage_status,new_coverage_status,change_reason_summary
2026-05-11T11:06:14.909837+00:00,https://www.grays.com/lot/0006-23500030/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-petrol-auto-ex-lease,2018,TOYOTA,Corolla,ascent petrol (auto) (ex lease),melbourne,verdict_changed|action_changed|bid_status_changed,worsened,Marginal (repairs),Trap,Watch,Avoid,"$9,232","$9,232",6100.0,10900.0,Cheap,Over max,"$1,350","$1,350",HIGH_KM|UNREGISTERED,HIGH_KM|UNREGISTERED,covered,covered,Verdict changed from Marginal (repairs) to Trap | Action changed from Watch to Avoid | Current bid moved listing from Cheap to Over max
2026-05-11T12:03:04.588949+00:00,https://www.grays.com/lot/0006-23500030/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-petrol-auto-ex-lease,2018,TOYOTA,Corolla,ascent petrol (auto) (ex lease),melbourne,verdict_changed,worsened,Trap,Avoid,Avoid,Avoid,"$9,232","$9,232",10900.0,12600.0,Over max,Over max,"$1,350","$1,350",HIGH_KM|UNREGISTERED,HIGH_KM|UNREGISTERED,covered,covered,Verdict changed from Trap to Avoid
