year,make,model,variant,body_type,no_of_seats,build_date,compliance_date,vin,rego_no,rego_state,rego_expiry,no_of_plates,no_of_cylinders,engine_capacity,fuel_type,transmission,odometer_reading,odometer_unit,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,features_list,bids,price,time_remaining_or_date_sold,status
2015.0,Volkswagen,Caddy,TDI250 MAXI BLUEMOT. Turbo Diesel Automatic Van,Van,2.0,Unable to locate,2015-05,WV1ZZZ2KZFX113317,2DN9GB,VIC,24-12-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.6,Diesel,Automatic,318294,km,White,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21060903/motor-vehicles-motor-cycles/2015-volkswagen-caddy-tdi250-maxi-bluemot-turbo-diesel-automatic-van,"Key: Yes
Spare Key: No
Owners Manual: No
Service History: No
Engine Turns Over: Yes","Air Conditioning, CD Player, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Park Distance Control Rear, Power Steering, Roof rack, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 154 (363332)",2.0,109.0,,active
2014.0,Mercedes,Benz,CLA 200 CLA200 C117 WOVR-INSPECTED,Coupe,5.0,2014-06,2014-08,WDD1173432N114663,DIZ989,VIC,13-01-2026 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.6,Petrol,Automatic,"103248 Odometer discrepancy detected, see attached history report",km,White,Black Leather,Yes,No,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21060907/motor-vehicles-motor-cycles/2014-mercedes-benz-cla-200-cla200-c117-wovr-inspected,"Key: Yes
Spare Key: No
Owners Manual: Yes
Service History: Partial
Engine Turns Over: Yes","Air Conditioning, CD Player, Climate Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Parking Assist System, Power Steering, Reversing Camera, Satellite navigation system, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1075 (364443)",4.0,1909.0,,active
2005.0,BMW,320i,E90 Automatic Sedan,Sedan,5.0,2005-12,2006-03,WBAVA76030NK25841,No Plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,2,Petrol,Automatic,175851,km,Black,Brown Leather,Yes,Yes,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21060911/motor-vehicles-motor-cycles/2005-bmw-320i-e90-automatic-sedan,"Key: Yes
Spare Key: Yes
Owners Manual: Yes
Service History: No
Engine Turns Over: Yes","Air Conditioning, CD Player, Central Locking, Climate Control, Driver Airbag, Electric Windows, Leather Trim, Park Distance Control Rear, Power Steering, Sunroof, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 441 (365240)",2.0,109.0,,active
2006.0,Mazda,6,Classic GG Manual Sedan,Sedan,5.0,2006-07,2006-07,JM0GG103200527240,2CM2KR,VIC,05-01-2026 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.3,Petrol,Manual,337812,km,Grey,Black,Yes,Yes,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21060912/motor-vehicles-motor-cycles/2006-mazda-6-classic-gg-manual-sedan,"Key: Yes
Spare Key: Yes
Owners Manual: Yes
Service History: No
Engine Turns Over: Yes","Air Conditioning, CD Player, Central locking, Cruise Control, Driver airbag, Electric windows, Mp3 capability, Power steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 662 (364480)",1.0,9.0,,active
2013.0,Holden,Cruze,CD JH Manual Hatchback,Hatchback,5.0,2013-05,2013-05,6G1PD6EMXEL905686,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,1.8,Petrol,Manual,91690,km,Silver,Black,Yes,Yes,No,Partial,Yes,VIC,https://www.grays.com/lot/0001-21060913/motor-vehicles-motor-cycles/2013-holden-cruze-cd-jh-manual-hatchback,"Key: Yes
Spare Key: Yes
Owners Manual: No
Service History: Partial
Engine Turns Over: Yes","Air Conditioning, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 989 (363846)",2.0,209.0,,active
2015.0,Renault,CAPTUR,Expression Automatic Wagon,Wagon,5.0,2015-03,2016-10,VF12R401EF0715389,2DD3AI,VIC,14-11-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.2,Petrol,Automatic,142459,km,Orange,Black,Yes,Yes,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21060914/motor-vehicles-motor-cycles/2015-renault-captur-expression-automatic-wagon,"Key: Yes
Spare Key: Yes
Owners Manual: Yes
Service History: Partial
Engine Turns Over: Yes","Air Conditioning, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Power Steering, Reversing Camera, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1040 (363847)",2.0,109.0,,active
,,,,,,,,,,,,,,,,,,km,,,,,,,,,https://www.grays.com/lot/0001-21060915/motor-vehicles-motor-cycles/2015-nissan-pathfinder-st-r52-cvt-7-seats-wagon,"Bidders may find when they do perform a PPSR check (highly recommended) in many cases the vehicles do have a security interest registered against them, which will be lifted shortly after the relevant vehicle is sold and monies are cleared in the secured party’s/security holder’s account; and
Please allow up to 10 business days for the security interest registration to be removed.",,,,,active
2005.0,Mazda,3,Maxx Sport BK Automatic Hatchback,Hatchback,5.0,2005-10,2005-11,JM0BK10F100178216,1XD1BC,VIC,14-12-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2,Petrol,Automatic,202616,km,Black,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21060916/motor-vehicles-motor-cycles/2005-mazda-3-maxx-sport-bk-automatic-hatchback,"Key: Yes
Spare Key: No
Owners Manual: No
Service History: No
Engine Turns Over: Yes","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 725 (365735)",4.0,1309.0,,active
2011.0,Ssangyong,Rexton,SPR Series II Turbo Diesel Automatic 7 Seats Wagon,Wagon,7.0,2011-08,2011-12,KPTH0C1FSBP300473,YUQ087,VIC,23-02-2026 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,5.0,2.7,Diesel,Automatic,154268,km,Grey,Black Leather,Yes,Yes,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21060918/motor-vehicles-motor-cycles/2011-ssangyong-rexton-spr-series-ii-turbo-diesel-automatic-7-seats-wagon,"Key: Yes
Spare Key: Yes
Owners Manual: Yes
Service History: Partial
Engine Turns Over: Yes","Air Conditioning, Auto Control, CD Player, Central Locking, Climate Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Reversing Camera, Roof Rail, Sunroof, Third Row Seat, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 952 (365588)",2.0,1009.0,,active
2015.0,Holden,Commodore,Evoke Evoke VF Automatic Wagon,Wagon,5.0,2015-06,2015-06,6G1FA8E49FL135790,1NR1CD,VIC,28-11-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,3.6,LPG,Automatic,279192,km,White,Grey,Yes,Yes,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21060919/motor-vehicles-motor-cycles/2015-holden-commodore-evoke-evoke-vf-automatic-wagon,"Key: Yes
Spare Key: Yes
Owners Manual: Yes
Service History: Partial
Engine Turns Over: Yes","Air Conditioning, Central Locking, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Parking Assist System, Power Steering, Reversing Camera, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 703 (363278)",4.0,1109.0,,active
2014.0,BMW,3,Series 328i F30 Automatic - 8 Speed Sedan,Sedan,5.0,2014-02,2014-03,WBA3A56020NS62360,BDT580,VIC,09-01-2026 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2,Petrol,Automatic - 8 Speed,240418,km,White,Black Leather,Yes,No,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21060928/motor-vehicles-motor-cycles/2014-bmw-3-series-328i-f30-automatic-8-speed-sedan,"Key: Yes
Spare Key: No
Owners Manual: Yes
Service History: Partial
Engine Turns Over: Yes","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Reversing Camera, Satellite Navigation System, Sunroof, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 456 (363822)",7.0,909.0,,active
2005.0,Mitsubishi,Challenger,PA Manual Wagon,Wagon,5.0,2005-07,2005-09,JMF0NK9606J000124,,,"Sold Unregistered, Without Plates",0.0,6.0,3,Petrol,Manual,263299,km,Silver,Grey,Yes,Yes,No,Partial,Yes,QLD,https://www.grays.com/lot/0001-50517637/motor-vehicles-motor-cycles/2005-mitsubishi-challenger-pa-manual-wagon,"Key: Yes
Spare Key: Yes
Owners Manual: No
Service History: Partial
Engine Turns Over: Yes","Air Conditioning, Bull bar, CD Player, Cruise Control, Driver Airbag, Electric Windows, MP3 capability, Power Steering, Roof Racks, Location: 131-153 Main Beach Road, Pinkenba, QLD, 4008, Key No: K-296 GV363762",3.0,309.0,,active
2003.0,BMW,3,Series 320Ci E46 Automatic Coupe,Coupe,5.0,2003-09,2004-01,WBABD12070PM20567,,,"Sold Unregistered, Without Plates",0.0,6.0,2.2,Petrol,Automatic,129031,km,Black,Black Leather,No,No,No,No,Yes,QLD,https://www.grays.com/lot/0001-50517638/motor-vehicles-motor-cycles/2003-bmw-3-series-320ci-e46-automatic-coupe,"Key: No
Spare Key: No
Owners Manual: No
Service History: No
Engine Turns Over: Yes","Air Conditioning, CD Player, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, Power Steering, Sunroof, Location: 131-153 Main Beach Road, Pinkenba, QLD, 4008, Key No: K-186 GV363767",4.0,409.0,,active
2011.0,Hyundai,Accent,Elite RB Manual Hatchback,Hatchback,5.0,2011-10,2011-11,KMHCU51DLCU027835,,,"Sold Unregistered, Without Plates",2.0,4.0,1.6,Petrol,Manual,243188,km,Light Blue,Black,Yes,No,No,No,Yes,QLD,https://www.grays.com/lot/0001-50517639/motor-vehicles-motor-cycles/2011-hyundai-accent-elite-rb-manual-hatchback,"Key: Yes
Spare Key: No
Owners Manual: No
Service History: No
Engine Turns Over: Yes","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 131-153 Main Beach Road, Pinkenba, QLD, 4008, Key No: K-290 GV363777",5.0,625.0,,active
