year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition
2012,VOLKSWAGEN,Golf,,Hatchback,Automatic,Petrol,80169,5,WVWZZZ1KZDP043684,DSO68L,"17-05-2026-Registration will only be transferred to the registered bidder who must hold a NSW Licence, otherwise, vehicle will be sold unregistered.",4,1.4,Silver,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352121/motor-vehicles-motor-cycles/2012-volkswagen-golf-automatic-hatchback,"Hail damage visible.
Hood Lining Sagging
Medium Scratch on Bumper bars, RHF quarter panel, side mirrors
Medium Dent on Tailgate and front bumper"
2007,BMW,320i,,Sedan,Automatic,Petrol,162174,5,WBAVA76040NL34955,No Plates,"Sold Unregistered, Without Plates",4,2,Silver,Black,Yes,No,No,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352122/motor-vehicles-motor-cycles/2007-bmw-320i-automatic-sedan,"Large Scratch on Bumper bars
Hail damage visible.
Paint peeling Driver side front guard
Large Dent on Driver side rear door
Controls Broken Rear power windows inoperative
Hood Lining Sagging
Engine light ON
Other Warning light ON
Brakes require attention, Recommend towing on collection
Engine Smoke visible
Large Scratch on Roof, front and rear bumpers"
2011,VOLKSWAGEN,Golf,GTI,Hatchback,Manual,Petrol,201320,5,WVWZZZ1KZCW024658,No plates,"Sold Unregistered, Without Plates",4,2,Grey,Grey,Yes,Yes,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10352123/motor-vehicles-motor-cycles/2011-volkswagen-golf-gti-manual-hatchback,"Damaged Headlights
Large Scratch on All doors, bumper bars
Hail damage visible.
Large Dent on Rear doors
Paint peeling Rear spoiler
Other Warning light ON
Controls inoperable Drivers inner door handle not working
Front Seat worn with corrosion evident
Medium Scuff on Rear bumper"
2014,LAND,Rover,Range Rover Sport 3.0 SDV6 -BIOG L494 T,Wagon,Automatic,Diesel,257605,5,SALWA2KEXEA362715,No Plates,"Sold Unregistered, Without Plates",6,3,Grey,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352124/motor-vehicles-motor-cycles/2014-land-rover-range-rover-sport-3-0-sdv6-auto-biog-l494-t-diesel-auto,"Front and rear Cracked bumper.
Large Dent on Tailgate, passenger side rear door and quarter panel, driver side front guard and door
Door Mirror Broken Passenger side
Brakes require attention, Recommend towing on collection
Other Warning light ON
Carpet worn in places.
Controls inoperable Tailgate not opening
Medium Scuff on various panels"
2015,KIA,Carnival,S YP,People Mover,Automatic,Petrol,209679,8,KNAMB811MG6155189,DJ97VR,"Sold Unregistered, Without Plates",6,3.3,White,Cream,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352125/motor-vehicles-motor-cycles/2015-kia-carnival-s-yp-automatic-8-seats-people-mover,"Damaged Driver side tail light
Engine noise observed.
Seat Torn Drivers seat
Paint peeling Tailgate, front bumper bar"
2010,MERCEDES,Benz,C200 CGI W204,Sedan,Automatic,Petrol,153418,5,WDD2040482A440663,CQ00QL,"Sold Unregistered, Without Plates",4,1.8,Black,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352126/motor-vehicles-motor-cycles/2010-mercedes-benz-c200-cgi-w204-automatic-sedan,"Engine noise observed.
Engine Oil Leak
Front Cracked bumper.
Large Scratch on Driver side doors
Seat Torn Drivers seat
Door card Damaged.
Other Warning light ON
Door Mirror Broken Passenger side
Controls inoperable Drivers electric seat adjustment requires attention
Dents or marks on body
Medium Scuff on both bumpers"
2019,SUBARU,Forester,2.5i-S S5,Wagon,CVT,Petrol,211408,5,JF2SK9KL5KG018697,ECL91P,"Sold Unregistered, Without Plates",4,2.5,Black,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352127/motor-vehicles-motor-cycles/2019-subaru-forester-2-5i-s-s5-cvt-wagon,"Hail damage visible.
Front and rear Cracked bumper.
Large Scratch on Along both sides
Medium Dent on Drivers door
Medium Scratch on various panels"
2012,LAND,Rover,Freelander 2 SE TD4,Wagon,Automatic,Diesel,228886,5,SALFA2AB1CH315827,No plates,"Sold Unregistered, Without Plates",4,2.2,White,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352129/motor-vehicles-motor-cycles/2012-land-rover-freelander-2-se-td4-turbo-diesel-automatic-wagon,Please refer to the photos or arrange inspection to view the condition of this vehicle.
2010,AUDI,Q7,3.0 TDI quattro,Wagon,Automatic,Diesel,292991,7,WAUZZZ4L7BD006392,No plates,"Sold Unregistered, Without Plates",6,3,White,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352130/motor-vehicles-motor-cycles/2010-audi-q7-3-0-tdi-quattro-turbo-diesel-automatic-8-speed-7-seats-wagon,Please refer to the photos or arrange inspection to view the condition of this vehicle.
2009,MAZDA,2,NEO SAFETY PACK DE,Hatchback,Automatic,Petrol,200337,5,JM0DE10Y190136616,BKD71X,"Sold Unregistered, Without Plates",4,1.5,Silver,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352131/motor-vehicles-motor-cycles/2009-mazda-2-neo-safety-pack-de-automatic-hatchback,"Front and rear Cracked bumper.
Large Dent on Rear quarter panels
Large Scratch on Doors
Hail damage visible.
Paint peeling Tailgate
Controls Broken Fan position switch faulty
Medium Scuff on rear bumper"
