source_pos,source_from_end,chunk_from_end,url,year,make,model,variant,old_price,new_price,price_delta,old_date_sold,new_date_sold,old_bids,new_bids
16183,920,900,https://www.grays.com/lot/0001-9066962/motor-vehicles-motor-cycles/2013-nissan-pathfinder-st-r52-cvt-7-seats-wagon,2013,nissan,pathfinder,st r52,9,"$1,309",1300,2026-02-12,17 February 2026,0,24
16182,921,900,https://www.grays.com/lot/0001-9066961/motor-vehicles-motor-cycles/2014-peugeot-208-gti-manual-hatchback,2014,peugeot,208,gti,609,"$5,100",4491,2026-02-12,17 February 2026,10,83
16181,922,900,https://www.grays.com/lot/0001-9066960/motor-vehicles-motor-cycles/2000-toyota-avalon-conquest-mcx10r-automatic-sedan,2000,toyota,avalon,conquest mcx10r,9,$509,500,2026-02-12,17 February 2026,0,10
16180,923,900,https://www.grays.com/lot/0001-9066959/motor-vehicles-motor-cycles/2005-bmw-325i-e90-automatic-sedan,2005,bmw,325i,e90,9,$709,700,2026-02-12,17 February 2026,0,8
16179,924,900,https://www.grays.com/lot/0001-9066958/motor-vehicles-motor-cycles/2013-ford-ranger-xl-4x4-px-turbo-diesel-manual-dual-cab,2013,ford,ranger,xl 4x4 px,9,"$6,000",5991,2026-02-12,17 February 2026,1,64
16178,925,900,https://www.grays.com/lot/0001-9066957/motor-vehicles-motor-cycles/2009-audi-a5-3-0-tdi-quattro-8t-turbo-diesel-automatic-coupe,2009,audi,a5,3.0 tdi quattro 8t,9,"$3,200",3191,2026-02-12,17 February 2026,1,46
16177,926,900,https://www.grays.com/lot/0001-9066956/motor-vehicles-motor-cycles/2014-mercedes-benz-cla-45-cla45-amg-awd-c117-7-auto-coupe,2014,mercedes,benz,cla 45 cla45 amg awd c117 7,9500,"$17,000",7500,2026-02-12,17 February 2026,145,200
16176,927,900,https://www.grays.com/lot/0001-9066954/motor-vehicles-motor-cycles/2010-dodge-journey-sxt-automatic-7-seats-people-mover,2010,dodge,journey,sxt,9,$409,400,2026-02-12,17 February 2026,0,6
16175,928,900,https://www.grays.com/lot/0001-9066953/motor-vehicles-motor-cycles/2012-subaru-outback-2-0d-b5a-turbo-diesel-manual-wagon,2012,subaru,outback,2.0d b5a,109,"$1,809",1700,2026-02-12,16 February 2026,2,30
16174,929,900,https://www.grays.com/lot/0001-9066952/motor-vehicles-motor-cycles/2019-holden-trax-ltz-tj-automatic-wagon,2019,holden,trax,ltz tj,9,"$2,700",2691,2026-02-12,17 February 2026,0,12
16173,930,900,https://www.grays.com/lot/0001-9066951/motor-vehicles-motor-cycles/2012-volkswagen-tiguan-118-tsi-5n-manual-wagon,2012,volkswagen,tiguan,118 tsi 5n,9,$809,800,2026-02-12,17 February 2026,0,15
16172,931,900,https://www.grays.com/lot/0001-9066950/motor-vehicles-motor-cycles/2016-ford-ranger-xlt-4x4-px-ii-turbo-diesel-automatic-dual-cab,2016,ford,ranger,xlt 4x4 px ii dual cab,1100,"$11,400",10300,2026-02-12,17 February 2026,7,85
16171,932,900,https://www.grays.com/lot/0001-9066949/motor-vehicles-motor-cycles/2014-nissan-navara-4x4-rx-d40-turbo-diesel-automatic-dual-cab,2014,nissan,navara,4x4 rx d40,209,"$12,200",11991,2026-02-12,17 February 2026,3,135
