snapshot_ts,url,price_text,price_numeric,bids_numeric,time_remaining_text,time_remaining_hours,status,location,location_state,auction_site
2026-05-06T01:39:50.084907+00:00,https://www.grays.com/lot/0020-23500015/motor-vehicles-motor-cycles/2009-toyota-rav4-cv-petrol,1209.0,1209.0,19,8h 20m13s,8.337,Active,melbourne,MELBOURNE,lot
2026-05-06T01:39:58.141562+00:00,https://www.grays.com/lot/0021-23500015/motor-vehicles-motor-cycles/2015-mazda-cx-3-akari-diesel,5644.0,5644.0,68,8h 20m6s,8.335,Active,melbourne,MELBOURNE,lot
2026-05-06T01:40:09.627593+00:00,https://www.grays.com/lot/0022-23500015/motor-vehicles-motor-cycles/2015-bmw-3-series-316i-petrol,6700.0,6700.0,21,8h 19m55s,8.332,Active,melbourne,MELBOURNE,lot
2026-05-06T01:40:18.391544+00:00,https://www.grays.com/lot/0022-23500020/motor-vehicles-motor-cycles/2011-volkswagen-golf-comfortline-auto-hatchback,809.0,809.0,15,1d 8h 19m44s,32.329,Active,melbourne,MELBOURNE,lot
2026-05-06T01:40:30.518776+00:00,https://www.grays.com/lot/0024-23500015/motor-vehicles-motor-cycles/2012-bmw-3-series-320d-lifestyle-diesel,609.0,609.0,7,8h 19m32s,8.326,Active,melbourne,MELBOURNE,lot
2026-05-06T01:40:40.777681+00:00,https://www.grays.com/lot/0024-23500020/motor-vehicles-motor-cycles/2014-mercedes-benz-c-class-c250-sedan,5525.0,5525.0,60,1d 8h 19m22s,32.323,Active,melbourne,MELBOURNE,lot
2026-05-06T01:40:50.649117+00:00,https://www.grays.com/lot/0025-23500015/motor-vehicles-motor-cycles/2012-suzuki-swift-sport-petrol,2500.0,2500.0,19,8h 19m11s,8.32,Active,melbourne,MELBOURNE,lot
2026-05-06T01:40:59.410677+00:00,https://www.grays.com/lot/0025-23500020/motor-vehicles-motor-cycles/2013-volkswagen-golf-90tsi-auto-hatchback,1809.0,1809.0,31,1d 8h 19m5s,32.318,Active,melbourne,MELBOURNE,lot
2026-05-06T01:41:09.165429+00:00,https://www.grays.com/lot/0026-23500015/motor-vehicles-motor-cycles/2007-bmw-3-series-325i-petrol,1309.0,1309.0,25,8h 18m53s,8.315,Active,melbourne,MELBOURNE,lot
2026-05-06T01:41:19.068043+00:00,https://www.grays.com/lot/0026-23500020/motor-vehicles-motor-cycles/2002-hsv-clubsport-vx-sedan,5200.0,5200.0,63,1d 8h 18m46s,32.313,Active,melbourne,MELBOURNE,lot
2026-05-06T01:41:27.711412+00:00,https://www.grays.com/lot/0027-23500015/motor-vehicles-motor-cycles/2015-peugeot-308-allure-premium-petrol,2309.0,2309.0,38,8h 18m34s,8.309,Active,melbourne,MELBOURNE,lot
2026-05-06T01:41:35.759301+00:00,https://www.grays.com/lot/0028-23500015/motor-vehicles-motor-cycles/2007-volvo-s40-d5-diesel,209.0,209.0,3,8h 18m27s,8.308,Active,melbourne,MELBOURNE,lot
2026-05-06T01:41:43.194362+00:00,https://www.grays.com/lot/0028-23500020/motor-vehicles-motor-cycles/2008-toyota-rav4-cruiser-awd-suv,609.0,609.0,7,1d 8h 18m18s,32.305,Active,melbourne,MELBOURNE,lot
2026-05-06T01:41:52.517941+00:00,https://www.grays.com/lot/0029-23500015/motor-vehicles-motor-cycles/2017-holden-astra-r-petrol,800.0,800.0,7,8h 18m9s,8.303,Active,melbourne,MELBOURNE,lot
2026-05-06T01:42:01.038260+00:00,https://www.grays.com/lot/0029-23500020/motor-vehicles-motor-cycles/2014-toyota-yaris-yr-petrol,1209.0,1209.0,11,1d 8h 18m1s,32.3,Active,melbourne,MELBOURNE,lot
2026-05-06T01:42:10.420816+00:00,https://www.grays.com/lot/0030-23500015/motor-vehicles-motor-cycles/2012-bmw-x5-xdrive30d-diesel,2344.0,2344.0,27,8h 17m53s,8.298,Active,melbourne,MELBOURNE,lot
2026-05-06T01:42:20.368240+00:00,https://www.grays.com/lot/0030-23500020/motor-vehicles-motor-cycles/2017-volvo-xc60-d5-r-design-diesel,1209.0,1209.0,16,1d 8h 17m45s,32.296,Active,melbourne,MELBOURNE,lot
2026-05-06T01:42:29.185890+00:00,https://www.grays.com/lot/0031-23500015/motor-vehicles-motor-cycles/2017-mercedes-benz-c-class-c200-petrol,19000.0,19000.0,116,8h 17m32s,8.292,Active,melbourne,MELBOURNE,lot
2026-05-06T01:42:37.494356+00:00,https://www.grays.com/lot/0032-23500015/motor-vehicles-motor-cycles/2015-bmw-x3-xdrive30d-diesel,8200.0,8200.0,48,8h 17m25s,8.29,Active,melbourne,MELBOURNE,lot
2026-05-06T01:42:47.539193+00:00,https://www.grays.com/lot/0033-23500020/motor-vehicles-motor-cycles/2015-fiat-500-sport-petrol,3200.0,3200.0,38,1d 8h 17m16s,32.288,Active,melbourne,MELBOURNE,lot
2026-05-06T01:42:56.669205+00:00,https://www.grays.com/lot/0034-23500015/motor-vehicles-motor-cycles/2012-audi-a4-petrol,1309.0,1309.0,16,8h 17m6s,8.285,Active,melbourne,MELBOURNE,lot
2026-05-06T01:43:08.022103+00:00,https://www.grays.com/lot/0034-23500020/motor-vehicles-motor-cycles/2017-audi-q3-tfsi-sport-quattro-auto-suv,4000.0,4000.0,25,1d 8h 16m54s,32.282,Active,melbourne,MELBOURNE,lot
