snapshot_ts,url,price_text,price_numeric,bids_numeric,time_remaining_text,time_remaining_hours,status,location,location_state,auction_site
2026-04-04T04:20:13.395488+00:00,https://www.grays.com/lot/0001-10353166/motor-vehicles-motor-cycles/2015-toyota-hilux-4x4-sr-kun26r-turbo-diesel-automatic-crew-cab-chassis,4299.0,4299.0,60,2d 4h 39m49s,52.664,Active,nsw,NSW,lot
2026-04-04T04:20:36.371752+00:00,https://www.grays.com/lot/0001-10353177/motor-vehicles-motor-cycles/2014-jeep-compass-sport-manual-wagon,1200.0,1200.0,22,1d 4h 39m26s,28.657,Active,nsw,NSW,lot
2026-04-04T04:20:51.957944+00:00,https://www.grays.com/lot/0001-10353187/motor-vehicles-motor-cycles/2009-holden-barina-tk-manual-hatchback,9.0,9.0,0,3d 4h 39m11s,76.653,Active,nsw,NSW,lot
2026-04-04T04:21:14.641748+00:00,https://www.grays.com/lot/0001-10353188/motor-vehicles-motor-cycles/2020-toyota-prius-phv-cvt-import-sedan,7600.0,7600.0,10,3d 4h 38m48s,76.647,Active,nsw,NSW,lot
2026-04-04T04:21:29.795939+00:00,https://www.grays.com/lot/0001-10353189/motor-vehicles-motor-cycles/2021-mitsubishi-triton-4x4-glx-adas-double-mr-td-at-crew-cab-chassis,9.0,9.0,0,11d 4h 8m31s,268.142,Active,nsw,NSW,lot
2026-04-04T04:21:46.370065+00:00,https://www.grays.com/lot/0001-10353190/motor-vehicles-motor-cycles/2006-toyota-corolla-ascent-zze122r-manual-sedan,309.0,309.0,4,3d 4h 43m15s,76.721,Active,nsw,NSW,lot
2026-04-04T04:22:09.567000+00:00,https://www.grays.com/lot/0001-10353192/motor-vehicles-motor-cycles/2018-audi-a3-1-4-tfsi-cod-8v-automatic-hatchback-pinkslip-issued-5-3-26,7409.0,7409.0,80,2d 4h 37m52s,52.631,Active,nsw,NSW,lot
2026-04-04T04:22:19.761971+00:00,https://www.grays.com/lot/0001-10353193/motor-vehicles-motor-cycles/2020-ford-ranger-xlt-4x4-px-iii-turbo-diesel-automatic-dual-cab,12600.0,12600.0,22,3d 4h 37m42s,76.628,Active,nsw,NSW,lot
2026-04-04T04:22:31.662123+00:00,https://www.grays.com/lot/0001-10353194/motor-vehicles-motor-cycles/2015-renault-captur-expression-automatic-wagon,109.0,109.0,2,3d 4h 37m30s,76.625,Active,nsw,NSW,lot
2026-04-04T04:22:44.960550+00:00,https://www.grays.com/lot/0001-10353195/motor-vehicles-motor-cycles/2013-renault-megane-gt-line-cvt-hatchback,209.0,209.0,3,3d 4h 37m17s,76.621,Active,nsw,NSW,lot
2026-04-04T04:23:00.531378+00:00,https://www.grays.com/lot/0001-10353197/motor-vehicles-motor-cycles/2017-land-rover-discovery-2-0-sd4-hse-series-5-t-diesel-auto-7-seats-wagon,3200.0,3200.0,11,3d 4h 37m2s,76.617,Active,nsw,NSW,lot
2026-04-04T04:23:13.367419+00:00,https://www.grays.com/lot/0001-10353198/motor-vehicles-motor-cycles/2012-land-rover-range-rover-evoque-td4-pure-turbo-diesel-automatic-wagon,9.0,9.0,0,4d 4h 36m48s,100.613,Active,nsw,NSW,lot
2026-04-04T04:23:25.076178+00:00,https://www.grays.com/lot/0001-10353200/motor-vehicles-motor-cycles/2005-toyota-hilux-xtra-cab-4x2-sr-ggn15r-automatic-ute,1109.0,1109.0,19,2d 4h 36m36s,52.61,Active,nsw,NSW,lot
2026-04-04T04:23:36.335150+00:00,https://www.grays.com/lot/0001-10353201/motor-vehicles-motor-cycles/2010-mazda-3-sp25-bl-automatic-sedan,9.0,9.0,1,4d 4h 36m25s,100.607,Active,nsw,NSW,lot
