snapshot_ts,url,price_text,price_numeric,bids_numeric,time_remaining_text,time_remaining_hours,status,location,location_state,auction_site
2026-01-02T18:28:19.475082,https://www.grays.com/lot/0001-21061308/motor-vehicles-motor-cycles/2018-audi-a3-1-4-tfsi-cod-8v-automatic-hatchback,7900.0,7900.0,91,3d 14h 31m43s,86.529,Active,VIC,VIC,lot
2026-01-02T18:28:37.714788,https://www.grays.com/lot/0001-21061303/motor-vehicles-motor-cycles/2017-volkswagen-touareg-150tdi-element-7p-turbo-diesel-auto-8-speed-wagon,9300.0,9300.0,85,3d 14h 31m25s,86.524,Active,VIC,VIC,lot
2026-01-02T18:28:47.170781,https://www.grays.com/lot/0001-21061302/motor-vehicles-motor-cycles/2013-mercedes-benz-c-class-c200-be-w204-automatic-sedan,1009.0,1009.0,18,3d 14h 31m20s,86.522,Active,VIC,VIC,lot
2026-01-02T18:28:55.747460,https://www.grays.com/lot/0001-21061301/motor-vehicles-motor-cycles/2005-mercedes-benz-e350-elegance-w211-automatic-sedan,509.0,509.0,6,3d 14h 31m4s,86.518,Active,VIC,VIC,lot
2026-01-02T18:29:16.029141,https://www.grays.com/lot/0001-21061277/motor-vehicles-motor-cycles/2010-toyota-corolla-ascent-zre152r-automatic-hatchback,4350.0,4350.0,42,3d 14h 30m45s,86.513,Active,VIC,VIC,lot
2026-01-02T18:29:36.472715,https://www.grays.com/lot/0001-21061276/motor-vehicles-motor-cycles/2015-jeep-grand-cherokee-limited-wk-turbo-diesel-automatic-8-speed-wagon,3609.0,3609.0,48,3d 14h 30m37s,86.51,Active,VIC,VIC,lot
2026-01-02T18:29:46.511167,https://www.grays.com/lot/0001-21061275/motor-vehicles-motor-cycles/2011-holden-sportwagon-commodore-omega-ve-automatic-wagon,409.0,409.0,5,3d 14h 30m14s,86.504,Active,VIC,VIC,lot
2026-01-02T18:30:09.431070,https://www.grays.com/lot/0001-21061288/motor-vehicles-motor-cycles/2007-toyota-landcruiser-gxl-vdj200r-turbo-diesel-automatic-wagon,12000.0,12000.0,48,3d 14h 34m52s,86.581,Active,VIC,VIC,lot
2026-01-02T18:30:17.775791,https://www.grays.com/lot/0001-21061251/motor-vehicles-motor-cycles/2008-subaru-forester-x-s3-automatic-wagon,600.0,600.0,10,3d 14h 29m44s,86.496,Active,VIC,VIC,lot
2026-01-02T18:30:40.531006,https://www.grays.com/lot/0001-21061246/motor-vehicles-motor-cycles/2014-suzuki-swift-navigator-fz-automatic-hatchback,5400.0,5400.0,78,3d 14h 29m20s,86.489,Active,VIC,VIC,lot
2026-01-02T18:31:04.768301,https://www.grays.com/lot/0001-21061245/motor-vehicles-motor-cycles/2008-audi-tt-2-0-tfsi-8j-manual-coupe,3400.0,3400.0,34,3d 14h 28m55s,86.482,Active,VIC,VIC,lot
2026-01-02T18:31:14.718427,https://www.grays.com/lot/0001-21061244/motor-vehicles-motor-cycles/2013-mazda-3-neo-bl-automatic-hatchback,2900.0,2900.0,36,3d 14h 28m46s,86.479,Active,VIC,VIC,lot
2026-01-02T18:31:25.033908,https://www.grays.com/lot/0001-21061243/motor-vehicles-motor-cycles/2008-mercedes-benz-c-class-c200-kompressor-classic-s204-automatic-wagon,809.0,809.0,9,3d 14h 28m37s,86.477,Active,VIC,VIC,lot
2026-01-02T18:31:34.722811,https://www.grays.com/lot/0001-21061242/motor-vehicles-motor-cycles/2013-volvo-xc60-t5-automatic-wagon,2309.0,2309.0,39,3d 14h 28m26s,86.474,Active,VIC,VIC,lot
2026-01-02T18:31:43.858703,https://www.grays.com/lot/0001-21061241/motor-vehicles-motor-cycles/2012-holden-cruze-sri-v-jh-automatic-sedan,1400.0,1400.0,17,3d 14h 28m18s,86.472,Active,VIC,VIC,lot
2026-01-02T18:32:02.027625,https://www.grays.com/lot/0001-21061239/motor-vehicles-motor-cycles/2007-bmw-335i-335i-e92-automatic-coupe,5500.0,5500.0,35,3d 14h 27m59s,86.466,Active,VIC,VIC,lot
2026-01-02T18:32:11.865765,https://www.grays.com/lot/0001-21061231/motor-vehicles-motor-cycles/2017-isuzu-mu-x-4x4-ls-t-turbo-diesel-automatic-7-seats-wagon,7300.0,7300.0,68,3d 14h 27m49s,86.464,Active,VIC,VIC,lot
2026-01-02T18:32:35.177804,https://www.grays.com/lot/0001-21061229/motor-vehicles-motor-cycles/2013-ford-kuga-awd-trend-tf-automatic-wagon,712.0,712.0,8,3d 14h 27m26s,86.457,Active,VIC,VIC,lot
2026-01-02T18:32:44.038327,https://www.grays.com/lot/0001-21061228/motor-vehicles-motor-cycles/2009-volkswagen-tiguan-147-tsi-5n-automatic-wagon,1009.0,1009.0,18,3d 14h 27m16s,86.454,Active,VIC,VIC,lot
2026-01-02T18:32:52.841143,https://www.grays.com/lot/0001-21061230/motor-vehicles-motor-cycles/2011-audi-q7-3-0-tdi-quattro-turbo-diesel-automatic-8-speed-7-seats-wagon,909.0,909.0,12,3d 14h 27m7s,86.452,Active,VIC,VIC,lot
2026-01-02T18:33:10.270078,https://www.grays.com/lot/0001-21061227/motor-vehicles-motor-cycles/2015-subaru-forester-2-5i-s-s4-cvt-wagon,4900.0,4900.0,65,3d 14h 26m51s,86.448,Active,VIC,VIC,lot
2026-01-02T18:33:21.152890,https://www.grays.com/lot/0001-21061222/motor-vehicles-motor-cycles/2006-bmw-x3-2-5si-e83-automatic-wagon,409.0,409.0,5,3d 14h 26m40s,86.444,Active,VIC,VIC,lot
2026-01-02T18:33:32.033855,https://www.grays.com/lot/0001-21061218/motor-vehicles-motor-cycles/2017-land-rover-discovery-3-0-tdv6-se-series-5-t-d-auto-8-speed-7-seats,9800.0,9800.0,40,3d 14h 26m28s,86.441,Active,VIC,VIC,lot
2026-01-02T18:33:43.546073,https://www.grays.com/lot/0001-21061212/motor-vehicles-motor-cycles/2010-skoda-octavia-118tsi-1z-automatic-sedan,809.0,809.0,15,3d 14h 26m22s,86.439,Active,VIC,VIC,lot
2026-01-02T18:34:09.260575,https://www.grays.com/lot/0001-21061182/motor-vehicles-motor-cycles/2011-audi-a3-1-4-tfsi-8p-automatic-hatchback,409.0,409.0,7,3d 14h 25m53s,86.431,Active,VIC,VIC,lot
