url,year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,general_condition,canonical_tag,canonical_reason,status,price,bids,time_remaining_or_date_sold,date_sold,reason_code,audit_ts
https://www.grays.com/lot/0018-23500015/motor-vehicles-motor-cycles/2015-hyundai-ix35-se-petrol,2015,HYUNDAI,Ix35,se petrol,suv,Automatic,Petrol,179354,5.0,TMAJU81FMFJ788488,DN27MQ,Unregistered,4.0,2,WHITE,,Yes,Yes,Yes,Yes,,melbourne,"scratches and dents visible around vehicle, odometer requires attention, engine light on, rough start up.",hyundai_ix35_se_petrol_auto_wagon_lm,[OK],Referred,4100.0,13.0,06 May 2026 20:00 AEST,,[OK],2026-05-06T18:40:59+00:00
https://www.grays.com/lot/0001-10353555/motor-vehicles-motor-cycles/2020-toyota-corolla-ascent-sport-hybrid-wovr-inspected,2020,TOYOTA,Corolla,ascent sport hybrid wovr-inspected,Hatchback,CVT,Hybrid,72359,5.0,JTNK93BE203020995,FVS66V,Unregistered,4.0,1.8,White,Black,Yes,No,No,No,Yes,nsw,"large dent on roof, passenger side door
medium dent on passenger side rear door
controls inoperable central locking fault on passenger side rear door
medium scratch on front bumper bar",toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r,[OK],Active,,0.0,,,[OK],2026-05-06T18:40:59+00:00
https://www.grays.com/lot/0001-60050716/motor-vehicles-motor-cycles/2014-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,2014,MAZDA,Cx-5,maxx sport ke,Wagon,Automatic,Diesel,205286,5.0,JM0KE102100242604,No plates,Unregistered,4.0,2.2,Red,Multi,Yes,Yes,Yes,Yes,Yes,sa,please refer to the photos or arrange inspection to view the condition of this vehicle.,mazda_cx5_maxx-sport_diesel_auto_wagon_ke,[OK],active,6100.0,43.0,8h 34m7s,,[OK],2026-05-06T18:44:34+00:00
https://www.grays.com/lot/0010-23500020/motor-vehicles-motor-cycles/2014-hyundai-i30-active-auto-hatch,2014,HYUNDAI,I30,active,Hatchback,Automatic,Petrol,71539,5.0,KMHD251EMEU236967,nan,Unregistered,4.0,1.8,White,,Yes,Yes,Yes,Yes,,melbourne,"scratches and dents visible around vehicle, engine noise",hyundai_i30_active_petrol_auto_hatch_gd,[OK],active,3709.0,56.0,15h 19m24s,,[OK],2026-05-06T18:44:34+00:00
https://www.grays.com/lot/0001-60050716/motor-vehicles-motor-cycles/2014-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,2014,MAZDA,Cx-5,maxx sport ke,Wagon,Automatic,Diesel,205286,5.0,JM0KE102100242604,No plates,Unregistered,4.0,2.2,Red,Multi,Yes,Yes,Yes,Yes,Yes,sa,please refer to the photos or arrange inspection to view the condition of this vehicle.,mazda_cx5_maxx-sport_diesel_auto_wagon_ke,[OK],active,6100.0,43.0,8h 34m7s,,[OK],2026-05-06T19:48:23+00:00
https://www.grays.com/lot/0010-23500020/motor-vehicles-motor-cycles/2014-hyundai-i30-active-auto-hatch,2014,HYUNDAI,I30,active,Hatchback,Automatic,Petrol,71539,5.0,KMHD251EMEU236967,nan,Unregistered,4.0,1.8,White,,Yes,Yes,Yes,Yes,,melbourne,"scratches and dents visible around vehicle, engine noise",hyundai_i30_active_petrol_auto_hatch_gd,[OK],active,3709.0,56.0,14h 59m24s,,[OK],2026-05-06T19:48:23+00:00
https://www.grays.com/lot/0001-50715700/motor-vehicles-motor-cycles/2016-mazda-cx-5-maxx-sport-awd-ke-turbo-diesel-automatic-wagon,2016,MAZDA,Cx-5,maxx sport awd ke,Wagon,Automatic,Diesel,188943,5.0,JM0KE102200411667,No plates,Unregistered,4.0,2.2,Silver,Black,Yes,No,Yes,Partial,Yes,qld,"dents or marks on body consistent with age and kilometres.
body/panel damage tailgate
rear bumper cracked bumper.
large scratch on rhr door, rhr guard
large dent on bonnet
medium dent on rhr guard
medium scuff on rear bumper, lhf guard and front bumper",mazda_cx5_maxx-sport_diesel_auto_wagon_ke,[OK],active,109.0,2.0,4d 14h 47m3s,,[OK],2026-05-08T21:57:05+00:00
https://www.grays.com/lot/0001-50715730/motor-vehicles-motor-cycles/2015-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,2015,MAZDA,Cx-5,maxx sport ke,Wagon,Automatic,Diesel,124208,5.0,JM0KE102200305565,No plates,Unregistered,4.0,2.2,Charcoal,Black,Yes,No,Yes,Partial,Yes,qld,"dents or marks on body consistent with age and kilometres.
paint fading spoiler
medium dent on rhf door and guard",mazda_cx5_maxx-sport_diesel_auto_wagon_ke,[OK],active,109.0,2.0,4d 14h 37m32s,,[OK],2026-05-08T21:57:05+00:00
https://www.grays.com/lot/0001-60050730/motor-vehicles-motor-cycles/2017-toyota-camry-altise-asv50r-automatic-sedan,2017,TOYOTA,Camry,altise asv50r,Sedan,Automatic,Petrol,246849,5.0,6T1BF3FK30X109559,No plates,Unregistered,4.0,2.5,White,Black,Yes,Yes,Yes,Yes,Yes,sa,please refer to the photos or arrange inspection to view the condition of this vehicle.,toyota_camry_altise_petrol_auto_sedan_asv50r,[OK],active,109.0,2.0,4d 14h 31m23s,,[OK],2026-05-08T21:57:05+00:00
https://www.grays.com/lot/0002-23500030/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-petrol-auto-ex-lease,2018,TOYOTA,Corolla,ascent petrol (auto) (ex lease),Sedan,Continuously Variable (Cvt),Petrol,208712,5.0,MR053REH205311805,1NG3GU,Unregistered,4.0,1.8,WHITE,,Yes,Yes,Yes,Yes,,melbourne,"scratches and dents visible around vehicle, drivers seat worn, brake pedal rubber worn, door card worn",toyota_corolla_ascent_petrol_auto_sedan_zre172r,[OK],active,1600.0,9.0,2d 13h 53m51s,,[OK],2026-05-08T21:57:05+00:00
https://www.grays.com/lot/0003-23500030/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-petrol-auto-ex-lease,2018,TOYOTA,Corolla,ascent petrol (auto) (ex lease),Sedan,Continuously Variable (Cvt),Petrol,192261,5.0,MR053REH205311839,1NG3HH,Unregistered,4.0,1.8,WHITE,,Yes,Yes,Yes,Yes,,melbourne,"scratches and dents visible around vehicle, chips in paint",toyota_corolla_ascent_petrol_auto_sedan_zre172r,[OK],active,2100.0,30.0,2d 13h 52m19s,,[OK],2026-05-08T21:57:05+00:00
https://www.grays.com/lot/0006-23500030/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-petrol-auto-ex-lease,2018,TOYOTA,Corolla,ascent petrol (auto) (ex lease),Sedan,Continuously Variable (Cvt),Petrol,190690,5.0,MR053REH205311642,1PK7HT,Unregistered,4.0,1.8,WHITE,,Yes,Yes,Yes,Yes,,melbourne,scratches and dents visible around vehicle,toyota_corolla_ascent_petrol_auto_sedan_zre172r,[OK],active,2100.0,26.0,2d 13h 48m43s,,[OK],2026-05-08T21:57:05+00:00
https://www.grays.com/lot/0024-23500027/motor-vehicles-motor-cycles/2011-toyota-yaris-yr-petrol,2011,TOYOTA,Yaris,yr petrol,Hatchback,Automatic,Petrol,141932,5.0,JTDKW923105176383,ZFI444,Unregistered,4.0,1.3,BLACK,,Yes,No,No,Yes,,melbourne,scratches and dents visible around vehicle. roof rail damaged,toyota_yaris_yr_petrol_auto_hatch_ncp90r,[OK],active,2109.0,32.0,3d 13h 35m12s,,[OK],2026-05-08T21:57:05+00:00
https://www.grays.com/lot/0001-60050730/motor-vehicles-motor-cycles/2017-toyota-camry-altise-asv50r-automatic-sedan,2017,TOYOTA,Camry,altise asv50r,Sedan,Automatic,Petrol,246849,5.0,6T1BF3FK30X109559,No plates,Unregistered,4.0,2.5,White,Black,Yes,Yes,Yes,Yes,Yes,sa,please refer to the photos or arrange inspection to view the condition of this vehicle.,toyota_camry_altise_petrol_auto_sedan_asv50r,[OK],active,1009.0,18.0,4d 10h 3m44s,,[OK],2026-05-11T11:06:13+00:00
https://www.grays.com/lot/0001-50715700/motor-vehicles-motor-cycles/2016-mazda-cx-5-maxx-sport-awd-ke-turbo-diesel-automatic-wagon,2016,MAZDA,Cx-5,maxx sport awd ke,Wagon,Automatic,Diesel,188943,5.0,JM0KE102200411667,No plates,Unregistered,4.0,2.2,Silver,Black,Yes,No,Yes,Partial,Yes,qld,"dents or marks on body consistent with age and kilometres.
body/panel damage tailgate
rear bumper cracked bumper.
large scratch on rhr door, rhr guard
large dent on bonnet
medium dent on rhr guard
medium scuff on rear bumper, lhf guard and front bumper",mazda_cx5_maxx-sport_diesel_auto_wagon_ke,[OK],active,309.0,4.0,2d 18h 45m47s,,[OK],2026-05-11T11:06:13+00:00
https://www.grays.com/lot/0001-50715730/motor-vehicles-motor-cycles/2015-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,2015,MAZDA,Cx-5,maxx sport ke,Wagon,Automatic,Diesel,124208,5.0,JM0KE102200305565,No plates,Unregistered,4.0,2.2,Charcoal,Black,Yes,No,Yes,Partial,Yes,qld,"dents or marks on body consistent with age and kilometres.
paint fading spoiler
medium dent on rhf door and guard",mazda_cx5_maxx-sport_diesel_auto_wagon_ke,[OK],active,1700.0,26.0,2d 18h 44m44s,,[OK],2026-05-11T11:06:13+00:00
https://www.grays.com/lot/0006-23500030/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-petrol-auto-ex-lease,2018,TOYOTA,Corolla,ascent petrol (auto) (ex lease),Sedan,Continuously Variable (Cvt),Petrol,190690,5.0,MR053REH205311642,1PK7HT,Unregistered,4.0,1.8,WHITE,,Yes,Yes,Yes,Yes,,melbourne,scratches and dents visible around vehicle,toyota_corolla_ascent_petrol_auto_sedan_zre172r,[OK],active,10900.0,142.0,5m24s,,[OK],2026-05-11T11:06:13+00:00
https://www.grays.com/lot/0024-23500027/motor-vehicles-motor-cycles/2011-toyota-yaris-yr-petrol,2011,TOYOTA,Yaris,yr petrol,Hatchback,Automatic,Petrol,141932,5.0,JTDKW923105176383,ZFI444,Unregistered,4.0,1.3,BLACK,,Yes,No,No,Yes,,melbourne,scratches and dents visible around vehicle. roof rail damaged,toyota_yaris_yr_petrol_auto_hatch_ncp90r,[OK],active,3309.0,44.0,22h 55m34s,,[OK],2026-05-11T11:06:13+00:00
https://www.grays.com/lot/0001-60050730/motor-vehicles-motor-cycles/2017-toyota-camry-altise-asv50r-automatic-sedan,2017,TOYOTA,Camry,altise asv50r,Sedan,Automatic,Petrol,246849,5.0,6T1BF3FK30X109559,No plates,Unregistered,4.0,2.5,White,Black,Yes,Yes,Yes,Yes,Yes,sa,please refer to the photos or arrange inspection to view the condition of this vehicle.,toyota_camry_altise_petrol_auto_sedan_asv50r,[OK],active,1009.0,18.0,4d 10h 3m44s,,[OK],2026-05-13T03:32:36+00:00
https://www.grays.com/lot/0001-50715700/motor-vehicles-motor-cycles/2016-mazda-cx-5-maxx-sport-awd-ke-turbo-diesel-automatic-wagon,2016,MAZDA,Cx-5,maxx sport awd ke,Wagon,Automatic,Diesel,188943,5.0,JM0KE102200411667,No plates,Unregistered,4.0,2.2,Silver,Black,Yes,No,Yes,Partial,Yes,qld,"dents or marks on body consistent with age and kilometres.
body/panel damage tailgate
rear bumper cracked bumper.
large scratch on rhr door, rhr guard
large dent on bonnet
medium dent on rhr guard
medium scuff on rear bumper, lhf guard and front bumper",mazda_cx5_maxx-sport_diesel_auto_wagon_ke,[OK],active,509.0,6.0,1d 10h 55m39s,,[OK],2026-05-13T03:32:36+00:00
https://www.grays.com/lot/0001-50715730/motor-vehicles-motor-cycles/2015-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,2015,MAZDA,Cx-5,maxx sport ke,Wagon,Automatic,Diesel,124208,5.0,JM0KE102200305565,No plates,Unregistered,4.0,2.2,Charcoal,Black,Yes,No,Yes,Partial,Yes,qld,"dents or marks on body consistent with age and kilometres.
paint fading spoiler
medium dent on rhf door and guard",mazda_cx5_maxx-sport_diesel_auto_wagon_ke,[OK],active,4500.0,44.0,1d 10h 52m40s,,[OK],2026-05-13T03:32:36+00:00
https://www.grays.com/lot/0024-23500027/motor-vehicles-motor-cycles/2011-toyota-yaris-yr-petrol,2011,TOYOTA,Yaris,yr petrol,Hatchback,Automatic,Petrol,141932,5.0,JTDKW923105176383,ZFI444,Unregistered,4.0,1.3,BLACK,,Yes,No,No,Yes,,melbourne,scratches and dents visible around vehicle. roof rail damaged,toyota_yaris_yr_petrol_auto_hatch_ncp90r,[OK],active,3509.0,46.0,10h 52m9s,,[OK],2026-05-13T03:32:36+00:00
