group_id,series,anchor_year,km_anchor,price_low,price_high,price_median,price_per_km_bucket,source,created_at,audit_ts
hyundai_i30_hatch_petrol_auto_na_active_elite,PD.V4,2022,50000,,,22900,0.45,curve_pipe_import,2026-01-11T22:30:55,2026-01-20T14:37:06
hyundai_i30_hatch_petrol_auto_na_active_elite,PD.V4,2022,120000,,,18350,0.15,curve_pipe_import,2026-01-11T22:30:55,2026-01-20T14:37:06
hyundai_i30_hatch_petrol_auto_na_active_elite,PD.V4,2022,200000,,,15400,0.1,curve_pipe_import,2026-01-11T22:30:55,2026-01-20T14:37:06
hyundai_i30_hatch_petrol_auto_na_active_elite,PD.V4,2022,260000,,,13700,0.05,curve_pipe_import,2026-01-11T22:30:55,2026-01-20T14:37:06
toyota_corolla_hatch_petrol_auto,E170,2013,50000,,,16400,0.35,curve_pipe_import,2026-01-12T06:51:36,2026-01-20T14:37:06
toyota_corolla_hatch_petrol_auto,E170,2013,120000,,,13900,0.1,curve_pipe_import,2026-01-12T06:51:36,2026-01-20T14:37:06
toyota_corolla_hatch_petrol_auto,E170,2013,200000,,,11000,0.05,curve_pipe_import,2026-01-12T06:51:36,2026-01-20T14:37:06
toyota_corolla_hatch_petrol_auto,E170,2013,260000,,,10100,0.05,curve_pipe_import,2026-01-12T06:51:36,2026-01-20T14:37:06
toyota_corolla_hatch_petrol_auto,E180,2017,50000,,,19300,0.4,curve_pipe_import,2026-01-12T06:51:36,2026-01-20T14:37:06
toyota_corolla_hatch_petrol_auto,E180,2017,120000,,,16400,0.15,curve_pipe_import,2026-01-12T06:51:36,2026-01-20T14:37:06
toyota_corolla_hatch_petrol_auto,E180,2017,200000,,,13300,0.05,curve_pipe_import,2026-01-12T06:51:36,2026-01-20T14:37:06
toyota_corolla_hatch_petrol_auto,E180,2017,260000,,,13550,0.05,curve_pipe_import,2026-01-12T06:51:36,2026-01-20T14:37:06
toyota_corolla_hatch_petrol_auto,E210,2022,50000,,,24000,0.5,curve_pipe_import,2026-01-12T06:51:36,2026-01-20T14:37:06
