year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,odo_suspect,group_id,reason_code,audit_ts
2014,TOYOTA,Rav,4 FWD GXL ZSA42R,Wagon,CVT,Petrol,190476,5.0,JTMYDREV20D040699,1DI3RJ,16-10-2025,4,2,White,Red Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21053697/motor-vehicles-motor-cycles/2014-toyota-rav-4-fwd-gxl-zsa42r-cvt-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Dent on Rear bumper",129,11500,2025-08-04,0,toyota_rav4_suv_petrol_auto_gxl_fwd_2013_2023,[OK],,,,,rav4 | suv_petrol_auto | NA | 2014,[OK],2026-02-03T01:22:14
2017,TOYOTA,Corolla,Ascent Sport ZRE182R,Hatchback,CVT,Petrol,73373,5.0,JTNKU3JE90J563921,DNX36Z,13-12-2025,4,1.8,Silver,Grey,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10349974/motor-vehicles-motor-cycles/2017-toyota-corolla-ascent-sport-zre182r-cvt-hatchback-73-373kms,Please refer to the photos or arrange inspection to view the condition of this vehicle.,119,15500,2025-08-05,0,toyota_corolla_hatch_petrol_auto_ascent_sport_fwd_2016_2018,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | hatch_petrol_auto | E180 | 2017,[OK],2026-02-03T01:22:14
2015,TOYOTA,Corolla,Ascent ZRE172R,Sedan,Automatic,Petrol,346834,5.0,MR053REH205277493,No plates,Unregistered,4,1.8,Blue,Black,Yes,Yes,No,No,Yes,VIC,https://www.grays.com/lot/0001-21053852/motor-vehicles-motor-cycles/2015-toyota-corolla-ascent-zre172r-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Medium Dent on Various parts on panels
Front Cracked bumper.
Paint fading Hood
Medium Scratch on Various parts on panels",92,6700,2025-08-06,0,toyota_corolla_sedan_petrol_auto_ascent_fwd_2013_2015,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | sedan_petrol_auto | E170 | 2013,[OK],2026-02-03T01:22:14
2020,TOYOTA,Camry,Ascent ASV70R,Sedan,Automatic,Petrol,124270,5.0,JTNBF3HK903056799,No plates,Unregistered,4,2.5,White,Grey,Yes,Yes,Yes,Yes,Yes,QLD,https://www.grays.com/lot/0001-50712675/motor-vehicles-motor-cycles/2020-toyota-camry-ascent-asv70r-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Front Seat Stains driver",119,17600,2025-08-11,0,toyota_camry_sedan_petrol_auto_ascent_fwd_2018_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,camry | sedan_petrol_auto_ascent | ASV70R | 2020,[OK],2026-02-03T01:22:14
2016,TOYOTA,Rav,4 FWD GX ZSA42R,Wagon,CVT,Petrol,92086,5.0,JTMZDREV50J083102,No plates,Unregistered,4,2,White,Multi,Yes,Yes,Yes,Yes,Yes,SA,https://www.grays.com/lot/0001-60048618/motor-vehicles-motor-cycles/2016-toyota-rav-4-fwd-gx-zsa42r-cvt-wagon,Please refer to the photos or arrange inspection to view the condition of this vehicle.,108,15700,2025-08-12,0,toyota_rav4_suv_petrol_auto_gx_fwd_2013_2023,[OK],,,,,rav4 | suv_petrol_auto | NA | 2016,[OK],2026-02-03T01:22:14
2019,TOYOTA,Corolla,Ascent Sport MZEA12R,Hatchback,CVT,Petrol,110833,5.0,JTNK43BE003082054,CW75RL,Unregistered,4,2,White,Grey,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10350154/motor-vehicles-motor-cycles/2019-toyota-corolla-ascent-sport-mzea12r-cvt-hatchback,Please refer to the photos or arrange inspection to view the condition of this vehicle.,114,15100,2025-08-18,0,toyota_corolla_hatch_petrol_auto_ascent_sport_fwd_2019_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | hatch_petrol_auto | E210 | 2022,[OK],2026-02-03T01:22:14
2018,TOYOTA,Rav,4 FWD GX ZSA42R,Wagon,CVT,Petrol,190490,5.0,JTMZDREV70J147186,1GNA460,22-10-2025,4,2,White,Charcoal,Yes,Yes,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9062690/motor-vehicles-motor-cycles/2018-toyota-rav-4-fwd-gx-zsa42r-cvt-wagon,"Dents or marks on body consistent with age and kilometres.
Front Seat worn driver
Windscreen Chipped or Cracked.",134,13300,2025-08-19,0,toyota_rav4_suv_petrol_auto_gx_fwd_2013_2023,[OK],,,,,rav4 | suv_petrol_auto | NA | 2018,[OK],2026-02-03T01:22:14
2020,TOYOTA,Camry,Ascent ASV70R,Sedan,Automatic,Petrol,124270,5.0,JTNBF3HK903056799,No plates,Unregistered,4,2.5,White,Grey,Yes,Yes,Yes,Yes,Yes,QLD,https://www.grays.com/lot/0001-50712769/motor-vehicles-motor-cycles/2020-toyota-camry-ascent-asv70r-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Front Seat Stains driver",99,17900,2025-08-19,0,toyota_camry_sedan_petrol_auto_ascent_fwd_2018_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,camry | sedan_petrol_auto_ascent | ASV70R | 2020,[OK],2026-02-03T01:22:14
2018,TOYOTA,Hilux,SR (4x4) GUN126R Dual,Dual Cab,Automatic,Diesel,171068,5.0,MR0KA3CD201210827,No Plates,Unregistered,4,2.8,White,Black,Yes,Yes,No,No,Yes,VIC,https://www.grays.com/lot/0001-21054693/motor-vehicles-motor-cycles/2018-toyota-hilux-sr-4x4-gun126r-turbo-diesel-automatic-dual-cab,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Various parts on panels
Medium Scuff on Front bumper
Dents or marks on body consistent with age and kilometres.",98,22500,2025-08-20,0,toyota_hilux_dualcab_ute_diesel_auto_sr_4x4_2015_2023,[OK],,,,,hilux | dualcab_ute_diesel_auto | GUN126R | 2021,[OK],2026-02-03T01:22:14
2019,TOYOTA,Corolla,Ascent Sport MZEA12R,Sedan,CVT,Petrol,20298,5.0,JTDB43CE10J046324,1RE5TQ,Unregistered,4,2,White,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21055002/motor-vehicles-motor-cycles/2019-toyota-corolla-ascent-sport-mzea12r-cvt-sedan-ex-gov,"Medium Scuff on Various parts on panels
Dents or marks on body consistent with age and kilometres.",141,20900,2025-08-26,0,toyota_corolla_sedan_petrol_auto_ascent_sport_fwd_2019_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | sedan_petrol_auto | E210 | 2022,[OK],2026-02-03T01:22:14
2019,TOYOTA,Corolla,Ascent Sport MZEA12R,Sedan,CVT,Petrol,137603,5.0,JTDB43CE60J045119,1YI7TJ,30-08-2025,4,2,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21055026/motor-vehicles-motor-cycles/2019-toyota-corolla-ascent-sport-mzea12r-cvt-sedan,"Medium Scratch on Various parts on panels
Dents or marks on body consistent with age and kilometres.",68,15000,2025-08-26,0,toyota_corolla_sedan_petrol_auto_ascent_sport_fwd_2019_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | sedan_petrol_auto | E210 | 2022,[OK],2026-02-03T01:22:14
2016,TOYOTA,Corolla,Ascent Sport ZRE182R,Hatchback,CVT,Petrol,171622,5.0,JTNKU3JE90J541935,1NY8RD,17-10-2025,4,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21054784/motor-vehicles-motor-cycles/2016-toyota-corolla-ascent-sport-zre182r-cvt-hatchback,"Dents or marks on body consistent with age and kilometres.
Damaged RH indicator cracked",104,11300,2025-08-26,0,toyota_corolla_hatch_petrol_auto_ascent_sport_fwd_2016_2018,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | hatch_petrol_auto | E180 | 2017,[OK],2026-02-03T01:22:14
2019,TOYOTA,Camry,ASCENT HYBRID AXVH71R,Sedan,Automatic,Hybrid,144163,5.0,JTNB23HK503050784,No plates,Unregistered,4,2.5,White,Black,Yes,Yes,Yes,Yes,Yes,SA,https://www.grays.com/lot/0001-60048765/motor-vehicles-motor-cycles/2019-toyota-camry-ascent-hybrid-axvh71r-automatic-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.,103,18600,2025-08-27,0,toyota_camry_sedan_hybrid_auto_ascent_fwd_2018_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,camry | sedan_hybrid_auto | NA | 2019,[OK],2026-02-03T01:22:14
2015,TOYOTA,Rav,4 FWD GX ZSA42R,Wagon,CVT,Petrol,185209,5.0,JTMZDREV40J051936,No plates,Unregistered,4,2,Dark Grey,Black,Yes,No,Yes,Yes,Yes,QLD,https://www.grays.com/lot/0001-50516542/motor-vehicles-motor-cycles/2015-toyota-rav-4-fwd-gx-zsa42r-cvt-wagon,"Large Dent on LH rear guard
Medium Scratch on LH rear door
Large Scratch on Front bumper
Dents or marks on body consistent with age and kilometres.
Slight CVT noise",81,9400,2025-08-31,0,toyota_rav4_suv_petrol_auto_gx_fwd_2013_2023,[OK],,,,,rav4 | suv_petrol_auto | NA | 2015,[OK],2026-02-03T01:22:14
2021,TOYOTA,Rav,4 AWD GX HYBRID AXAH54R,Wagon,CVT,Hybrid,151559,5.0,JTMBW3FV00D110857,1UK3WE,12-02-2026,4,2.5,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21055361/motor-vehicles-motor-cycles/2021-toyota-rav-4-awd-gx-hybrid-axah54r-cvt-wagon,"Dents or marks on body consistent with age and kilometres.
Front Seat worn Drivers",73,24000,2025-09-01,0,toyota_rav4_suv_hybrid_auto_gx_4x4_2013_2023,[OK],,,,,rav4 | suv_hybrid_auto | NA | 2021,[OK],2026-02-03T01:22:14
2021,TOYOTA,Camry,ASCENT SPORT HYBRID AXVH70R,Sedan,CVT,Hybrid,144189,5.0,JTNBA3HKX03009683,DB77PD,Unregistered,4,2.5,White,Black,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10350384/motor-vehicles-motor-cycles/2021-toyota-camry-ascent-sport-hybrid-axvh70r-cvt-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.,65,22800,2025-09-01,0,toyota_camry_sedan_hybrid_auto_ascent_sport_fwd_2018_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,camry | sedan_hybrid_auto | NA | 2021,[OK],2026-02-03T01:22:14
2014,TOYOTA,Corolla,Ascent Sport ZRE182R,Hatchback,CVT,Petrol,198446,5.0,JTNKU3JEX0J060589,YBM83B,Unregistered,4,1.8,Grey,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10350459/motor-vehicles-motor-cycles/2014-toyota-corolla-ascent-sport-zre182r-cvt-hatchback,Please refer to the photos or arrange inspection to view the condition of this vehicle.,66,8300,2025-09-02,0,toyota_corolla_hatch_petrol_auto_ascent_sport_fwd_2013_2015,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | hatch_petrol_auto | E170 | 2013,[OK],2026-02-03T01:22:14
2021,TOYOTA,Camry,ASCENT HYBRID AXVH70R,Sedan,CVT,Hybrid,137720,5.0,JTNBA3HKX03010848,No plates,Unregistered,4,2.5,White,Black,Yes,Yes,Yes,Yes,Yes,QLD,https://www.grays.com/lot/0001-50713014/motor-vehicles-motor-cycles/2021-toyota-camry-ascent-hybrid-axvh70r-cvt-sedan,"Marks in boot
Dents or marks on body consistent with age and kilometres.
Carpet worn in places.",104,24000,2025-09-08,0,toyota_camry_sedan_hybrid_auto_ascent_fwd_2018_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,camry | sedan_hybrid_auto | NA | 2021,[OK],2026-02-03T01:22:14
2019,TOYOTA,Camry,ASCENT HYBRID AXVH71R,Sedan,Automatic,Hybrid,144163,5.0,JTNB23HK503050784,No plates,Unregistered,4,2.5,White,Black,Yes,Yes,Yes,Yes,Yes,SA,https://www.grays.com/lot/0001-60048860/motor-vehicles-motor-cycles/2019-toyota-camry-ascent-hybrid-axvh71r-automatic-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.,147,18950,2025-09-08,0,toyota_camry_sedan_hybrid_auto_ascent_fwd_2018_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,camry | sedan_hybrid_auto | NA | 2019,[OK],2026-02-03T01:22:14
2014,TOYOTA,Corolla,Ascent ZRE182R,Hatchback,CVT,Petrol,225627,5.0,JTNKU3JE60J057530,1GF3AB,01-09-2025,4,1.8,Red,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21055694/motor-vehicles-motor-cycles/2014-toyota-corolla-ascent-zre182r-cvt-hatchback,"Engine noise observed.
Dents or marks on body consistent with age and kilometres.
Body/panel damage Various parts on panels
Large Dent, Scuff, Scratch on Various parts on panels",40,5000,2025-09-09,0,toyota_corolla_hatch_petrol_auto_ascent_fwd_2013_2015,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | hatch_petrol_auto | E170 | 2013,[OK],2026-02-03T01:22:14
2013,TOYOTA,Corolla,Ascent Sport ZRE182R,Hatchback,CVT,Petrol,174439,5.0,JTNKU3JE80J028739,No plates,Unregistered,4,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,QLD,https://www.grays.com/lot/0001-50516660/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-sport-zre182r-cvt-hatchback,"Engine Smoke visible
Door card Worn.
Dents or marks on body consistent with age and kilometres.
Engine Water Leak
Medium Scuff on RHR quarter panel
Other Warning light ON",80,5900,2025-09-10,0,toyota_corolla_hatch_petrol_auto_ascent_sport_fwd_2013_2015,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | hatch_petrol_auto | E170 | 2013,[OK],2026-02-03T01:22:14
2017,TOYOTA,Rav4,FWD GX ZSA42R,Wagon,CVT,Petrol,123266,5.0,JTMZDREV50J121041,1ZD6DX,01-12-2025,4,2,Grey,Black,Yes,Yes,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21057732/motor-vehicles-motor-cycles/2017-toyota-rav4-fwd-gx-zsa42r-cvt-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Driver side back door",82,15300,2025-10-13,0,toyota_rav4_suv_petrol_auto_gx_fwd_2013_2023,[OK],,,,,rav4 | suv_petrol_auto | NA | 2017,[OK],2026-02-03T01:22:14
2018,TOYOTA,Rav,4 FWD GX ZSA42R,Wagon,Automatic,Petrol,183106,5.0,JTMZDREV90J186605,No plates,Unregistered,4,2,White,Black,Yes,No,No,Partial,Yes,VIC,https://www.grays.com/lot/0001-21057833/motor-vehicles-motor-cycles/2018-toyota-rav-4-fwd-gx-zsa42r-automatic-wagon,"medium dents and scuffs consistent with age and kilometres of vehicle.
larger scuffs on vehicle",96,13100,2025-10-14,0,toyota_rav4_suv_petrol_auto_gx_fwd_2013_2023,[OK],,,,,rav4 | suv_petrol_auto | NA | 2018,[OK],2026-02-03T01:22:14
2014,TOYOTA,Corolla,Ascent Sport ZRE182R,Hatchback,CVT,Petrol,143967,5.0,JTNKU3JE10J078835,BZD845,25-08-2026,4,1.8,Black,Black,Yes,Yes,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21057818/motor-vehicles-motor-cycles/2014-toyota-corolla-ascent-sport-zre182r-cvt-hatchback,"Medium Scuff on Various panels around vehicle
Medium Dent on Various panels around vehicle
Front Cracked bumper.
Dents or marks on body consistent with age and kilometres.",91,9300,2025-10-14,0,toyota_corolla_hatch_petrol_auto_ascent_sport_fwd_2013_2015,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | hatch_petrol_auto | E170 | 2013,[OK],2026-02-03T01:22:14
2021,TOYOTA,Camry,ASCENT SPORT HYBRID AXVH70R,Sedan,CVT,Hybrid,135237,5.0,JTNBA3HK703010340,No plates,Unregistered,4,2.5,White,Black,Yes,Yes,Yes,Partial,Yes,QLD,https://www.grays.com/lot/0001-50713447/motor-vehicles-motor-cycles/2021-toyota-camry-ascent-sport-hybrid-axvh70r-cvt-sedan,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on side skirt",28,24000,2025-10-20,0,toyota_camry_sedan_hybrid_auto_ascent_sport_fwd_2018_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,camry | sedan_hybrid_auto | NA | 2021,[OK],2026-02-03T01:22:14
2013,TOYOTA,Corolla,Ascent ZRE152R,Sedan,Automatic,Petrol,148769,5.0,JTNBU56E80J103332,No plates,Unregistered,4,1.8,Silver,Black,Yes,No,Yes,Partial,Yes,QLD,https://www.grays.com/lot/0001-50713434/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Medium Dent on RH front door
Medium Scratch on rear bumper",61,7300,2025-10-21,0,toyota_corolla_sedan_petrol_auto_ascent_fwd_2013_2015,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | sedan_petrol_auto | E170 | 2013,[OK],2026-02-03T01:22:14
2012,TOYOTA,Hilux,4X4 SR KUN26R Dual,Dual Cab,Automatic,Diesel,74089,5.0,MR0FZ22G801066345,No Plates,Unregistered,4,3,White,Grey,Yes,No,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21058500/motor-vehicles-motor-cycles/2012-toyota-hilux-4x4-sr-kun26r-turbo-diesel-automatic-dual-cab,"Dents or marks on body consistent with age and kilometres.
Medium Dent on Various locations",117,10500,2025-10-28,0,toyota_hilux_dualcab_ute_diesel_auto_sr_4x4_2005_2014,[OK],,,,,hilux | dualcab_ute_diesel_auto | KUN26R | 2012,[OK],2026-02-03T01:22:14
2017,TOYOTA,Rav,4 FWD GXL ZSA42R,Wagon,CVT,Petrol,243258,5.0,JTMWDREV50J106249,1KJ2YB,14-06-2026,4,2,Grey,Black Leather,Yes,Yes,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21058581/motor-vehicles-motor-cycles/2017-toyota-rav-4-fwd-gxl-zsa42r-cvt-wagon,"Carpet worn in places.
Dents or marks on body consistent with age and kilometres.
Medium Scratch on Around vehicle
Large Scratch on Rear tailgate
Front Seat worn drivers",112,12000,2025-10-29,0,toyota_rav4_suv_petrol_auto_gxl_fwd_2013_2023,[OK],,,,,rav4 | suv_petrol_auto | NA | 2017,[OK],2026-02-03T01:22:14
2013,TOYOTA,Corolla,Ascent ZRE182R,Hatchback,CVT,Petrol,280143,5.0,JTNKU3JE40J031184,ZXQ857,29-07-2026,4,1.8,Grey,Black,Yes,Yes,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21058578/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre182r-cvt-hatchback,"Traction control light ON
Dents or marks on body consistent with age and kilometres.",99,7500,2025-10-29,0,toyota_corolla_hatch_petrol_auto_ascent_fwd_2013_2015,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | hatch_petrol_auto | E170 | 2013,[OK],2026-02-03T01:22:14
2007,TOYOTA,Hilux,SR (4x4) KUN26R Dual,Dual Cab,Automatic,Diesel,316704,5.0,MR0FZ22G501153071,No plates,Unregistered,4,3,Silver,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21058472/motor-vehicles-motor-cycles/2007-toyota-hilux-sr-4x4-kun26r-turbo-diesel-automatic-dual-cab,Dents or marks on body consistent with age and kilometres. Windscreen chip,13,10800,2025-10-29,0,toyota_hilux_dualcab_ute_diesel_auto_sr_4x4_2005_2014,[OK],,,,,hilux | dualcab_ute_diesel_auto | KUN26R | 2006,[OK],2026-02-03T01:22:14
2013,TOYOTA,Corolla,Ascent ZRE182R,Hatchback,CVT,Petrol,302351,5.0,JTNKU3JE20J044774,BX44KG,Unregistered,4,1.8,White,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10351350/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre182r-cvt-hatchback,Please refer to the photos or arrange inspection to view the condition of this vehicle.,50,6300,2025-11-09,0,toyota_corolla_hatch_petrol_auto_ascent_fwd_2013_2015,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | hatch_petrol_auto | E170 | 2013,[OK],2026-02-03T01:22:14
2020,TOYOTA,Corolla,Ascent Sport MZEA12R,Hatchback,CVT,Petrol,54021,5.0,JTNK43BE803095327,No plates,Unregistered,4,2,White,Black,Yes,Yes,Yes,Yes,Yes,QLD,https://www.grays.com/lot/0001-50517277/motor-vehicles-motor-cycles/2020-toyota-corolla-ascent-sport-mzea12r-cvt-hatchback,Dents or marks on body consistent with age and kilometres.,100,19700,2025-11-12,0,toyota_corolla_hatch_petrol_auto_ascent_sport_fwd_2019_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | hatch_petrol_auto | E210 | 2022,[OK],2026-02-03T01:22:14
2019,TOYOTA,Camry,Ascent ASV70R,Sedan,Automatic,Petrol,102697,5.0,JTNBF3HK703046045,CW77TT,Unregistered,4,2.5,Silver,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10351451/motor-vehicles-motor-cycles/2019-toyota-camry-ascent-asv70r-automatic-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.,225,13609,2025-11-18,0,toyota_camry_sedan_petrol_auto_ascent_fwd_2018_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,camry | sedan_petrol_auto_ascent | ASV70R | 2020,[OK],2026-02-03T01:22:14
2017,TOYOTA,Corolla,Ascent Sport ZRE182R,Hatchback,CVT,Petrol,141472,5.0,JTNKU3JE90J560436,1YB8MS,Unregistered,4,1.8,White,Black,Yes,Yes,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21059275/motor-vehicles-motor-cycles/2017-toyota-corolla-ascent-sport-zre182r-cvt-hatchback,"Dents or marks on body consistent with age and kilometres.
Windscreen Chipped or Cracked.",98,10800,2025-11-18,0,toyota_corolla_hatch_petrol_auto_ascent_sport_fwd_2016_2018,[OK],,,,POLICY_IMPLICIT_FWD_AU,corolla | hatch_petrol_auto | E180 | 2017,[OK],2026-02-03T01:22:14
2018,TOYOTA,Camry,SX ASV70R,Sedan,Automatic,Petrol,276950,5.0,JTNBF3HK603004689,1UG2HW,02-02-2026,4,2.5,White,Black Leather,Yes,No,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21059438/motor-vehicles-motor-cycles/2018-toyota-camry-sx-asv70r-automatic-sedan,"Windscreen Chipped or Cracked.
Door Mirror Broken Passenger
Damaged Rhr
Dents or marks on body consistent with age and kilometres.
Medium Scuff on various panels
Interior: Wear and tear consistent with age and kilometres travelled.
Interior: Wear and tear consistent with age and kilometres travelled.",108,13300,2025-11-19,0,toyota_camry_sedan_petrol_auto_sx_fwd_2.5i_2018_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,camry | sedan_petrol_auto_sx_2_5i | ASV70R | 2020,[OK],2026-02-03T01:22:14
2021,TOYOTA,Camry,Ascent AXVA70R,Sedan,Automatic,Petrol,127867,5.0,JTNB13HK803151983,DB62ZK,Unregistered,4,2.5,White,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10351477/motor-vehicles-motor-cycles/2021-toyota-camry-ascent-axva70r-automatic-8-speed-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.,261,19100,2025-11-19,0,toyota_camry_sedan_petrol_auto_ascent_fwd_2018_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,camry | sedan_petrol_auto_ascent | ASV70R | 2020,[OK],2026-02-03T01:22:14
2007,TOYOTA,Hilux,SR5 (4x4) KUN26R Dual,Dual Cab,Automatic,Diesel,408708,5.0,MR0FZ29G901709940,No plates,Unregistered,4,3,Champagne,Grey,Yes,Yes,Yes,Partial,Yes,QLD,https://www.grays.com/lot/0001-50713665/motor-vehicles-motor-cycles/2007-toyota-hilux-sr5-4x4-kun26r-turbo-diesel-automatic-dual-cab,"Dents or marks on body consistent with age and kilometres.
Paint fading Various panels
Medium Scratch on RHR flare, RHR guard and tailgate
Large Scuff on Lhr flare and lh tail light
Medium Dent on Lh c- pillar and tailgate.
Large Dent on RHR corner of tub
Damaged Rh tail light
Large Dent on Rear bumper bar",88,7500,2025-11-19,0,toyota_hilux_dualcab_ute_diesel_auto_sr5_4x4_2005_2014,[OK],,,,,hilux | dualcab_ute_diesel_auto | KUN26R | 2006,[OK],2026-02-03T01:22:14
2017,TOYOTA,Rav,4 FWD GXL ZSA42R,Wagon,CVT,Petrol,147139,5.0,JTMWDREV00J108068,CGG758G,21-11-2025,4,2,White,Black,Yes,No,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9065226/motor-vehicles-motor-cycles/2017-toyota-rav-4-fwd-gxl-zsa42r-cvt-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Dent on Front drivers quarter
Windscreen Chipped or Cracked.
Door card Worn.
Medium Scuff on Rear bumper
Front Seat worn driver seat",188,15020,2025-11-19,0,toyota_rav4_suv_petrol_auto_gxl_fwd_2013_2023,[OK],,,,,rav4 | suv_petrol_auto | NA | 2017,[OK],2026-02-03T01:22:14
2019,TOYOTA,Camry,Ascent ASV70R,Sedan,Automatic,Petrol,102697,5.0,JTNBF3HK703046045,CW77TT,Unregistered,4,2.5,Silver,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10351660/motor-vehicles-motor-cycles/2019-toyota-camry-ascent-asv70r-automatic-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.,210,14600,2025-11-30,0,toyota_camry_sedan_petrol_auto_ascent_fwd_2018_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,camry | sedan_petrol_auto_ascent | ASV70R | 2020,[OK],2026-02-03T01:22:14
2018,TOYOTA,Camry,ASCENT HYBRID AXVH71R,Sedan,Automatic,Hybrid,57542,5.0,JTNB23HK603007765,No Plates,Unregistered,4,2.5,Champagne,Grey,Yes,Yes,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21059936/motor-vehicles-motor-cycles/2018-toyota-camry-ascent-hybrid-axvh71r-automatic-sedan,Dents or marks on body consistent with age and kilometres.,258,20100,2025-12-03,0,toyota_camry_sedan_hybrid_auto_ascent_fwd_2018_2023,[OK],,,,POLICY_IMPLICIT_FWD_AU,camry | sedan_hybrid_auto | NA | 2018,[OK],2026-02-03T01:22:14
2016,TOYOTA,Hilux,4x4 SR GUN126R Dual,Dual Cab,Automatic,Diesel,222941,5.0,MR0KA3CD601194390,No,Unregistered,4,2.8,White,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21060193/motor-vehicles-motor-cycles/2016-toyota-hilux-4x4-sr-gun126r-turbo-diesel-automatic-dual-cab,"Dents or marks on body consistent with age and kilometres.
Door Mirror Broken Drivers Side Mirror Broken
Medium Dent on Bonnet",203,17200,2025-12-10,0,toyota_hilux_dualcab_ute_diesel_auto_sr_4x4_2015_2023,[OK],,,,,hilux | dualcab_ute_diesel_auto | GUN126R | 2021,[OK],2026-02-03T01:22:14
