year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,odo_suspect,group_id,reason_code,audit_ts
2017,MAZDA,Cx-5,Maxx (4x4) KF,Wagon,Automatic,Petrol,171597,5.0,JM0KF4WLA00122436,1KW7DS,12-09-2025,4,2.5,Blue,Black,Yes,Yes,No,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044953/motor-vehicles-motor-cycles/2017-mazda-cx-5-maxx-4x4-kf-automatic-wagon,Dents or marks on body consistent with age and kilometres.,213,14100,2025-03-11,0,mazda_cx5_suv_petrol_auto_25,,2026-01-19T05:05:39
2011,HOLDEN,Commodore,SV6 VE,Sedan,Automatic,Petrol,193072,5.0,6G1EK5EV0BL526319,No plates,Unregistered,6,3.6,Red,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21044975/motor-vehicles-motor-cycles/2011-holden-commodore-sv6-ve-automatic-sedan,"Engine light ON
Engine noise observed.
Body/panel damage front bumper and LHF guard
Large Scratch on LHR guard/door
Large Scratch on rear bumper",12,2509,2025-03-11,0,holden_commodore_sedan_petrol_auto_v6,,2026-01-19T05:05:39
2012,MAZDA,Cx-5,Maxx KE,Wagon,Automatic,Petrol,265786,5.0,JM0KE107100103443,YYY652,28-03-2025,4,2,Grey,Black,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21045026/motor-vehicles-motor-cycles/2012-mazda-cx-5-maxx-ke-automatic-wagon,"Paint fading Bonnet, roof, boot spoiler
Dents or marks on body consistent with age and kilometres.
Worn seats.",36,5000,2025-03-11,0,mazda_cx5_suv_petrol_auto_20,,2026-01-19T05:05:39
2010,HYUNDAI,I30,SX FD,Hatchback,Automatic,Petrol,176158,5.0,KMHDB51EMBU319111,1NN1NP,10-01-2025,4,2,Silver,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045094/motor-vehicles-motor-cycles/2010-hyundai-i30-sx-fd-automatic-hatchback,"Medium Scratch on rear passenger door, rear fender and bumper
Large Scratch on rear passenger door, front bumper
Dents or marks on body consistent with age and kilometres.",43,3800,2025-03-12,0,hyundai_i30_hatch_petrol_auto_na_active_elite,,2026-01-19T05:05:39
2018,FORD,Ranger,XLT 4X2 Hi-Rider PX III Dual,Dual Cab,Automatic,Diesel,206345,5.0,MPBUMFF50JX201030,1PE2CD,15-03-2025,5,3.2,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045145/motor-vehicles-motor-cycles/2018-ford-ranger-xlt-4x2-hi-rider-px-iii-turbo-diesel-automatic-dual-cab,"Dents or marks on body consistent with age and kilometres.
Engine noise observed.
Windscreen Chipped or Cracked.",76,11500,2025-03-12,0,ford_ranger_dualcab_ute_diesel_auto,,2026-01-19T05:05:39
2015,VOLKSWAGEN,Golf,90TSI Comfortline A7,Hatchback,Automatic,Petrol,78728,5.0,WVWZZZAUZFW270103,1DF1OV,20-07-2025,4,1.4,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045135/motor-vehicles-motor-cycles/2015-volkswagen-golf-90tsi-comfortline-a7-automatic-hatchback,"Door Mirror Broken Drivers
Dents or marks on body consistent with age and kilometres.",44,10399,2025-03-12,0,volkswagen_golf_hatch_petrol_auto_base,,2026-01-19T05:05:39
1999,HOLDEN,Commodore,Executive VT,Sedan,Automatic,Petrol,232341,5.0,6H8VTK69HXL451637,1PK7GA,29-07-2025,6,3.8,White,Grey,Yes,Yes,No,No,Yes,VIC,https://www.grays.com/lot/0001-21045225/motor-vehicles-motor-cycles/1999-holden-commodore-executive-vt-automatic-sedan,"Medium Scratch on Around exterior
Paint fading Around exterior",15,1409,2025-03-16,0,holden_commodore_sedan_petrol_auto_v6,,2026-01-19T05:05:39
2019,MAZDA,Cx-5,MAXX (4x2) KF,Wagon,Automatic,Petrol,109862,5.0,JM0KF2W7A00317459,No Plates,Unregistered,4,2,White,Black,Yes,Yes,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21045241/motor-vehicles-motor-cycles/2019-mazda-cx-5-maxx-4x2-kf-automatic-wagon,Dents or marks on body consistent with age and kilometres.,162,13700,2025-03-16,0,mazda_cx5_suv_petrol_auto_20,,2026-01-19T05:05:39
2018,MAZDA,Cx-5,GT KF,Wagon,Automatic,Petrol,90393,5.0,JM0KF4WLA00300956,1OJ3ZW,11-03-2025,4,2.5,Black,Black Leather,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045219/motor-vehicles-motor-cycles/2018-mazda-cx-5-gt-kf-automatic-wagon,Dents or marks on body consistent with age and kilometres.,121,20166,2025-03-16,0,mazda_cx5_suv_petrol_auto_25,,2026-01-19T05:05:39
2014,TOYOTA,Corolla,Ascent ZRE182R,Hatchback,CVT,Petrol,193733,5.0,JTNKU3JE20J083803,1GM5XW,15-07-2025,4,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045293/motor-vehicles-motor-cycles/2014-toyota-corolla-ascent-zre182r-cvt-hatchback,"Paint cracked Rear bar
Dents or marks on body consistent with age and kilometres.
Controls Broken Heater and Air Conditioning / Blower Fan",119,8600,2025-03-17,0,toyota_corolla_hatch_petrol_auto,,2026-01-19T05:05:39
