year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,odo_suspect,canonical_tag,canonical_reason,price_numeric,price_text,bids_numeric
2008,TOYOTA,Kluger,KX-R (FWD) GSU40R,Wagon,Automatic,Petrol,290090,7.0,JTEDS41A002054506,S730ADU,Unregistered,6,3.5,Grey,Grey,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10347508/motor-vehicles-motor-cycles/2008-toyota-kluger-kx-r-fwd-gsu40r-automatic-7-seats-wagon,"Large Scratch on Bumper bars, passenger side rear door and quarter panel
Damaged Passenger side tail light
Paint peeling Rear spoiler
Flat Battery. Jump start or towing required
Dash lights flickering
Alternator requires replacement
Key blade fallen out of remote
Interior: Wear and tear on interior consistent with age and kilometers",15,1409,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2009,TOYOTA,Kluger,KX-R (FWD) GSU40R,Wagon,Automatic,Petrol,307564,5.0,JTEDS41A802088564,XFG970,01-01-2026,6,3.5,Silver,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044940/motor-vehicles-motor-cycles/2009-toyota-kluger-kx-r-fwd-gsu40r-automatic-wagon,"Medium Scratch on doors, front bumper",39,3409,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2005,TOYOTA,Rav,4 Cruiser (4x4) ACA23R,Wagon,Automatic,Petrol,235263,5.0,JTEHD20V900071319,YGU537,18-06-2025,4,2.4,Black,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044960/motor-vehicles-motor-cycles/2005-toyota-rav-4-cruiser-4x4-aca23r-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Paint fading Around the vehicle
Medium Scuff on Bonnet
Interior: Damage on dashboard / A Pillar, Exterior: Rear bumper damaged",29,2809,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2006,TOYOTA,Hiace,LWB TRH201R,Van,Manual,Petrol,465419,3.0,JTFHX02P000014691,No plates,Unregistered,4,2.7,White,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21044790/motor-vehicles-motor-cycles/2006-toyota-hiace-lwb-trh201r-manual-van,"Body/panel damage Rear bumper
Dents or marks on body consistent with age and kilometres.
Corrosion visible Roof / panel
Seat Torn Front seats
Door Mirror Broken Passenger Side Mirror Silicone Repair",32,3109,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2012,TOYOTA,Rav,4 Cruiser (2WD) ACA38R,Wagon,Automatic,Petrol,341789,5.0,JTMZD31V305242100,BS02NT,17-04-2025,4,2.4,White,Grey,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10347587/motor-vehicles-motor-cycles/2012-toyota-rav-4-cruiser-2wd-aca38r-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Hail damage visible.
Large dents or damage around vehicle.",43,3709,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2017,TOYOTA,Corolla,Ascent Sport ZRE182R,Hatchback,CVT,Petrol,266650,5.0,JTNKU3JE40J559341,1JY9DC,12-04-2025,4,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044985/motor-vehicles-motor-cycles/2017-toyota-corolla-ascent-sport-zre182r-cvt-hatchback,Dents or marks on body consistent with age and kilometres.,99,9300,2025-03-11,0,toyota_corolla_hatch_petrol_auto_ascent_sport_fwd_2016_2018,[OK],,,
2009,TOYOTA,Corolla,Ascent ZRE152R,Hatchback,Automatic,Petrol,91232,5.0,JTNKU52EX01096129,No plates,Unregistered,4,1.8,White,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044930/motor-vehicles-motor-cycles/2009-toyota-corolla-ascent-zre152r-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Seat Torn driver",90,5609,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2009,TOYOTA,Camry,Altise ACV40R,Sedan,Automatic,Petrol,230065,5.0,6T153BK400X074568,YBS942,20-06-2025,4,2.4,Silver,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044893/motor-vehicles-motor-cycles/2009-toyota-camry-altise-acv40r-automatic-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.,50,3900,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2012,TOYOTA,Camry,Hybrid H AVV50R,Sedan,CVT,Hybrid,340418,5.0,6T1BD3FK60X123347,MH701N,08-04-2025,4,2.5,Silver,Grey,Yes,Yes,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9057549/motor-vehicles-motor-cycles/2012-toyota-camry-hybrid-h-avv50r-cvt-sedan,"Glovebox Marks
Front Seat worn All around
Medium Scuff on Body
Medium Scratch on Body
Dents or marks on body consistent with age and kilometres.
Rear Cracked bumper.",74,6009,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2014,TOYOTA,Corolla,Fielder (IMPORT),Wagon,Automatic,Petrol,98009,5.0,6ZZENKE1657042339,No plates,Unregistered,4,1.5,Blue,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21044901/motor-vehicles-motor-cycles/2014-toyota-corolla-fielder-import-automatic-wagon,Dents or marks on body consistent with age and kilometres.,86,10000,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2003,TOYOTA,Landcruiser,Sahara (4x4) UZJ100R,Wagon,Automatic,Petrol,356670,7.0,JTEHT05J502052011,URJ199,31-01-2025,8,4.7,Silver,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21044862/motor-vehicles-motor-cycles/2003-toyota-landcruiser-sahara-4x4-uzj100r-automatic-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Around the car
Front Seat worn Drivers",238,18100,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2009,TOYOTA,Kluger,KX-R (FWD) GSU40R,Wagon,Automatic,Petrol,298786,7.0,JTEDS41AX02078151,WYF007,22-05-2025,6,3.5,Grey,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21044867/motor-vehicles-motor-cycles/2009-toyota-kluger-kx-r-fwd-gsu40r-automatic-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Large Scratch on Rear Passenger side",50,3800,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2017,TOYOTA,Hiace,LWB KDH201R,Van,Automatic,Diesel,105150,2.0,JTFHT02P200233082,1UD5TP,22-12-2024,4,3.0,White,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21044964/motor-vehicles-motor-cycles/2017-toyota-hiace-lwb-kdh201r-turbo-diesel-automatic-van,"Dents or marks on body consistent with age and kilometres.
Airbag light ON
Medium Dent on A pillar",227,22100,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
